region_set	control_set	module_id	track_id	mark	stage	n_regions	mean_signal	max_signal	signal_density	overlap_fraction	peak_count_mean
matched_random	matched_non_age_0001	M10	H3K4me3_8cell	H3K4me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M10	H3K4me3_blastocyst	H3K4me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K27ac_8cell	H3K27ac	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K27ac_blastocyst	H3K27ac	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K27me3_8cell	H3K27me3	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K27me3_blastocyst	H3K27me3	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K27me3_morula	H3K27me3	morula	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K4me3_8cell	H3K4me3	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0001	M12	H3K4me3_blastocyst	H3K4me3	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M01	H3K27ac_8cell	H3K27ac	8cell	21	0.0740366818105334	1.0	0.0740366818105334	0.09523809523809523	0.09523809523809523
matched_random	matched_non_age_0002	M01	H3K27ac_blastocyst	H3K27ac	blastocyst	21	0.09523809523809523	1.0	0.09523809523809523	0.09523809523809523	0.09523809523809523
matched_random	matched_non_age_0002	M01	H3K27me3_8cell	H3K27me3	8cell	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M01	H3K27me3_blastocyst	H3K27me3	blastocyst	21	0.08532061473237944	1.0	0.08532061473237944	0.09523809523809523	0.09523809523809523
matched_random	matched_non_age_0002	M01	H3K27me3_morula	H3K27me3	morula	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M01	H3K4me3_8cell	H3K4me3	8cell	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M01	H3K4me3_blastocyst	H3K4me3	blastocyst	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M02	H3K27ac_8cell	H3K27ac	8cell	30	0.06666666666666667	1.0	0.06666666666666667	0.06666666666666667	0.06666666666666667
matched_random	matched_non_age_0002	M02	H3K27ac_blastocyst	H3K27ac	blastocyst	30	0.13333333333333333	1.0	0.13333333333333333	0.13333333333333333	0.13333333333333333
matched_random	matched_non_age_0002	M02	H3K27me3_8cell	H3K27me3	8cell	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M02	H3K27me3_blastocyst	H3K27me3	blastocyst	30	0.03333333333333333	1.0	0.03333333333333333	0.03333333333333333	0.03333333333333333
matched_random	matched_non_age_0002	M02	H3K27me3_morula	H3K27me3	morula	30	0.03333333333333333	0.6470588235294118	0.03333333333333333	0.03333333333333333	0.06666666666666667
matched_random	matched_non_age_0002	M02	H3K4me3_8cell	H3K4me3	8cell	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M02	H3K4me3_blastocyst	H3K4me3	blastocyst	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M05	H3K27ac_8cell	H3K27ac	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M05	H3K27ac_blastocyst	H3K27ac	blastocyst	6	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
matched_random	matched_non_age_0002	M05	H3K27me3_8cell	H3K27me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M05	H3K27me3_blastocyst	H3K27me3	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M05	H3K27me3_morula	H3K27me3	morula	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M05	H3K4me3_8cell	H3K4me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M05	H3K4me3_blastocyst	H3K4me3	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M10	H3K27ac_8cell	H3K27ac	8cell	3	0.023391812865497075	0.07017543859649122	0.023391812865497075	0.3333333333333333	0.3333333333333333
matched_random	matched_non_age_0002	M10	H3K27ac_blastocyst	H3K27ac	blastocyst	3	0.06439393939393939	0.19318181818181818	0.06439393939393939	0.3333333333333333	0.3333333333333333
matched_random	matched_non_age_0002	M10	H3K27me3_8cell	H3K27me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M10	H3K27me3_blastocyst	H3K27me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M10	H3K27me3_morula	H3K27me3	morula	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M10	H3K4me3_8cell	H3K4me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M10	H3K4me3_blastocyst	H3K4me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M12	H3K27ac_8cell	H3K27ac	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M12	H3K27ac_blastocyst	H3K27ac	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M12	H3K27me3_8cell	H3K27me3	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M12	H3K27me3_blastocyst	H3K27me3	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0002	M12	H3K27me3_morula	H3K27me3	morula	4	0.0	0.0	0.0	0.0	0.0
