scan_type	control_name	alpha	control_PC1	control_PC2	control_PC3	control_norm	control_cosine_to_measured_correction	PC3_negative_pull_recovery	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	latent_variance_trace	covariance_eigen_min	covariance_eigen_max	covariance_anisotropy	mean_radial_distance_before	mean_radial_distance_after	radial_distance_reduction	fraction_particles_moved_closer	modules	n_modules
module_specific	M01	1.4	-0.43644274640986025	-0.08914529157595655	-0.39133129181881254	0.592932824070758	0.8932282396235536	0.2040831321275693	0.9052214362132952	0.7162959522254311	0.8254029563381781	0.8487798699346262	0.24282937225661635	0.6360402016910066	0.24335204438647073	1.5666635350021403	1.9104332695957345	0.4	0.7777777777777778	0.875	0.875	1.6924714405630596	1.0224014859114376	0.5285826573934534	0.03374192641412856	0.32350109146095446	9.587511023552858	2.163377528533326	1.6924714405630596	0.47090608797026645	1.0	M01	1
module_specific	M01	1.45	-0.4520299873530696	-0.09232905198938357	-0.40530740938377013	0.6141089963589995	0.8932282396235536	0.21137181541783961	0.8954239446742794	0.7077567985729194	0.8266732308952368	0.8487798699346262	0.24276340466595128	0.6363677505785438	0.2432857087613643	1.5666635350021403	1.9104332695957345	0.4	0.8	0.875	0.875	1.6771653646619562	1.0224014859114376	0.5285826573934534	0.03374192641412864	0.32350109146095474	9.587511023552844	2.163377528533326	1.6771653646619562	0.4862121638713699	1.0	M01	1
module_specific	M01	1.5	-0.4676172282962789	-0.09551281240281059	-0.4192835269487277	0.6352851686472408	0.8932282396235536	0.21866049870810994	0.885686844390962	0.6992013897614733	0.782548117758741	0.8487798699346262	0.2426987759809687	0.6366905001755974	0.24322069519339998	1.5666635350021403	1.9104332695957345	0.4	0.8	0.875	0.875	1.6619927629922746	1.0224014859114376	0.5285826573934536	0.03374192641412867	0.32350109146095457	9.587511023552832	2.163377528533326	1.6619927629922746	0.5013847655410515	1.0	M01	1
module_specific	M12	0.0	-0.0	0.0	-0.0	0.0	0.9269903681153807	0.0	1.1978195174977648	0.9341820819670775	1.1062669711672766	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	0.5285826573934536	0.03374192641412863	0.32350109146095457	9.587511023552842	2.163377528533326	2.163377528533326	0.0	0.0	M12	1
module_specific	M12	0.05	-0.0007846487169810099	0.002166776184219335	-0.01032088744639246	0.010575032402913076	0.9269903681153807	0.005382444696937537	1.1921619794064406	0.9306334242721261	1.038522330537103	0.8487798699346262	0.2451597721430994	0.6252408375601856	0.24568414784682668	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.153987767276444	1.0224014859114376	0.5285826573934536	0.033741926414128647	0.3235010914609545	9.587511023552835	2.163377528533326	2.153987767276444	0.009389761256882068	1.0	M12	1
module_specific	M12	0.1	-0.0015692974339620198	0.00433355236843867	-0.02064177489278492	0.021150064805826152	0.9269903681153807	0.010764889393875075	1.186508882391054	0.9270594169885091	1.0584333839494062	0.8487798699346262	0.24510133555573352	0.6254598397151461	0.24562577266761645	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1446088566606702	1.0224014859114376	0.5285826573934536	0.033741926414128605	0.3235010914609547	9.587511023552853	2.163377528533326	2.1446088566606702	0.01876867187265585	1.0	M12	1
module_specific	M12	0.15	-0.0023539461509430298	0.006500328552658005	-0.03096266233917738	0.03172509720873923	0.9269903681153807	0.016147334090812614	1.180860290233496	0.9234602408435755	1.0340784972788408	0.8487798699346262	0.24504312896110048	0.6256779050937831	0.2455676279372917	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1352409342085688	1.0224014859114376	0.5285826573934537	0.033741926414128626	0.32350109146095457	9.587511023552844	2.163377528533326	2.1352409342085688	0.028136594324757347	1.0	M12	1
module_specific	M12	0.2	-0.0031385948679240397	0.00866710473687734	-0.04128354978556984	0.042300129611652304	0.9269903681153807	0.02152977878775015	1.1752162678905893	0.9198360844189087	0.9974555898580267	0.8487798699346262	0.244985152523134	0.625895032967109	0.245509713819586	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1258841395931407	1.0224014859114376	0.5285826573934537	0.03374192641412867	0.3235010914609549	9.587511023552842	2.163377528533326	2.1258841395931407	0.03749338894018539	1.0	M12	1
module_specific	M12	0.25	-0.00392324358490505	0.010833880921096675	-0.0516044372319623	0.05287516201456539	0.9269903681153807	0.02691222348468769	1.1695768815199439	0.9161871442044875	0.9793456710991302	0.8487798699346262	0.2449274064052742	0.6261112226187147	0.24545203047773761	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.116538614677067	1.0224014859114376	0.5285826573934537	0.03374192641412867	0.3235010914609549	9.587511023552842	2.163377528533326	2.116538614677067	0.04683891385625927	1.0	M12	1
module_specific	M12	0.3	-0.0047078923018860595	0.01300065710531601	-0.06192532467835476	0.06345019441747846	0.9269903681153807	0.03229466818162523	1.1639421985064509	0.9125136246507566	1.1014424510308447	0.8487798699346262	0.24486989077046586	0.6263264733447786	0.2453945780744876	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.107204503552759	1.0224014859114376	0.5285826573934536	0.03374192641412868	0.3235010914609547	9.587511023552832	2.163377528533326	2.107204503552759	0.0561730249805672	1.0	M12	1
