from_stage	to_stage	from_sample_id	to_sample_id	from_tau	to_tau	delta_tau	sample_coupling_weight	n_particle_couplings
MII oocyte	zygote/PN	GSM2146952	GSM2986334	0.0	0.16666666666666666	0.16666666666666666	0.0016295177245931201	9
MII oocyte	zygote/PN	GSM2146952	GSM2986335	0.0	0.16666666666666666	0.16666666666666666	5.2841838576038315e-06	9
MII oocyte	zygote/PN	GSM2146952	GSM2986336	0.0	0.16666666666666666	0.16666666666666666	0.0008561087068192911	9
MII oocyte	zygote/PN	GSM2146953	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	0.0003716156047890772	9
MII oocyte	zygote/PN	GSM2146953	GSM2481555	0.0	0.16666666666666666	0.16666666666666666	0.0013360119165862533	9
MII oocyte	zygote/PN	GSM2146953	GSM2481558	0.0	0.16666666666666666	0.16666666666666666	0.002007798935016792	9
MII oocyte	zygote/PN	GSM2146953	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	0.00020349892569535772	9
MII oocyte	zygote/PN	GSM2146953	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	0.0018479897400415259	9
MII oocyte	zygote/PN	GSM2146953	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	0.00021773243934521846	9
MII oocyte	zygote/PN	GSM2146953	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	0.00034004235018736525	9
MII oocyte	zygote/PN	GSM2146953	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	0.001848575280046754	9
MII oocyte	zygote/PN	GSM2146953	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	0.0005838905455491267	9
MII oocyte	zygote/PN	GSM2146953	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	0.0006930239125528437	9
MII oocyte	zygote/PN	GSM2146953	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	0.0004595835131568011	9
MII oocyte	zygote/PN	GSM2146953	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	0.00044745395750838416	9
MII oocyte	zygote/PN	GSM2146953	GSM2481571	0.0	0.16666666666666666	0.16666666666666666	0.0021028401508174062	9
MII oocyte	zygote/PN	GSM2146953	GSM2481572	0.0	0.16666666666666666	0.16666666666666666	0.00040622926146062055	9
MII oocyte	zygote/PN	GSM2146953	GSM2481573	0.0	0.16666666666666666	0.16666666666666666	0.0007263705399904873	9
MII oocyte	zygote/PN	GSM2146953	GSM2481574	0.0	0.16666666666666666	0.16666666666666666	0.0006743890609213039	9
MII oocyte	zygote/PN	GSM2146953	GSM2481575	0.0	0.16666666666666666	0.16666666666666666	0.0005642779020597493	9
MII oocyte	zygote/PN	GSM2146953	GSM2481576	0.0	0.16666666666666666	0.16666666666666666	0.001989067111250969	9
MII oocyte	zygote/PN	GSM2146953	GSM2481577	0.0	0.16666666666666666	0.16666666666666666	0.001772377633324408	9
