feature_set	alpha	sign_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
hESC_proxy_access_H3K27ac_naive	0.55	sign_flip_control	-0.06756607289582026	-0.09754095622465032	0.01590225977499399	0.1058122704608892	-0.008293185468770664	1.1924882385889826	0.9296997399512056	1.0636368352405183	0.8487798699346262	0.24521324617283885	0.6255941509181095	0.24573729692102908	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1545268139752625	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.6	correct_orientation	0.07370844315907664	0.10640831588143672	-0.017347919754538896	-0.10581227046088922	0.009047111420477087	1.2081269660267488	0.9416270072398789	1.1609085440743954	0.8487798699346262	0.24525198967472966	0.624353659107605	0.24577647066418268	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1803566588454526	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.6	sign_flip_control	-0.07370844315907664	-0.10640831588143672	0.017347919754538896	0.10581227046088922	-0.009047111420477087	1.1922011169920694	0.9294093924327933	1.1005442427164898	0.8487798699346262	0.2452139837502178	0.625644435942803	0.24573800804699883	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.154043456945812	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.65	correct_orientation	0.07985081342233302	0.11527567553822311	-0.01879357973408381	-0.10581227046088917	0.009801037372183513	1.2091942115545693	0.9423623847962999	1.0545276858901835	0.8487798699346262	0.2452561028669539	0.6242960911597456	0.24578058822215493	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1821123470924095	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.65	sign_flip_control	-0.07985081342233302	-0.11527567553822311	0.01879357973408381	0.10581227046088917	-0.009801037372183513	1.1919470514035269	0.9291387434751613	1.0925494849809574	0.8487798699346262	0.24521492322242694	0.6256944094706861	0.24573892035822356	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1536138006184555	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.7	correct_orientation	0.0859931836855894	0.1241430351950095	-0.020239239713628714	-0.10581227046088916	0.010554963323889936	1.2102931389880287	0.9431163390283308	0.9400631450598447	0.8487798699346263	0.24526041759797193	0.6242382285568204	0.2457849069566409	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1839199836872214	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.7	sign_flip_control	-0.0859931836855894	-0.1241430351950095	0.020239239713628714	0.10581227046088916	-0.010554963323889936	1.191726062965112	0.9288878485081775	1.0775080802958792	0.8487798699346262	0.2452160655141185	0.6257440610123094	0.24574003383700319	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1532378689140335	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.75	correct_orientation	0.0921355539488458	0.1330103948517959	-0.021684899693173623	-0.10581227046088922	0.01130888927559636	1.2114236621076273	0.9438864212991416	1.051225657791585	0.8487798699346262	0.24526493385714726	0.6241800717178307	0.245789426857036	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.185779454236522	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.75	sign_flip_control	-0.0921355539488458	-0.1330103948517959	0.021684899693173623	0.10581227046088922	-0.01130888927559636	1.1915381700807706	0.9286567588185808	0.9916509182671536	0.8487798699346262	0.24521741156788715	0.6257933765242634	0.24574134845361095	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.15291568213096	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.8	correct_orientation	0.09827792421210219	0.14187775450858228	-0.023130559672718532	-0.10581227046088916	0.012062815227302785	1.2125856925410898	0.9446732392741903	1.0350531500266638	0.8487798699346262	0.24526965163334744	0.624121621062655	0.24579414791224258	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1876906411552626	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.8	sign_flip_control	-0.09827792421210219	-0.14187775450858228	0.023130559672718532	0.10581227046088916	-0.012062815227302785	1.1913833884089853	0.928445521533183	1.1210559981020782	0.8487798699346262	0.24521895921013953	0.625842382133969	0.2457428641842911	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1526472569455377	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.85	correct_orientation	0.10442029447535857	0.15074511416536868	-0.024576219652263438	-0.1058122704608892	0.012816741179009208	1.2137791397963609	0.9454766339473701	1.0473779430149457	0.8487798699346262	0.24527457091494406	0.6240628770120438	0.24579907011066984	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1896534236982785	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.85	sign_flip_control	-0.10442029447535857	-0.15074511416536868	0.024576219652263438	0.1058122704608892	-0.012816741179009208	1.1912617308562632	0.9282541796035411	1.0190389280643588	0.8487798699346262	0.24522070818240613	0.6258910810659196	0.2457445810249199	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1524326064134183	1.0224014859114376
hESC_proxy_access_H3K27ac_naive	0.9	correct_orientation	0.11056266473861497	0.15961247382215507	-0.02602187963180835	-0.10581227046088922	0.013570667130715634	1.2150039112951754	0.9462964432405128	1.066705213523853	0.8487798699346263	0.2452796916898131	0.6240038399876142	0.24580419344023424	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.191667677992861	1.0224014859114376
