cluster_name	selection_frequency_top10	selection_frequency_top25	selection_frequency_top50	selection_frequency_top100	mean_rank	rank_std	residual_contribution_mean	residual_contribution_q025	residual_contribution_q975	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_4538	0.0	0.0	0.002	0.502	101.132	30.40063446706333	-0.011429524470257064	-0.03009066137794677	0.009092419922575626	M01	96	0.012119631552459195
cluster_4551	0.0	0.0	0.0	0.358	106.852	14.719310309929579	0.010489193229104589	0.0025916586453813197	0.022005317925377722	M00	105	0.010511701306455212
cluster_4593	0.0	0.0	0.0	0.338	111.946	22.42451970500148	-0.009122253271930681	-0.017600265738689082	-0.00021319076607126899	M06	112	0.008974835424575871
cluster_4605	0.88	1.0	1.0	1.0	9.296	1.6162871032090864	-0.1232767311533829	-0.1478525404692904	-0.09908887063436496	M01	9	0.12455720559417552
cluster_4889	0.0	0.0	0.064	0.586	94.732	32.188261462837666	-0.013906065351953021	-0.040573994036208906	0.01182303084598562	M01	84	0.015037580151164553
cluster_4897	0.0	0.0	0.0	0.72	92.332	13.828874719224329	-0.01366567185454508	-0.018685140869145224	-0.00823480072211542	M06	89	0.01366492636868455
cluster_4899	0.0	0.0	0.0	0.12	123.306	17.248778623427224	0.007215875814403773	-0.000755957275408886	0.017480308737217797	M00	121	0.007327443864934964
cluster_4904	0.0	1.0	1.0	1.0	20.0	1.9819182626939984	0.07903233443166577	0.0667614974389057	0.09328155905417616	M12	18	0.07951997997463606
cluster_4907	0.0	0.0	0.308	0.922	62.952	21.385455244160703	0.027498359747368566	0.005381003140192928	0.051737039810172414	M08	54	0.028191874667370782
cluster_4909	0.0	0.016	0.916	1.0	40.046	7.1125160105267975	0.04498967835308337	0.028348595346047906	0.06663374414977087	M15	39	0.045510434162963395
cluster_4920	0.0	0.0	0.0	0.866	78.664	15.941991845437624	0.019440347882203845	0.00654778544321164	0.03672748802238157	M13	75	0.019617327282446258
cluster_5002	0.0	0.236	0.994	1.0	29.992	5.503447646702924	-0.060905450371248775	-0.08286318283065806	-0.03898261928895129	M01	28	0.06206678272947911
cluster_5020	0.0	0.0	0.0	0.984	86.86	4.261502082599486	-0.015290071105827254	-0.01788864302023824	-0.012959971631088973	M00	83	0.015386451646331636
cluster_5024	0.0	0.0	0.0	0.0	134.462	4.525986743242082	-0.004526153489109681	-0.004985504162511304	-0.003816762767057739	M02	136	0.004546241878128551
cluster_5064	0.0	0.0	0.154	0.978	62.76	14.364205512314292	-0.02580003186022057	-0.03934188816598884	-0.01243747571012238	M07	56	0.026514052553844446
cluster_5215	0.0	0.0	0.0	1.0	68.326	5.800321025598616	0.022325156892682822	0.018411230791682418	0.026597416345437903	M13	65	0.02257791147741315
cluster_5240	0.0	0.0	0.368	1.0	53.58	5.0286777586160865	0.0304665309847483	0.02135169333531425	0.04392708252543315	M06	50	0.03065701071486171
cluster_5252	0.0	0.0	0.0	0.018	134.374	15.489807100154703	0.00418521662276311	-0.0014329280425971124	0.010229832665311097	M15	139	0.004456173815187241
cluster_5307	0.0	0.0	0.0	0.0	143.808	10.94856776021419	-0.0021387796375293487	-0.005799303079665391	0.0025597536584235137	M02	148	0.002172344139453054
cluster_5336	0.0	0.0	0.0	0.006	114.242	8.316936695683125	0.008451075519700375	0.0037549839622725138	0.014079296923756326	M06	115	0.008594093680067668
cluster_5400	0.0	0.0	0.0	0.082	123.79	17.135399032412355	0.007049378133323722	-0.0005391532132196979	0.01723605908461394	M02	125	0.00690351861809765
cluster_5447	0.0	0.0	0.0	0.152	115.092	14.059286468380963	0.00871461697279376	0.0019169180857227788	0.018443447558302403	M02	113	0.008676628717600682
cluster_5516	0.0	0.0	0.172	0.654	85.66	34.909545972412765	0.015826162078325268	-0.018541401529514986	0.050092237502954134	M07	85	0.0145793093893729
cluster_5580	0.0	0.0	0.0	0.0	154.13	1.944505078419738	1.0588631867847253e-05	-0.0011338937775076006	0.0010887963770265618	M02	156	1.225816881403917e-05
cluster_5599	0.0	0.0	0.0	0.622	96.2	24.330392516356962	0.01426606839433958	-0.0006251595356035844	0.03426846291831809	M06	87	0.014392782084662067
cluster_5608	0.0	0.0	0.0	0.308	115.23	23.523203438307455	0.008543920439236179	-0.005176998962959972	0.026800281730902757	M00	114	0.008632481304293806
cluster_5656	0.0	0.0	0.0	0.446	109.364	25.74178517508059	0.010397920240013387	-0.004037610259822201	0.029871038102243425	M14	106	0.010248699091131932
cluster_5659	0.0	0.0	0.026	0.496	100.768	31.214903107329974	0.010384254250722572	-0.014535280049683819	0.03454971524287123	M07	110	0.009463649726266442
cluster_5661	0.0	0.048	0.944	1.0	36.03	8.551789286459297	0.05219756018394233	0.028823060904914356	0.07212482528938884	M01	35	0.051670412114539495
cluster_5678	1.0	1.0	1.0	1.0	3.83	0.4348562981031778	-0.16355113554989703	-0.18544677077060068	-0.1361113671766186	M10	4	0.16456915596653188
cluster_5679	0.0	0.072	0.998	1.0	30.456	4.020455695564876	-0.06087645826427058	-0.07524186049454819	-0.04572040290666603	M01	31	0.06131858774405247
cluster_5760	0.0	0.0	0.0	0.668	95.164	10.825022124688676	0.013320129124893599	0.005834177227547656	0.022863737014268658	M06	92	0.013484134338562334
