feature_set	panel_model	included_modules	n_modules	alpha	validation_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	0.9	leave_one_module_out	-0.0016831239529484648	-0.3647884590150494	-0.2288563290003959	0.5064864650599908	0.11935083497294956	1.0931203174819992	0.8480671432520714	0.9583970765282486	0.8487798699346262	0.24420648628474687	0.6302025042930521	0.24472752435534645	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4666666666666667	0.875	0.875	1.983046311007721	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	0.95	leave_one_module_out	-0.0017766308392233796	-0.3850544845158854	-0.2415705695004179	0.506486465059991	0.1259814369158912	1.0886742039833057	0.8433274621974136	0.916477338763478	0.8487798699346262	0.24416304830470195	0.6304446077601014	0.2446836029341774	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.4666666666666667	0.875	0.875	1.9752077855204615	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.0	leave_one_module_out	-0.0018701377254982943	-0.40532051001672154	-0.2542848100004399	0.5064864650599908	0.13261203885883285	1.084385816015304	0.8386112696026398	0.9338043347328682	0.8487798699346262	0.24412089348993046	0.630682230313543	0.24464097657552353	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.4666666666666667	0.875	0.875	1.967619627077667	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.05	leave_one_module_out	-0.001963644611773209	-0.42558653551755765	-0.2669990505004619	0.506486465059991	0.1392426408017745	1.0802570319888785	0.8339217866895743	0.8868543683666998	0.8487798699346262	0.2440800686808081	0.6309146808251672	0.2445995687228298	1.5666635350021403	1.9104332695957345	0.17777777777777778	0.4666666666666667	0.875	0.875	1.9602849003112033	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.1	leave_one_module_out	-0.0020571514980481237	-0.4458525610183937	-0.2797132910004839	0.506486465059991	0.14587324274471616	1.076289688688607	0.829262300711421	0.922214459782322	0.8487798699346262	0.24404053292035527	0.6311425740814436	0.24455945928096767	1.5666635350021403	1.9104332695957345	0.2	0.4666666666666667	0.875	0.875	1.9532066418678489	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.15	leave_one_module_out	-0.0021506583843230384	-0.4661185865192297	-0.2924275315005059	0.506486465059991	0.15250384468765776	1.0724855777226898	0.8246086790530613	0.9650817783101326	0.8487798699346262	0.24400241630855404	0.631365031107355	0.24452064314935915	1.5666635350021403	1.9104332695957345	0.2	0.4888888888888889	0.875	0.875	1.9463878566548993	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.2	leave_one_module_out	-0.002244165270597953	-0.48638461202006583	-0.3051417720005279	0.5064864650599908	0.15913444663059942	1.068846441963801	0.8200186230241149	0.9492498107940474	0.8487798699346262	0.24396564165043713	0.6315824948931839	0.24448311007619655	1.5666635350021403	1.9104332695957345	0.2	0.4888888888888889	0.875	0.875	1.9398315139525346	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.25	leave_one_module_out	-0.002337672156872868	-0.5066506375209019	-0.31785601250054984	0.506486465059991	0.16576504857354105	1.065373971994782	0.8154688301115784	0.9545292467279626	0.8487798699346262	0.2439301362397073	0.6317954809309145	0.24444685468950939	1.5666635350021403	1.9104332695957345	0.2	0.5111111111111111	0.875	0.875	1.9335405433904738	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.3	leave_one_module_out	-0.0024311790431477825	-0.526916663021738	-0.33057025300057186	0.506486465059991	0.1723956505164827	1.0620698025737068	0.8107946969975356	0.951287713820017	0.8487798699346262	0.2438958751624447	0.6320039331993182	0.24441182120019994	1.5666635350021403	1.9104332695957345	0.2	0.5111111111111111	0.875	0.875	1.9275178307866283	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.35	leave_one_module_out	-0.0025246859294226973	-0.5471826885225741	-0.34328449350059387	0.5064864650599908	0.17902625245942436	1.0589355091334505	0.806504163165654	0.8735382514043517	0.8487798699346262	0.24386286333836102	0.6322077771142748	0.2443780041683795	1.5666635350021403	1.9104332695957345	0.2	0.5111111111111111	0.875	0.875	1.9217662138458604	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.4	leave_one_module_out	-0.002618192815697612	-0.5674487140234101	-0.3559987340006158	0.506486465059991	0.18565685440236598	1.0559726043313065	0.8020964721623538	0.953350564613435	0.8487798699346262	0.2438311115821085	0.6324070577637544	0.2443454380171713	1.5666635350021403	1.9104332695957345	0.2	0.5111111111111111	0.875	0.875	1.9162884777176663	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.45	leave_one_module_out	-0.0027116997019725267	-0.5877147395242462	-0.36871297450063784	0.5064864650599908	0.1922874563453076	1.0531825346645836	0.797743401839584	0.9377613780369953	0.8487798699346262	0.24380058031322732	0.6326017305969374	0.24431403174980737	1.5666635350021403	1.9104332695957345	0.2	0.5111111111111111	0.875	0.875	1.9110873504126997	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.5	leave_one_module_out	-0.0028052065882474414	-0.6079807650250824	-0.38142721500065985	0.5064864650599908	0.19891805828824927	1.050566677168349	0.7934716443543011	0.9432859509375981	0.8487798699346262	0.2437712601904796	0.6327918379106466	0.24428381450263087	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.5111111111111111	0.875	0.875	1.9061654980795724	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.55	leave_one_module_out	-0.002898713474522356	-0.6282467905259184	-0.39414145550068186	0.506486465059991	0.20554866023119092	1.0481263362115891	0.7892477051238036	0.900555326893492	0.8487798699346262	0.243743229351385	0.6329769483696548	0.24425478109248183	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.5333333333333333	0.875	0.875	1.9015255201454693	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.6	leave_one_module_out	-0.002992220360797271	-0.6485128160267545	-0.40685569600070387	0.5064864650599911	0.21217926217413258	1.0458627404080643	0.7850811186168342	0.9352932596898248	0.8487798699346262	0.24371642800228688	0.6331575785185015	0.24422696967678495	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5333333333333333	0.875	0.875	1.8971699443266687	1.0224014859114376
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M12	M05,M01,M02,M10	4	1.65	leave_one_module_out	-0.0030857272470721855	-0.6687788415275905	-0.4195699365007258	0.506486465059991	0.2188098641170742	1.0437770396579706	0.7809840404745125	0.9190315510018321	0.8487798699346262	0.24369081648547922	0.633333872693845	0.2442003760540811	1.5666635350021403	1.9104332695957345	0.26666666666666666	0.5333333333333333	0.875	0.875	1.8931012215182639	1.0224014859114376
