sample_id	PC1	PC2	PC3
GSM2481640	-3.3754930435363177	-1.1760281733360427	3.069552477908477
GSM2481641	-1.547073217982383	-1.4138664208991936	2.0363295016679026
GSM2481642	-2.8405511739818796	0.43347571140999147	2.135502624790849
GSM2481643	-2.39446936853142	2.081872706390142	5.315158576416179
GSM2481644	-1.8432834800910736	0.5070945390234834	1.0292310353591956
GSM2481645	-2.371496980374975	0.67317658412228	1.2374066921613942
GSM2481646	-1.6035327445591638	0.27563182085706023	1.3005149586991622
GSM2481647	-2.2763153357492327	-0.004780087165093135	1.1048428342407177
GSM2481648	-3.1238687327847368	1.0476709775005215	0.9192641633143879
GSM2481649	-2.9350592141269987	0.703613170183877	1.0990091056559848
GSM2481650	-2.4297731259310256	1.792927565951531	0.034686556460085116
GSM2481651	-2.5565131733882414	3.1902869545407673	1.5536440519652457
GSM2986307	5.158741483182616	27.95518817158139	14.218951239165396
GSM2986308	7.169617716096288	-1.65230578152909	1.6255242768023073
GSM2986309	6.286621267855261	-2.1539601719620376	0.20843272953233813
GSM2986310	7.0996538893742205	-2.2431852404029904	0.5297229152141392
GSM2986311	6.245524317421805	-2.147762821054784	0.8181099105432046
GSM2986312	6.878652098508034	-2.2536993804291523	0.21185014350605647
GSM2986313	6.863696790201186	-1.7096829936742226	0.34381618774068384
GSM2986314	6.176231101252183	-2.461820793203562	0.5659276393407177
GSM2986315	6.338192042494399	13.260366821654	9.116425062488581
GSM2986316	6.711082703379483	-1.2468115567172893	1.0568607000899812
GSM2986317	6.688803878990309	-1.187651490930747	1.3904812977707333
GSM2986318	7.625031872022738	-1.5924108427315604	1.0946378661548644
GSM2986319	7.725855110146229	-1.0396403657909261	2.012680675043512
GSM2986320	7.609552075636652	-1.7330842488803895	0.9688428345906104
GSM2986321	7.207453056484458	-0.9583791464412156	1.993564590749309
GSM2986322	6.347307961367132	-1.535318662795902	0.7490801207996791
GSM2986323	8.689899883650865	-0.29301658471553443	0.2529700000192794
GSM2986324	8.588084959362979	-0.3978297230991361	1.5241925855829628
GSM2986325	7.572101342561273	-2.187812617620994	0.31160971147486005
GSM2986326	7.020525290624082	-2.7012078251956875	0.7531343824900775
GSM2986327	1.5227973958757455	-0.31926919380779323	-4.4802644334758535
GSM2986328	-1.7031964127228412	7.661885396913877	-5.02442475758825
GSM2986329	3.85793871196998	0.8207389533866709	-5.4812335979647475
GSM2986330	3.1204148655193644	2.053243999034202	-5.424464695141566
GSM2986331	4.011967701105195	1.2191861456620479	-3.8378116923323065
GSM2986332	-2.4106925822851935	8.936124440476759	-2.168208615357838
GSM2986333	2.712134417343351	0.058353186815740477	-4.1030322056044435
GSM2986334	-1.5389991408691208	9.711702799437544	-4.23782807570232
GSM2986335	1.8056058445718848	0.05104029019114045	-4.9139996434418
GSM2986336	-2.2374030189446517	6.656401462115508	-4.1609079764973105
GSM2986344	-0.6103110522368983	-0.976393292818258	-0.31137382302532046
GSM2986345	-2.0685539324913975	0.38107138650495775	-0.2761006413865996
GSM2986346	-3.0581764340203534	-2.2933385174834866	0.5322701507742245
GSM2986347	-2.4778099201286885	-0.07071052633723038	0.07091883594948933
GSM2986348	-5.080685687000114	0.045450941201640616	-4.351219943452005
GSM2986349	-0.3078225983351559	-2.0043558754667057	-2.197377151082243
GSM2986350	-1.4433783392255075	-0.8123689032418768	0.671484555417778
GSM2986351	-3.228765788229353	-0.48899959057450226	1.3257158208821436
GSM2986352	-3.9373232567375243	1.3546175253344646	-0.6073632893598505
GSM2986353	-0.19197745614858552	0.5960445204872156	-1.4612397079677153
GSM2986354	-2.6435843914081794	0.1979803307746712	0.5836639816564907
GSM2986355	1.4729640788645784	-2.8053872232797916	0.1369424451473886
GSM2986356	-2.8155373289536048	0.01600876615015325	-1.8337092482119783
GSM2986357	-3.3341072762301054	-1.3806048799664519	-1.0613097494673551
GSM2986358	-2.8575937610291264	-0.4650532705459211	0.5202910196800783
GSM2986359	-3.050948590566087	-1.1551482260380812	-0.9278511084250205
GSM2986360	-3.7091767885764537	1.44183564048549	-1.2599551233941853
GSM2986361	-2.865597778532288	-1.2458546453114807	-1.0016544820204603
GSM2986362	-3.3542210424183234	-2.7166265454639724	-0.46056973891440545
GSM2986363	-3.676688508911364	-2.2412077874174385	-0.12559156616350559
GSM2986364	-3.051148855787668	-1.0443193714297492	1.1596820521541764
GSM2986365	-4.860959566303807	-1.389548568685316	-2.102394881774078
GSM2986366	-3.679548292260349	-0.8538004326113615	-0.51367625365797
GSM2986367	-2.345115001637143	-1.5487602305978272	-0.5317252817776653
GSM2986368	-2.5623720154239837	1.2671727753323878	1.519654929357806
GSM2986369	-2.6127439123106653	0.1647215557436774	3.4579439549570083
GSM2986370	-2.8946882224293162	-0.05158125421353168	2.242842130912141
GSM2986371	-2.110297627479495	0.3334481083944597	3.741411844258678
GSM2986372	-3.8837460338002354	1.1361891638043828	3.175484557948713
GSM2986373	-1.8939240777113695	-1.0090170471950495	2.328806080756903
GSM2986374	-3.0065120466240867	-0.9274279810877057	2.7682863680768905
GSM2986375	-1.4729288525910256	0.2588233947813853	5.225831502954178
GSM2986376	-1.4757401702737287	-1.5701326470385726	2.8189195244835905
GSM2986377	-2.5724584859632484	0.21170831173014762	2.973791595286148
GSM2986378	-2.7602657318908834	-1.499530911584863	2.5916307031825205
GSM2986379	-1.2662182532154969	-0.26568501573333614	2.7764685377028426
GSM2986381	-0.5776916145272524	-1.1850657381484693	3.9359091856902904
GSM2986382	-1.9909985224344668	2.8364363493749134	2.5348761776310065
GSM2986383	-2.704994337013639	0.7811906903599247	2.5209485816956034
GSM2986384	-2.4646965450230036	-2.128293188794139	2.528038275608088
GSM2986385	-2.6656055937858456	-0.8628915936114606	3.261504001909454
GSM2986386	-2.282532688190773	-1.5338891813992803	2.7848182754810757
GSM2986388	-2.3480169677588063	-1.8675830699537488	2.5013732792413657
GSM2986389	-1.7883275851446312	-1.7225447636010698	2.3355841432619378
GSM2986409	-4.723599970587177	-0.33053666910933555	0.17431965026725865
