sample_id	PC1	PC2	PC3
GSM2481648	-3.920741037624361	0.002235965118804009	-2.7291224987862925
GSM2481649	-3.7143405911435567	-0.34729315287214463	-2.8657256782045586
GSM2481650	-3.1676476384114327	0.7156030174389237	-1.7884119579035669
GSM2481651	-3.3250937628744097	2.15333928227609	-3.355439707084761
GSM2986307	5.543863979361946	27.86946811207635	-14.866531769756197
GSM2986308	7.299248645989004	-1.7258974144526325	-1.682644668146117
GSM2986309	6.298860577062451	-2.2760826811134853	-0.5040067234552283
GSM2986310	7.182647086229065	-2.338054729140242	-0.7318334230353024
GSM2986311	6.343235127853491	-2.2683106455276185	-0.8964905335059284
GSM2986312	7.0506602881746145	-2.3688563104314637	-0.4193612279373321
GSM2986313	6.922982116478482	-1.8506219630062377	-0.6381952788263374
GSM2986314	6.2931224309288725	-2.5728335980240775	-0.7249292707083544
GSM2986315	6.71742390025119	13.463693279330897	-9.695897673763566
GSM2986316	6.6804135764564725	-1.6319058690749022	-1.282046042618723
GSM2986317	6.871997579025841	-1.2224987049474851	-1.3154163886315815
GSM2986318	7.687655093782447	-1.7389028244037803	-1.3173610158949343
GSM2986319	7.756997602701919	-1.0918129164761239	-2.3494881661501243
GSM2986320	7.70955415245356	-1.8052534523777315	-1.1806780321206847
GSM2986321	7.300972682829855	-0.9924648492969133	-2.226068689367407
GSM2986322	6.4230307993301405	-1.576968164623129	-0.9515500662461904
GSM2986323	8.762901976181443	-0.5150113548137347	-0.6208104198949906
GSM2986324	8.722521434550499	-0.4607218631437109	-1.9121783906756689
GSM2986325	7.68678168196059	-2.300596931719482	-0.5623523490068695
GSM2986326	7.005571524963867	-2.839619960604014	-1.1456377878955246
GSM2986327	1.810724111611644	-0.27731980711696413	4.925381589573459
GSM2986328	-1.473765797769817	7.41020754955873	4.750611507746262
GSM2986329	4.120705345217916	0.7768759424752391	5.606312722187191
GSM2986330	3.407596946695371	2.089998246572532	5.675924823954855
GSM2986331	4.335313358630433	1.29334221184716	4.151861931632466
GSM2986332	-2.211235885915623	8.364214064216695	2.31257817080035
GSM2986333	2.9985806691062846	0.05071353445295821	4.474237567393623
GSM2986334	-1.050719256064507	9.857060916559924	4.168971635712903
GSM2986335	2.007912425313259	0.03189304661417738	5.0600135086922755
GSM2986336	-1.7819916727008978	6.853694199095926	4.733819536915091
GSM2986344	-0.38976126453174514	-0.8983091548174985	0.48733974793106305
GSM2986345	-1.9998483877765996	0.48401286134098653	-0.2156571874507549
GSM2986346	-2.929952742698729	-2.2470952383113425	-0.53916595235348
GSM2986347	-2.3475538450193167	0.054519243340288716	0.06895924077787918
GSM2986348	-4.824399857127283	0.23811432436806698	4.487501079586057
GSM2986349	-0.1864349116196391	-2.0325413022833176	1.8122758111539985
GSM2986350	-1.4076796616563074	-0.7708701352793361	-0.4606902976053341
GSM2986351	-2.942584132348777	-0.44483415391468245	-1.218657365346751
GSM2986352	-3.7560034295477696	1.1728028545405027	0.5655798611520902
GSM2986353	-0.020988071195191416	0.6019326006610182	0.9280341597502695
GSM2986354	-2.4778005785719346	0.2535141105887578	-0.5240591456932963
GSM2986355	1.5584518481556806	-2.8888654276332035	-0.35153565672518355
GSM2986356	-2.723763807476425	-0.13158246993062078	1.1690638671661178
GSM2986357	-3.3492443342038256	-1.2662056050654629	0.3530855279537484
GSM2986358	-2.707224868003904	-0.3900897108261874	-0.41887350234699067
GSM2986359	-2.8996123927118473	-1.1703393558886723	0.8109589145975846
GSM2986360	-3.583899492654857	1.4678271393100155	0.8606926122865679
GSM2986361	-2.7291822950659683	-1.1830124338739387	0.955036271988387
GSM2986362	-3.2617092853060474	-2.7588631725011323	0.4415660890278817
GSM2986363	-3.558382520103271	-2.146361433030904	0.10132192101415705
GSM2986364	-2.9653959270037484	-1.042017978965263	-1.1641215523765163
GSM2986365	-4.8582511633163605	-1.563796593965451	1.809918451407909
GSM2986366	-3.574856860929637	-0.920786791162163	0.29550756819478785
GSM2986367	-2.2095847470590217	-1.5739405127464274	0.41632773197033396
GSM2986368	-2.4071408485804815	1.351897639373006	-1.141870765462962
GSM2986369	-2.4965892312436107	0.2943081039969419	-2.7951523234507816
GSM2986370	-2.773383324393959	0.056463855048775956	-1.4228102373884166
GSM2986371	-2.055093881591826	0.3805947122546001	-3.1441379986037923
GSM2986372	-3.828111055578147	1.114165898032893	-2.8269747814535378
GSM2986373	-1.7373486391361397	-0.9440687726040089	-1.7877592288870725
GSM2986374	-3.000939259025442	-0.8507675450440727	-2.4380282074574913
GSM2986375	-1.3372924188820303	0.30578321654088986	-4.431942123547118
GSM2986376	-1.382939099975505	-1.5915229247982263	-2.2152138483756207
GSM2986377	-2.431651692363049	0.23822059183091868	-2.3501202016986076
GSM2986378	-2.536341728206075	-1.3987779188657163	-1.87368579716806
GSM2986379	-1.0789567687443011	-0.16730463690696812	-2.0532301006223124
GSM2986381	-0.3897492319173838	-1.1060877756033534	-3.220369401104298
GSM2986382	-1.9623733328509738	2.5418822302845427	-2.218991607669941
GSM2986383	-2.6623680924432964	0.8335642259701034	-2.3343582133864644
GSM2986384	-2.3402841188079773	-2.057716480656753	-1.7808680298515496
GSM2986385	-2.478073844952996	-0.7440529179434311	-2.397359198366762
GSM2986386	-2.1390498562093043	-1.4569113758912609	-2.0212174630474755
GSM2986388	-2.208611155915891	-1.7847375787831352	-1.720748013118064
GSM2986389	-1.632810692668162	-1.6481668746387934	-1.5659576564308293
GSM2986409	-4.597683937624208	-0.25394905089030834	-0.5422737974208398
