sample_id	M00	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15
GSM2481566	0.005681818181818181	0.7320950287624448	0.012337662337662333	0.7222222222222222	0.00344827586206896	0.8492063492063493	0.014906832298136644	0.14973544973544972	0.2265406162464986	0.0	1.0	0.046875	0.0	0.0	0.14780219780219778	0.26666666666666666
GSM2481567	0.06818181818181818	0.6515916323892327	0.02275132275132275	0.7222222222222222	0.16025641025641027	0.8492063492063493	0.05652173913043478	0.1881192881192881	0.21577380952380953	0.0	1.0	0.03835227272727273	0.0	0.0	0.2	0.43333333333333335
GSM2481570	0.07361111111111111	0.8674603174603176	0.01111111111111111	0.975	0.006666666666666659	0.0625	0.028285857071464263	0.7638888888888888	0.0238095238095238	0.0	0.9484126984126985	0.17777777777777776	0.125	0.019841269841269844	0.30627123264332556	0.0
GSM2481571	0.22569444444444442	0.6110631786589975	0.004	0.7222222222222222	0.47095716783216784	0.9444444444444443	0.1865408145752444	0.11245791245791244	0.48809523809523814	0.3333333333333333	1.0	0.11335227272727272	0.0	0.12244897959183672	0.011025641025641	0.26666666666666666
GSM2481572	0.06427556818181818	0.7505711577401308	0.00606060606060606	0.6984126984126984	0.10857142857142857	0.8492063492063493	0.044245524296675186	0.22936507936507933	0.25744047619047616	0.0	1.0	0.027777777777777776	0.0	0.0	0.00333333333333332	0.26666666666666666
GSM2481573	0.005681818181818181	0.8530462184873949	0.010317460317460315	0.7222222222222222	0.03277442239478477	0.7380952380952381	0.007971014492753621	0.3444716775599128	0.20238095238095238	0.05316091954022987	0.9444444444444445	0.13045753588516745	0.0	0.14285714285714285	0.1176190476190476	0.26666666666666666
GSM2481574	0.06818181818181818	0.5891751901389982	0.0	0.7222222222222222	0.4073099415204678	0.8214285714285715	0.1642512077294686	0.17380952380952377	0.3869047619047619	0.0	0.6666666666666666	0.0	0.0	0.25	0.0	0.26666666666666666
GSM2481575	0.08709629186602871	0.7841375213867346	0.06666666666666667	0.7222222222222222	0.055555555555555546	0.8492063492063493	0.10326086956521739	0.21084656084656084	0.48809523809523814	0.0	1.0	0.07406655844155843	0.0	0.0	0.00333333333333332	0.26666666666666666
GSM2481576	0.2102272727272727	0.6411668225293439	0.01591478696741854	0.7222222222222222	0.29549603174603173	0.8492063492063493	0.0665606221279604	0.2569023569023569	0.3869047619047619	0.05555555555555553	1.0	0.1118816844919786	0.0	0.13333333333333333	0.09285714285714283	0.43333333333333335
GSM2481577	0.27022058823529416	0.46402780098997437	0.05408496732026143	0.7222222222222222	0.5610075187969925	0.7103174603174603	0.16752669099665962	0.21263962375073486	0.4738095238095238	0.0	1.0	0.13888137325637323	0.0	0.14285714285714285	0.13999999999999999	0.26666666666666666
GSM2481578	0.06818181818181818	0.7883155701304912	0.008333333333333333	0.9222222222222222	0.02756635177687808	0.8492063492063493	0.029710144927536233	0.45185185185185184	0.20238095238095238	0.0	1.0	0.0	0.0	0.0	0.18461538461538463	0.09999999999999999
GSM2481581	0.09868421052631579	0.9529874887017743	0.02638888888888889	1.0	0.03177257525083611	0.0625	0.05002498750624687	0.7601851851851851	0.0238095238095238	0.0	0.9484126984126985	0.12777777777777777	0.125	0.14285714285714285	0.33626680296447736	0.0
GSM2481586	0.0	0.9484126984126983	0.008764367816091951	0.975	0.00769230769230769	0.0625	0.0116191904047976	0.6342592592592593	0.0238095238095238	0.08333333333333333	0.9484126984126985	0.2	0.125	0.015873015873015872	0.4601173864894794	0.0
