control_name	module_id	control_type	n_DMRs	cosine_to_full	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
remove_module_M06	M06	remove_module_keep_remainder	133	0.9994068364201746	0.06616587526418177	0.0976296800561387	0.1918477809794255	0.8487798699346262	0.23853767819228597	0.6520015301225883	0.23901768961538053	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6751742764503731	1.0224014859114376
only_module_M02	M02	only_module	30	0.5692861061906217	1.1150053483739573	0.8827271140796229	0.9923600079260143	0.8487798699346262	0.24426482979319036	0.6279666468582554	0.24479063833660414	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4	0.875	0.875	2.0271477440960086	1.0224014859114376
remove_module_M02	M02	remove_module_keep_remainder	126	0.9931063614859674	0.15897210901965492	0.09561478211117325	0.20241348745680468	0.8487798699346262	0.23888937783532158	0.6515404285172691	0.23936831743609857	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.7212850059355776	1.0224014859114376
only_module_M08	M08	only_module	7	0.9289145504953878	1.1397712799966309	0.8966676374396654	0.9949766945279098	0.8487798699346262	0.24466537852000556	0.6272957655529439	0.24519035895036856	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.0684636750538847	1.0224014859114376
remove_module_M08	M08	remove_module_keep_remainder	149	0.9997922042634582	0.06274535917503546	0.10821113281202233	0.20624059223661295	0.8487798699346262	0.23843892900763183	0.652011580646126	0.23892053729709978	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.669213452186048	1.0224014859114376
only_module_M03	M03	only_module	5	0.835451914196609	1.1600057822863141	0.9090033340508846	0.9749840077041526	0.8487798699346262	0.24483902225563542	0.6265955446751875	0.2453635787165212	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.099956373672109	1.0224014859114376
remove_module_M03	M03	remove_module_keep_remainder	151	0.99976676976214	0.04558524911944879	0.1147022590812542	0.20452318716947676	0.8487798699346262	0.2384387610314694	0.6521090856192315	0.23891870487909714	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6653141174098309	1.0224014859114376
only_module_M00	M00	only_module	16	0.7353974098093546	1.1597750614904292	0.910441405070412	0.9197314790776754	0.8487798699346262	0.24481606008902856	0.6263960081482663	0.24534094819766136	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1008651555646165	1.0224014859114376
remove_module_M00	M00	remove_module_keep_remainder	140	0.9995298719172339	0.05247461891854912	0.096255429482901	0.18663770677066627	0.8487798699346262	0.23850692794773282	0.6521147741041324	0.2389861711745943	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6721271911916348	1.0224014859114376
only_module_M09	M09	only_module	3	0.9288925825051303	1.140853608561831	0.8975089092172441	1.0488430440561576	0.8487798699346262	0.24464360715910036	0.6271816535342211	0.24516861929466335	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.069574555153995	1.0224014859114376
