train_protocol	rollout_mode	start_stage	target_stage	start_tau	target_tau	n_predicted_particles	n_observed_samples	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_threshold_morula_q90	pred_basin_occupancy	observed_basin_occupancy	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
full_all_transitions	deterministic	MII oocyte	blastocyst	0.0	1.0	36	5	0.9961492757584324	0.9529889124440625	0.8792855699924276	1.146451239165915	0.15374205232841434	0.6744491871124331	0.15374232061006837	1.5666635350021403	0.0	0.0	1.720672392592556	3.397489915056115
full_all_transitions	stochastic_residual	MII oocyte	blastocyst	0.0	1.0	720	5	0.9313233167639775	0.1071108462398731	3.6195646070969483	46.46145047090679	0.1589116465981588	0.6680519067744037	0.22501903080050073	1.5666635350021403	0.0125	0.0	8.184588723896468	3.397489915056115
full_all_transitions	deterministic	zygote/PN	zygote/PN	0.16666666666666666	0.16666666666666666	30	30	0.0	0.0	0.0	0.0	0.041099346165881956	0.9933843213424108	0.08915314043668542	1.5666635350021403	0.0	0.0	10.476711921316689	10.476711921316689
full_all_transitions	stochastic_residual	zygote/PN	zygote/PN	0.16666666666666666	0.16666666666666666	600	30	1.2127376262701771e-14	0.0	0.07751174043891514	0.4374356026288835	0.04109934616588192	0.9933843213424111	0.08915314043668542	1.5666635350021403	0.0	0.0	10.476711921316689	10.476711921316689
full_all_transitions	deterministic	zygote/PN	2-cell	0.16666666666666666	0.3333333333333333	30	20	0.37989072300330734	0.12136057856949956	0.6066026219661682	2.935821828556422	0.10234794258455725	0.878189689953162	0.10975059549616957	1.5666635350021403	0.0	0.0	4.112562338491347	3.895913884170207
full_all_transitions	stochastic_residual	zygote/PN	2-cell	0.16666666666666666	0.3333333333333333	600	20	0.5165965797889573	0.08766678034757147	2.806967324854111	35.32494714114167	0.10946310342050149	0.869375005132834	0.18383089402613478	1.5666635350021403	0.005	0.0	8.222758477910645	3.895913884170207
full_all_transitions	deterministic	zygote/PN	4-cell	0.16666666666666666	0.5	30	25	1.1811479483306855	0.6363049608399503	1.0698294996294777	1.6854111961779703	0.12876656126480612	0.8049715900401782	0.12968577377028292	1.5666635350021403	0.0	0.0	2.502576371588299	4.246478430257651
full_all_transitions	stochastic_residual	zygote/PN	4-cell	0.16666666666666666	0.5	600	25	0.954861997524186	0.11057139673553729	3.3589951892394803	43.37347664193347	0.13658392916831774	0.7975316891527315	0.2068915828790754	1.5666635350021403	0.015	0.0	8.183114918528329	4.246478430257651
full_all_transitions	deterministic	zygote/PN	8-cell	0.16666666666666666	0.6666666666666666	30	45	1.0309515936539146	0.5379342872807049	1.1079098621970676	1.7738487850845808	0.11232390566754434	0.9325986377103673	0.11247007804386161	1.5666635350021403	0.0	0.37777777777777777	1.997320277386558	1.9475723812798929
full_all_transitions	stochastic_residual	zygote/PN	8-cell	0.16666666666666666	0.6666666666666666	600	45	1.174942436820262	0.11967437840345152	3.400668908734419	43.940053730611815	0.11899570285289075	0.9150868343519389	0.19754414610836707	1.5666635350021403	0.0016666666666666668	0.37777777777777777	8.240661492081932	1.9475723812798929
full_all_transitions	deterministic	zygote/PN	morula	0.16666666666666666	0.8333333333333334	30	8	1.0439694936696169	0.9435792349386728	0.9236031884708817	1.1318263264842303	0.24425732631005273	0.6378157004692634	0.24426737314054284	1.5666635350021403	0.0	0.875	1.8095408035531217	1.0224014859114376
full_all_transitions	stochastic_residual	zygote/PN	morula	0.16666666666666666	0.8333333333333334	600	8	1.1934680846221086	0.11584746120289058	3.8105599661635674	47.247805777536996	0.2454177612588469	0.6239019742703131	0.29343689193538963	1.5666635350021403	0.011666666666666667	0.875	8.342786093756683	1.0224014859114376
full_all_transitions	deterministic	zygote/PN	blastocyst	0.16666666666666666	1.0	30	5	0.993800097918039	1.0239082410211298	0.9014899648119632	1.145610978582201	0.15370670620826274	0.6746448988030874	0.15370916331008394	1.5666635350021403	0.0	0.0	1.7254619155044564	3.397489915056115
full_all_transitions	stochastic_residual	zygote/PN	blastocyst	0.16666666666666666	1.0	600	5	1.096004426530737	0.11200023107586521	3.6895034083991414	44.051757694205186	0.15859576900797676	0.6641288492220745	0.22222303271621183	1.5666635350021403	0.006666666666666667	0.0	8.02609275368299	3.397489915056115
