scan_type	control_name	alpha	control_PC1	control_PC2	control_PC3	control_norm	control_cosine_to_measured_correction	PC3_negative_pull_recovery	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	latent_variance_trace	covariance_eigen_min	covariance_eigen_max	covariance_anisotropy	mean_radial_distance_before	mean_radial_distance_after	radial_distance_reduction	fraction_particles_moved_closer
full_measured_correction	measured_full_correction	0.5	-0.39570423994575643	-0.016924224725939515	-0.9587546205783368	1.0373421313018834	0.9999999999999998	0.5	0.5989097587488827	0.4441806978917828	0.5767756596171607	0.8487798699346262	0.2405969206033695	0.6436860494165726	0.24110661747584106	1.5666635350021403	1.9104332695957345	0.9333333333333333	0.9555555555555556	0.875	0.875	1.216613357495028	1.0224014859114376	0.5285826573934537	0.03374192641412865	0.3235010914609547	9.587511023552839	2.163377528533326	1.216613357495028	0.9467641710382981	1.0
full_measured_correction	measured_full_correction	0.55	-0.4352746639403321	-0.018616647198533467	-1.0546300826361705	1.1410763444320715	0.9999999999999998	0.55	0.5390187828739943	0.3946230389782943	0.5134039475688965	0.8487798699346262	0.24027415727871337	0.6449734008336935	0.24078048093574278	1.5666635350021403	1.9104332695957345	0.9555555555555556	0.9555555555555556	0.875	0.875	1.1315660809933346	1.0224014859114376	0.5285826573934536	0.03374192641412867	0.3235010914609548	9.587511023552839	2.163377528533326	1.1315660809933346	1.0318114475399915	1.0
full_measured_correction	measured_full_correction	0.6	-0.4748450879349077	-0.020309069671127417	-1.1505055446940042	1.24481055756226	0.9999999999999998	0.6	0.47912780699910623	0.3458685959079628	0.4508699886469336	0.8487798699346263	0.23997351684902773	0.6461657040643236	0.24047646391559732	1.5666635350021403	1.9104332695957345	0.9555555555555556	0.9777777777777777	0.875	0.875	1.0499813388606318	1.0224014859114376	0.5285826573934534	0.0337419264141286	0.3235010914609547	9.587511023552855	2.163377528533326	1.0499813388606318	1.1133961896726943	1.0
full_measured_correction	measured_full_correction	0.65	-0.5144155119294834	-0.02200149214372137	-1.246381006751838	1.3485447706924483	0.9999999999999998	0.65	0.41923683112421795	0.2986340979284572	0.41108824573879094	0.8487798699346262	0.23969398182371512	0.6472675842075093	0.24019364317566547	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9726074550793358	1.0224014859114376	0.5285826573934534	0.03374192641412861	0.3235010914609547	9.587511023552851	2.163377528533326	0.9726074550793358	1.1907700734539903	1.0
full_measured_correction	measured_full_correction	0.7	-0.553985935924059	-0.023693914616315318	-1.3422564688096714	1.4522789838226364	0.9999999999999998	0.7	0.35934585524933	0.25638026104170997	0.3813357343130743	0.8487798699346262	0.239436444040364	0.648275391463898	0.23993232180259308	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9003736544551418	1.0224014859114376	0.5285826573934536	0.03374192641412867	0.3235010914609548	9.587511023552839	2.163377528533326	0.9003736544551418	1.2630038740781844	1.0
full_measured_correction	measured_full_correction	0.75	-0.5935563599186346	-0.02538633708890927	-1.4381319308675051	1.5560131969528248	0.9999999999999998	0.7499999999999999	0.2994548793744415	0.21713099744747588	0.3162756585492754	0.8487798699346262	0.23920067710748513	0.6491919982554617	0.23969330499093924	1.5666635350021403	1.9104332695957345	0.9777777777777777	1.0	0.875	0.875	0.8344751618645659	1.0224014859114376	0.5285826573934536	0.03374192641412868	0.32350109146095457	9.587511023552828	2.163377528533326	0.8344751618645659	1.32890236666876	1.0
full_measured_correction	measured_full_correction	0.8	-0.6331267839132103	-0.027078759561503227	-1.534007392925339	1.6597474100830132	0.9999999999999998	0.8	0.2395639034995534	0.18164157666004055	0.28247314733847695	0.8487798699346262	0.23898629482587183	0.6500201486196158	0.23947626726944954	1.5666635350021403	1.9104332695957345	0.9777777777777777	1.0	0.875	0.875	0.7764558216177456	1.0224014859114376	0.5285826573934534	0.033741926414128626	0.32350109146095457	9.587511023552844	2.163377528533326	0.7764558216177456	1.3869217069155804	1.0
full_measured_correction	measured_full_correction	0.85	-0.6726972079077859	-0.028771182034097176	-1.6298828549831725	1.7634816232132013	0.9999999999999998	0.85	0.17967292762466539	0.1501958834014432	0.24987869437844218	0.8487798699346262	0.23879357117710404	0.6507594709821832	0.23928091369273205	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.7282059797313025	1.0224014859114376	0.5285826573934536	0.03374192641412869	0.32350109146095474	9.58751102355283	2.163377528533326	0.7282059797313025	1.4351715488020236	1.0
full_measured_correction	measured_full_correction	0.9	-0.7122676319023616	-0.03046360450669113	-1.7257583170410062	1.8672158363433897	0.9999999999999998	0.9	0.11978195174977709	0.12698231928365544	0.21328260996526652	0.8487798699346262	0.2386235261971641	0.6514068221268593	0.2391077929969564	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6917800015668913	1.0224014859114376	0.5285826573934536	0.03374192641412861	0.32350109146095446	9.587511023552844	2.163377528533326	0.6917800015668913	1.4715975269664348	1.0
full_measured_correction	measured_full_correction	0.95	-0.7518380558969372	-0.032156026979285074	-1.82163377909884	1.9709500494735779	0.9999999999999998	0.95	0.0598909758748889	0.111702419330178	0.2002297989267794	0.8487798699346262	0.23847553773797595	0.6519654244705816	0.23895678391872646	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6693452745101215	1.0224014859114376	0.5285826573934534	0.03374192641412864	0.3235010914609546	9.58751102355284	2.163377528533326	0.6693452745101215	1.4940322540232045	1.0
