module_id	cluster_name	TF	motif_id	score	threshold
M02	cluster_3362	KLF4	MA0039.5	10.858938911058885	10.858938911058885
M02	cluster_5400	KLF4	MA0039.5	14.580851619854784	10.858938911058885
M02	cluster_6871	KLF4	MA0039.5	11.887748025311378	10.858938911058885
M02	cluster_1851	KLF4	MA0039.5	11.887748025311378	10.858938911058885
M02	cluster_2832	KLF4	MA0039.5	14.580851619854784	10.858938911058885
M02	cluster_3336	KLF4	MA0039.5	14.580851619854784	10.858938911058885
M02	cluster_5307	KLF4	MA0039.5	10.858938911058885	10.858938911058885
M02	cluster_67	KLF4	MA0039.5	11.211893132868402	10.858938911058885
M10	cluster_6262	KLF4	MA0039.5	10.261583537440407	9.499036136437956
M01	cluster_3519	NR3C2	MA0727.2	0.20806927704434908	-0.23081894619481125
M01	cluster_6960	POU5F1	MA1115.2	12.829125583136944	11.667651457573111
M12	cluster_4904	POU5F1	MA1115.2	9.17360640748749	8.849164341468033
M02	cluster_2727	POU5F1	MA1115.2	12.829125583136944	10.248071970772967
M02	cluster_2832	POU5F1	MA1115.2	10.248071970772967	10.248071970772967
M01	cluster_6651	TEAD4	MA0809.3	12.214599584454348	10.37204813447544
M12	cluster_4904	TEAD4	MA0809.3	8.735896827376814	8.705677613016954
M01	cluster_4889	TFAP2C	MA0524.3	11.713810840056704	10.525024203695065
M01	cluster_3928	TFAP2C	MA0524.3	14.252711178026646	10.525024203695065
M12	cluster_2190	TFAP2C	MA0524.3	11.326579451511744	5.511082571171037
M02	cluster_5400	TFAP2C	MA0524.3	9.807473960198577	9.45421300775496
M02	cluster_2832	TFAP2C	MA0524.3	12.565060783833113	9.45421300775496
M01	cluster_3123	TFAP2C	MA0814.3	15.79149795535744	11.73169525520713
M12	cluster_2190	TFAP2C	MA0814.3	9.229757039016855	6.059700912607813
M02	cluster_5400	TFAP2C	MA0814.3	15.79149795535744	11.140467198079682
M02	cluster_2832	TFAP2C	MA0814.3	13.675982431753114	11.140467198079682
M02	cluster_3336	TFAP2C	MA0814.3	12.31475228281741	11.140467198079682
M01	cluster_832	NANOG	MA2339.1	9.825502574619618	9.825502574619618
M10	cluster_6262	PRDM14	MA1998.2	9.594938394412457	7.028951607754595
