cluster_name	k27ac_8cell_ov	k27ac_8cell_score	k27ac_blast_ov	k27ac_blast_score	k27me3_8cell_ov	k27me3_8cell_score	k4me3_8cell_ov	k4me3_8cell_score	k27me3_blast_ov	k27me3_blast_score	k4me3_blast_ov	k4me3_blast_score	acc_morula_mean	acc_8-cell_mean	acc_2-cell_mean	acc_4-cell_mean	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst
cluster_6518	0		0		0		0		1		0		0.19087516559999998	0.7099012865333333	-0.3239379619333333	-0.07710238166666666	59	0.3466789280921529	0.024956902722702987	M04	-0.7565856291431006	True	False	0.057179487179487176	0.12895238095238096	0.13150960895213767	0.5	0.11190476190476192
cluster_1715	1		1		0		1		0		1		0.6139499775999999	0.5015522137999999	-0.5959687416	0.579898398	60	-0.055338216775340315	-0.024207698715579238	M06	0.07217759934109301	False	True	0.03285387488328665	0.09104544297904343	0.026469997001911896	0.0	0.04570760233918129
cluster_7425	0		0		0		0		1		0		0.33573697	-0.459117725	0.937401222	-0.727126435	61	0.13436352642485072	0.02389330799416733	M01	-0.2361700303729288	False	False	0.14747474747474745	0.3753333333333333	0.8268384326355341	0.7247474747474747	0.3864864864864865
cluster_1333	0		0		0		0		1		0		0.7193941816666666	0.3787392783333334	-0.27988545600000003	0.07412967733333335	62	-0.09628726378701864	-0.02385699435247903	M04	0.0790317036730353	False	True	0.12050762315364268	0.09668308662322417	0.06961938895752771	0.008064516129032258	0.025541346973572042
cluster_5928	0		0		0		0		0		0		0.07055736325	0.31481923675	-0.63754466975	-0.015784474250000013	63	-0.1478406828267043	0.02366686550510441	M04	0.2243019943019942	False	False	0.1606060606060606	0.08	0.22430199430199424	0.0	0.0
cluster_1688	0		0		0		0		1		0						64	-0.040308438791640686	0.02325758337558164	M02	0.0444444444444444	False	False	0.0	0.02	0.04444444444444445	0.0	0.0
cluster_5215	0		0		0		0		0		0		0.313585376882353	0.35175699541176475	-0.05415558952941176	0.03753046111764705	65	0.8148807074730644	0.02257791147741315	M13	-1.6704008954008955	True	False	0.17106060606060608	0.1227142857142857	0.07959910459910459	1.0	0.25
cluster_1806	0		0		0		0		0		0		0.5955772658	0.0766677488	-0.5509145432999999	-0.3946436653	66	0.38848233320117936	0.022568391044334942	M06	-0.8773091917828759	True	False	0.07280844155844153	0.021333333333333333	0.10163817663817663	0.5	0.021052631578947368
cluster_840	0		0		0		0		0		0		-0.0903630925	0.1158235845	0.280487627	-0.010837624999999991	67	-0.07001911651094249	0.022510081405926686	M13	0.2944444444444444	False	True	0.09166666666666666	0.04	0.04444444444444445	0.0	0.25
cluster_2776	0		0		0		0		1		1		-0.007005847	1.77765258	-0.420125315	1.3178863440000002	68	0.0722998802700893	-0.02243036316972645	M14	-0.1871079120220997	True	False	0.06676220520909475	0.008583333333333333	0.0250542501400625	0.125	0.03783783783783784
cluster_6406	0		0		0		1		1		0		0.08897375539999999	0.7045703207999999	-0.5058193502	-0.08833924119999999	69	-0.03939850043333856	0.021592150581891487	M02	0.0222222222222222	False	False	0.016666666666666666	0.02666666666666666	0.022222222222222227	0.0	0.0
cluster_6171	0		0		0		0		0		0		-0.41662308366666667	0.4251660773333333	-0.193102015	-0.28589342199999995	70	-0.05886813429899046	0.021250280367365745	M04	0.09204153908345927	False	False	0.11330266357206012	0.14661335765683592	0.2763552645736553	0.15833333333333333	0.1323529411764706
cluster_2324	0		0		0		0		1		0		0.4262227371428571	0.3390750034285714	-0.091372097	-0.03624714699999998	71	-0.07125681657217904	0.020674366566264403	M14	0.1989638636441705	False	True	0.01986979133554575	0.02047502903600464	0.08692372986490632	0.0	0.1120401337792642
cluster_2126	0		0		0		0		0		0						72	-0.014718125637377278	0.020437472066274085	M02	0.0037037037037037	False	False	0.004347826086956522	0.0	0.003703703703703704	0.0	0.0
cluster_3133	0		0		0		0		1		1		0.4600214569166666	0.2807801841666667	-0.23996143475	0.14621403954166662	73	0.04201056394598427	-0.020431413895555767	M14	-0.08861166395885071	True	False	0.02540485829959514	0.0189366515837104	0.0226437472965606	0.08333333333333333	0.05541125541125541
cluster_915	0		1		0		0		0		0		-0.131902419	0.15655223699999998	0.38869553966666665	-0.022744095333333325	74	0.11713454542238527	-0.01999353420964911	M07	-0.4201062951802715	True	False	0.2564511752359922	0.10069003069003067	0.21387219944338448	0.3333333333333333	0.03268817204301076
cluster_4920	0		0		0		0		1		0		-0.5375087559999999	-0.0360641575	-0.8137245135	0.17018859949999993	75	0.017542968032702166	0.019617327282446258	M13	0.20093140129639006	False	False	0.08520358491071353	0.06335858585858585	0.0816198070934913	0.13541666666666666	0.3901449275362319
cluster_4084	0		0		0		0		1		0		0.08775926983720926	0.280076323116279	-0.05995806153488373	0.36249340106976746	76	-0.0480538567461459	-0.01955094844231297	M04	0.0982039135792816	False	True	0.07940544023436025	0.1294952345105325	0.1229698055820157	0.09347943722943723	0.16219298245614036
cluster_634	0		0		0		0		1		0		0.18568472110638296	0.4005903616595745	0.05497236185106382	0.1623305932127659	77	-0.05619901222150935	0.019127026406937114	M13	0.43333333333333335	False	True	0.0	0.04	0.03333333333333333	0.0	0.4
cluster_4449	0		0		0		0		1		0		0.26922970063636364	0.2617413362727273	-0.4686882144545454	-0.05916789854545454	78	-0.02964753954084175	0.018910067452266505	M13	0.2755555555555555	False	True	0.0	0.0	0.022222222222222227	0.0	0.2533333333333333
cluster_3227	0		0		0		0		1		0		0.06883034942857144	0.23018447757142854	-0.06028117742857143	0.13632705571428574	79	-0.09747022173829803	0.01829822903116026	M00	0.2016578483245149	False	True	0.1075	0.0	0.13499118165784835	0.0	0.06666666666666668
cluster_483	0		0		0		0		0		0		0.19028365353658536	0.37998318470731707	0.09324450402439023	0.15266680897560975	80	-0.0794555491234829	-0.018269489425537275	M11	0.0296296296296296	False	False	0.09888888888888887	0.056	0.029629629629629624	0.0	0.0
cluster_1586	0		1		0		1		1		0		0.04816724248571429	0.38756340842857134	-0.1359526679142857	-0.16322196185714288	81	-0.027211066639576443	0.017238617640969938	M00	0.1474074074074073	False	True	0.025	0.004705882352941176	0.007407407407407406	0.0	0.14
cluster_2004	0		0		0		0		1		0		0.10176552803703703	0.02541026992592594	-0.3982025765555555	-0.11271878437037035	82	-0.04248924404315595	0.016083742427707402	M11	0.0034211134211134	False	False	0.07974553224553224	0.038210678210678216	0.003421113421113421	0.0	0.0
cluster_5020	0		0		0		0		0		0		-0.6553253875	-0.007336246374999996	-0.140426778375	0.38466248862499997	83	-0.024119501666228383	-0.015386451646331638	M00	0.0917884852667461	False	True	0.12549351723392033	0.0020512820512820517	0.04261664261664262	0.02083333333333333	0.0908385093167702
cluster_4889	0		0		0		0		0		0		0.69390860785	0.5934635837	-0.19552694624999994	-0.12114589995000002	84	0.1775516334381394	-0.015037580151164553	M01	-0.2622290697525137	True	False	0.21980807103295447	0.10246536353381172	0.3374842603955989	0.4714285714285714	0.3431438127090301
cluster_5516	0		0		0		0		1		0		-0.9350170645	-0.29788756	0.19080182800000006	0.02300959650000001	85	-0.09363665043189832	0.0145793093893729	M07	0.0592592592592592	False	False	0.125	0.04	0.05925925925925925	0.0	0.0
cluster_3766	0		0		0		1		1		0		0.21895191824999996	-0.01775794550000001	0.40031353475	-0.03344061950000002	86	0.1794102994003202	0.014498148323204797	M14	-0.4513131748425867	True	False	0.025924695459579185	0.03435810810810811	0.04868682515741339	0.25	0.0
cluster_5599	1		1		0		0		0		0		0.5679394668571428	0.03320373128571425	-0.6069104902857142	0.26364026542857144	87	0.021082107461539268	0.014392782084662069	M06	-0.10552176112520947	True	False	0.08607142857142858	0.034	0.05234860924516097	0.09375	0.029629629629629624
cluster_3967	1		1		0		1		0		0		0.4266368355199999	0.10382353027999992	0.03532250975999998	0.1139182266	88	-0.05461503045642654	0.013740044568184008	M06	0.1031031930499738	False	True	0.07871858885595145	0.02979259319064587	0.062031764478545325	0.0	0.04107142857142857
cluster_4897	0		0		0		0		0		0						89	-0.031220836913798258	-0.01366492636868455	M06	0.0055555555555555	False	False	0.15	0.0	0.005555555555555557	0.0	0.0
cluster_126	1		0		0		0		1		0		0.22504760559999998	0.7173916396	0.3559833176	0.2567087068	90	-0.05471843250863073	-0.013563527494417912	M06	0.0541478857033692	False	True	0.1446877042414289	0.05454405243878927	0.04109879127278817	0.02083333333333333	0.054715761097247774
cluster_1126	0		0		0		0		1		0		-0.2562984456666667	0.4805315256666667	0.019735943666666655	0.07970866099999999	91	-0.08313350555748049	-0.013533457422441648	M00	0.2314825871869215	False	True	0.13406640747767934	0.001764705882352941	0.10714396284829722	0.0	0.12433862433862433
cluster_5760	0		0		0		0		1		0		1.22353073	-1.20853184	1.102084363	-0.755474357	92	0.09272216979768716	0.013484134338562334	M06	-0.2442326379192762	True	False	0.08885022948041388	0.0666024346024346	0.05378577987402089	0.171875	0.04573158220670307
cluster_6442	0		0		0		0		0		0		0.3996295670000001	0.5203003905555555	-0.3016792691111111	-0.3110539578888888	93	-0.015299962991754797	-0.013198134685181622	M02	0.0	False	False	0.05	0.04	0.0	0.0	0.0
cluster_1007	0		0		0		0		1		0		-0.2518541755555556	0.2755143461111111	0.07450100922222222	0.1824026305555556	94	-0.05954623437415254	0.012547690119988693	M00	0.1677248677248676	False	True	0.07795138888888889	0.013099415204678362	0.06613756613756612	0.0	0.1015873015873016
cluster_618	0		1		0		1		0		0		0.18568472110638296	0.4005903616595745	0.05497236185106382	0.1623305932127659	95	-0.023843979844190257	0.012457672993492734	M02	0.0666666666666666	False	True	0.00625	0.03	0.022222222222222227	0.0	0.04444444444444444
cluster_4538	0		0		0		0		0		0		0.10158976730769234	0.3927008373846154	-0.3933411095384615	0.04617716146153848	96	0.34900070450592824	-0.012119631552459195	M01	-0.675	False	False	0.35	0.04	1.0	1.0	0.325
cluster_3928	0		0		0		1		0		0		0.12186487150000005	-0.0010535126363636412	0.05044604949999999	0.18061427854545453	97	0.021943778166184147	-0.012049750118880712	M01	-0.2086730383777056	False	False	0.41063007397855145	0.14344155844155845	0.44150102002003705	0.3830492424242424	0.11592442645074225
cluster_1607	0		0		0		0		1		0		0.12359088166666668	0.4271012655555555	-0.1748220200833333	-0.18631493608333333	98	0.3821304215358719	0.011705633309194585	M06	-0.952123192711428	True	False	0.12687500000000002	0.0819047619047619	0.02969498910675382	0.5	0.01818181818181818
cluster_7683	0		0		0		0		1		0		-0.7102907340000001	0.259227259	-0.958233105	0.83836331	99	-0.07890418003207253	-0.011594583301013851	M06	0.0670197268236483	False	False	0.052739982123269705	0.0906557975218287	0.06701972682364839	0.0	0.0
cluster_6020	0		0		0		1		1		0		0.22297081885714284	0.2634507277857143	-0.3962478035	-0.03369917735714285	100	-0.03728257169463604	-0.011444463148376315	M06	0.0433563881839743	False	True	0.036706349206349215	0.049504840324913764	0.01423761423761424	0.0	0.029118773946360157
cluster_7095	1		1		0		1		0		0		0.7327324244615383	0.051630560153846136	-0.3109127056153846	0.021874314846153837	101	0.20442243560770554	0.011326551648274024	M06	-0.5309804269804269	True	False	0.08581932773109244	0.031044595004550514	0.02671188071188071	0.27884615384615385	0.0
cluster_293	1		1		0		1		1		1		0.29688348013793103	0.3368900094482759	0.058015507862068966	0.21877371020689665	102	-0.02203752054197289	-0.011320331359549872	M00	0.1174603174603174	False	True	0.0	0.01	0.01746031746031746	0.0	0.1
cluster_23	0		0		0		1		1		0		0.369485978	2.220037794	-0.026493400000000004	-1.115579509	103	-0.03906674878503307	0.010913730745669705	M06	0.008668405323794	False	False	0.05129619816726705	0.0524742648655692	0.030524465929854788	0.015625	0.009393939393939394
