cluster_name	module_id	branch	basin_residual_rank	abs_latent_residual_delta_beta	dmr_geometry_score	signed_duality	rebound_symmetry_score	curvature	public_accessibility_morula_max	public_accessibility_morula_minus_8cell	overlap_public_chromatin	joint_reset_geometry_access_score
cluster_3766	M14	other	86	0.0144981483232047	0.8052526993743468	1	0.8052526993743468	-0.4513131748425867	1.784644317	0.8634745779999998	True	0.37631530679781305
cluster_1406	M07	other	120	0.0074696948770885	0.9881944444465697	1	0.9881944444465697	-0.9356209150326796	1.499459383	-0.521101131	True	0.3446995032607562
cluster_5599	M06	other	87	0.014392782084662	0.6456823395856491	1	0.6456823395856491	-0.1055217611252094	1.968560645	-0.0477150830000001	True	0.3269914946290221
cluster_3416	M02	access	133	0.0051703497683711	0.7666666666696669	1	0.7666666666696669	-0.5888888888888889	1.897721177	-0.160795279	True	0.31586887694221905
cluster_125	M07	other	27	0.0639287189875389	0.4713586224606262	1	0.4713586224606262	0.1932373799040464	1.262357688	-0.957680106	True	0.3154769372605259
cluster_3967	M06	other	88	0.013740044568184	0.662103180782027	1	0.662103180782027	0.1031031930499738	1.909859433	0.1447137460000001	True	0.31072031820841256
cluster_5608	M00	other	114	0.0086324813042938	0.678618214788804	1	0.678618214788804	0.1583857509105242	1.968560645	-0.0477150830000001	True	0.30513956522432667
cluster_618	M02	access	95	0.0124576729934927	0.5000000000225	1	0.5000000000225	0.0666666666666666	2.204821917	-0.1227490239999999	True	0.2943074887647904
cluster_6400	M04	other	117	0.0079365451189275	0.9759543418028626	1	0.9759543418028626	0.1032822768232099	1.302369181	-0.1746005049999999	True	0.2602302273679608
cluster_5760	M06	other	92	0.0134841343385623	0.9361504721592713	1	0.9361504721592713	-0.2442326379192762	1.22353073	2.4320625700000003	True	0.24352149598902362
cluster_6495	M09	other	23	0.074610828498747	0.2332571194700489	1	0.2332571194700489	0.3005472876796404	1.302369181	-0.5061625949999999	True	0.23656037637461133
cluster_4084	M04	other	76	0.0195509484423129	0.4291783847898173	1	0.4291783847898173	0.0982039135792816	1.976177952	-0.1677938120000004	True	0.20650665021944994
cluster_5656	M14	other	106	0.0102486990911319	0.5159248884822408	1	0.5159248884822408	0.1819109866168688	1.968560645	-0.0477150830000001	True	0.19384761085683208
cluster_4904	M12	closure	18	0.079519979974636	0.0	0	0.0	0.5			False	0.18638143246713423
cluster_4593	M06	other	112	0.0089748354245758	0.5225362872326119	1	0.5225362872326119	0.0832497911445279	1.962360609	-0.0663216559999999	True	0.18601822328150242
cluster_1764	M15	other	34	0.0569407704222629	0.0	0	0.0	-0.4529411764705883	1.962699209	0.6874580880000003	True	0.1781283714215592
cluster_5661	M01	closure	35	0.0516704121145394	0.037777777781779244	1	0.037777777781779244	-0.2594444444444448	1.968560645	-0.0477150830000001	True	0.16633072875866792
cluster_1556	M00	other	48	0.0326013937956062	0.3333333333433329	1	0.3333333333433329	0.1333333333333333	1.7926254430000002	-0.549831993	True	0.16627561558444956
cluster_6020	M06	other	100	0.0114444631483763	0.4889496468787255	1	0.4889496468787255	0.0433563881839743	1.851899126	0.910601616	True	0.13626156591806773
cluster_6655	M01	closure	14	0.1006123569637234	-0.3522945364895368	-1	0.3522945364895368	-0.1015156067996125	1.6336397880000002	-0.1748919879999997	True	0.13353562479680917
