cluster_name	x_morula	x_blast	is_mzero	is_remeth	acc_morula	module_id	k27me3_blast_ov	k27me3_8cell_ov	k4me3_blast_ov	k27ac_blast_ov	k4me3_8cell_ov
cluster_4889	0.4714285714285714	0.3431438127090301	0	0	0.69390860785	M01	0	0	0	0	0
cluster_4897	0.0	0.0	1	0		M06	0	0	0	0	0
cluster_4899	0.0	0.13333333333333336	1	1		M00	0	0	0	0	0
cluster_4904	0.0	0.0	1	0		M12	0	0	0	0	0
cluster_4907	0.23214285714285715	0.22051282051282048	0	0		M08	0	0	0	0	0
cluster_4909	0.0	0.5755555555555556	1	1		M15	0	0	0	0	0
cluster_4920	0.13541666666666666	0.3901449275362319	0	0	-0.5375087559999999	M13	1	0	0	0	0
cluster_5002	0.09455128205128203	0.4819085843709646	0	0	-0.8750030294	M01	1	0	0	0	0
cluster_5020	0.02083333333333333	0.0908385093167702	0	0	-0.6553253875	M00	0	0	0	0	0
cluster_5024	0.0	0.04	1	0	-0.7308543154285715	M02	1	0	0	0	0
cluster_5064	0.0	0.0281733746130031	1	0	-0.3087862028461539	M07	1	0	0	1	1
cluster_5215	1.0	0.25	0	0	0.313585376882353	M13	0	0	0	0	0
cluster_5240	0.0	0.0	1	0	0.3083585112941176	M06	0	0	0	0	0
cluster_5252	0.0	1.0	1	1	0.1751024924736842	M15	0	0	0	0	0
cluster_5307	0.0	0.06000000000000001	1	1	0.17775505247619044	M02	1	0	0	0	1
cluster_5336	0.0	0.0	1	0	0.16075562617391306	M06	1	0	0	1	0
cluster_5400	0.0	0.0158947970268725	1	0	-0.337068425	M02	0	0	0	0	1
cluster_543	0.25	0.3333333333333333	0	0	0.19774904530434775	M08	0	0	0	0	0
cluster_5447	0.0	0.0	1	0	-0.8587290409999999	M02	1	0	0	0	0
cluster_5516	0.0	0.0	1	0	-0.9350170645	M07	1	0	0	0	0
cluster_5580	0.0	0.0	1	0	0.6871017704000001	M02	1	0	0	0	0
cluster_5599	0.09375	0.029629629629629624	0	0	0.5679394668571428	M06	0	0	0	1	0
cluster_5608	0.0	0.09435483870967742	1	1	0.5679394668571428	M00	0	0	0	0	0
cluster_5656	0.0	0.12	1	1	0.5889355736666666	M14	1	0	0	0	0
cluster_5659	0.0	0.0	1	0	0.5889355736666666	M07	0	0	0	0	0
cluster_5661	0.7916666666666667	0.5416666666666667	0	0	0.4111815006	M01	0	0	0	0	0
cluster_5678	0.6862745098039216	0.8066666666666666	0	0	0.4111815006	M10	1	0	0	0	0
cluster_5679	0.5	0.2866666666666667	0	0	0.4111815006	M01	1	0	0	0	0
cluster_5760	0.171875	0.04573158220670307	0	0	1.22353073	M06	1	0	0	0	0
cluster_587	0.5	0.0	0	0	0.19596429402173907	M05	1	0	0	0	0
