cluster_name	module_id	branch	beta_8cell	beta_morula	beta_blastocyst	entry_change	exit_change	curvature	rebound_ratio	is_u_shape	is_inverted_u	basin_residual_rank
cluster_543	M08	other	0.9777777777777776	0.25	0.3333333333333333	-0.7277777777777776	0.08333333333333331	0.8111111111111109	0.1145038167937358	True	False	16
cluster_5447	M02	access	0.0042328042328042	0.0	0.0	-0.0042328042328042	0.0	0.0042328042328042	0.0	False	False	113
cluster_5516	M07	other	0.0592592592592592	0.0	0.0	-0.0592592592592592	0.0	0.0592592592592592	0.0	False	False	85
cluster_5580	M02	access	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	156
cluster_5599	M06	other	0.0523486092451609	0.09375	0.0296296296296296	0.0414013907548391	-0.0641203703703704	-0.10552176112520949	1.548749189333141	False	True	87
cluster_5608	M00	other	0.0640309122008468	0.0	0.0943548387096774	-0.0640309122008468	0.0943548387096774	0.1583857509105242	1.4735826097907123	True	False	114
cluster_5656	M14	other	0.0619109866168689	0.0	0.12	-0.0619109866168689	0.12	0.18191098661686889	1.938266639823913	True	False	106
cluster_5659	M07	other	0.0666666666666666	0.0	0.0	-0.0666666666666666	0.0	0.0666666666666666	0.0	False	False	110
cluster_5661	M01	closure	0.7822222222222219	0.7916666666666667	0.5416666666666667	0.00944444444444481	-0.25	-0.2594444444444448	26.47058823249032	False	True	35
cluster_5678	M10	access	0.0417989417989418	0.6862745098039216	0.8066666666666666	0.6444755680049797	0.12039215686274507	-0.5240834111422348	0.18680639397276272	False	False	4
cluster_5679	M01	closure	0.5709321386858208	0.5	0.2866666666666667	-0.07093213868582082	-0.21333333333333332	-0.1424011946475125	3.007569449939208	False	False	31
cluster_5760	M06	other	0.0537857798740208	0.171875	0.045731582206703	0.1180892201259792	-0.126143417793297	-0.2442326379192762	1.068204342933735	False	True	92
cluster_587	M05	closure	0.0962962962962963	0.5	0.0	0.4037037037037037	-0.5	-0.9037037037037037	1.2385321100886753	False	True	26
cluster_5923	M09	other	0.3910493827160493	0.0138888888888888	0.1186147186147186	-0.3771604938271605	0.1047258297258298	0.48188632355299027	0.27766913937053106	True	False	20
cluster_5928	M04	other	0.2243019943019942	0.0	0.0	-0.2243019943019942	0.0	0.2243019943019942	0.0	False	False	63
cluster_5966	M02	access	0.0111111111111111	0.0	0.0	-0.0111111111111111	0.0	0.0111111111111111	0.0	False	False	135
