cluster_name	x_morula	x_blast	x_blast_pred_meth_only	c_diag_blast	module_id	is_remeth_dmr	is_demeth_dmr	acc_morula	n_cpg	width
cluster_3303	0.026583710407239818	0.021428571428571432	0.08371611990950226	-0.06228754848093082	M02	0	0	0.2326938243157895	4	679
cluster_3336	0.0	0.02	0.0688	-0.048799999999999996	M02	0	0	0.18977602995000006	3	300
cluster_3348	1.0	0.0	0.6299	-0.6299	M02	0	1	0.1430032778095238	2	3
cluster_3362	0.011363636363636364	0.015384615384615384	0.07517613636363636	-0.059791520979020976	M02	0	0	0.1430032778095238	4	663
cluster_3369	0.0	0.0	0.0688	-0.0688	M02	0	0	0.089100799173913	3	238
cluster_3416	0.3333333333333333	0.0	0.25583333333333336	-0.25583333333333336	M02	0	1	0.2683839703666667	2	161
cluster_3519	0.33035714285714285	0.4519896640826874	0.25416339285714284	0.19782627122554458	M01	0	0	0.39122289480000016	2	350
cluster_3660	0.0	0.0	0.0688	-0.0688	M04	0	0	0.48492230299999994	2	442
cluster_3684	0.0	0.0	0.0688	-0.0688	M02	0	0	0.48492230299999994	3	233
cluster_3762	0.7	0.061904761904761914	0.46157000000000004	-0.39966523809523813	M07	0	1	1.187335796	2	19
cluster_3766	0.25	0.0	0.209075	-0.209075	M14	0	0	0.21895191824999996	3	41
cluster_386	0.05	0.09714285714285714	0.096855	0.00028785714285714525	M00	0	0	0.22308891954838705	4	215
cluster_3928	0.3830492424242424	0.11592442645074225	0.2837289299242424	-0.16780450347350018	M01	0	0	0.12186487150000005	2	630
cluster_3967	0.0	0.04107142857142857	0.0688	-0.02772857142857143	M06	0	0	0.4266368355199999	6	331
cluster_3978	0.05555555555555555	0.0	0.09997222222222223	-0.09997222222222223	M06	0	0	0.3446764003846154	3	201
cluster_4026	1.0	0.28	0.6299	-0.3499	M03	0	0	0.18648647845161287	2	244
cluster_4028	0.0	0.057142857142857134	0.0688	-0.011657142857142866	M02	1	0	0.20518743871875	2	46
cluster_4064	0.0	0.0475	0.0688	-0.0213	M06	0	0	0.07319323619047613	5	562
cluster_4084	0.09347943722943723	0.16219298245614036	0.12125131222943723	0.04094167022670313	M04	0	0	0.08775926983720926	2	371
cluster_4141	0.0	0.0	0.0688	-0.0688	M05	0	0	0.07451343352727277	2	69
cluster_4364	0.0	0.07060041407867494	0.0688	0.0018004140786749417	M04	1	0	-0.4038656483333333	2	238
cluster_4373	0.0	0.5	0.0688	0.4312	M01	1	0	-0.4038656483333333	3	243
cluster_4404	0.2333333333333333	0.15657894736842107	0.19972333333333334	-0.04314438596491227	M01	0	0	0.015064603600000013	4	131
cluster_4420	0.0	0.02	0.0688	-0.048799999999999996	M06	0	0	0.3146190316666667	6	729
cluster_4449	0.0	0.2533333333333333	0.0688	0.1845333333333333	M13	1	0	0.26922970063636364	2	3
cluster_4532	1.0	0.3	0.6299	-0.3299	M13	0	0	0.10158976730769234	3	360
cluster_4538	1.0	0.325	0.6299	-0.3049	M01	0	0	0.10158976730769234	2	249
cluster_4551	0.0	0.125	0.0688	0.0562	M00	1	0	0.10158976730769234	2	235
cluster_4593	0.0	0.028571428571428567	0.0688	-0.04022857142857143	M06	0	0	0.12032015844444445	2	339
cluster_4605	0.45	0.36	0.321295	0.03870499999999999	M01	0	0	0.10468495178947372	2	192
cluster_483	0.0	0.0	0.0688	-0.0688	M11	0	0	0.19028365353658536	3	494
cluster_4889	0.4714285714285714	0.3431438127090301	0.33331857142857146	0.009825241280458641	M01	0	0	0.69390860785	6	496
cluster_4897	0.0	0.0	0.0688	-0.0688	M06	0	0		4	388
cluster_4899	0.0	0.13333333333333336	0.0688	0.06453333333333336	M00	1	0		2	522
cluster_4904	0.0	0.0	0.0688	-0.0688	M12	0	0		2	268
cluster_4907	0.23214285714285715	0.22051282051282048	0.19905535714285716	0.02145746336996332	M08	0	0		2	661
cluster_4909	0.0	0.5755555555555556	0.0688	0.5067555555555556	M15	1	0		2	536
cluster_4920	0.13541666666666666	0.3901449275362319	0.14478229166666667	0.24536263586956525	M13	0	0	-0.5375087559999999	5	1409
cluster_5002	0.09455128205128203	0.4819085843709646	0.12185272435897435	0.3600558600119903	M01	0	0	-0.8750030294	3	284
cluster_5020	0.02083333333333333	0.0908385093167702	0.08048958333333334	0.010348925983436869	M00	0	0	-0.6553253875	3	104
cluster_5024	0.0	0.04	0.0688	-0.0288	M02	0	0	-0.7308543154285715	2	92
cluster_5064	0.0	0.0281733746130031	0.0688	-0.0406266253869969	M07	0	0	-0.3087862028461539	2	509
cluster_5215	1.0	0.25	0.6299	-0.3799	M13	0	0	0.313585376882353	3	607
cluster_5240	0.0	0.0	0.0688	-0.0688	M06	0	0	0.3083585112941176	3	100
cluster_5252	0.0	1.0	0.0688	0.9312	M15	1	0	0.1751024924736842	2	25
cluster_5307	0.0	0.06000000000000001	0.0688	-0.008799999999999988	M02	1	0	0.17775505247619044	3	552
cluster_5336	0.0	0.0	0.0688	-0.0688	M06	0	0	0.16075562617391306	2	657
cluster_5400	0.0	0.0158947970268725	0.0688	-0.0529052029731275	M02	0	0	-0.337068425	4	625
cluster_543	0.25	0.3333333333333333	0.209075	0.1242583333333333	M08	0	0	0.19774904530434775	5	190
cluster_5447	0.0	0.0	0.0688	-0.0688	M02	0	0	-0.8587290409999999	2	42
cluster_5516	0.0	0.0	0.0688	-0.0688	M07	0	0	-0.9350170645	2	238
cluster_5580	0.0	0.0	0.0688	-0.0688	M02	0	0	0.6871017704000001	2	43
cluster_5599	0.09375	0.029629629629629624	0.121403125	-0.09177349537037038	M06	0	0	0.5679394668571428	4	817
cluster_5608	0.0	0.09435483870967742	0.0688	0.025554838709677424	M00	1	0	0.5679394668571428	7	876
cluster_5656	0.0	0.12	0.0688	0.051199999999999996	M14	1	0	0.5889355736666666	2	559
cluster_5659	0.0	0.0	0.0688	-0.0688	M07	0	0	0.5889355736666666	2	86
cluster_5661	0.7916666666666667	0.5416666666666667	0.5130041666666667	0.028662500000000035	M01	0	0	0.4111815006	5	185
cluster_5678	0.6862745098039216	0.8066666666666666	0.45386862745098044	0.3527980392156862	M10	0	0	0.4111815006	3	58
cluster_5679	0.5	0.2866666666666667	0.34935000000000005	-0.06268333333333337	M01	0	0	0.4111815006	3	81
cluster_5760	0.171875	0.04573158220670307	0.1652390625	-0.11950748029329694	M06	0	0	1.22353073	6	815
cluster_587	0.5	0.0	0.34935000000000005	-0.34935000000000005	M05	0	1	0.19596429402173907	2	197
cluster_5923	0.013888888888888888	0.11861471861471863	0.07659305555555555	0.04202166305916308	M09	0	0	0.07055736325	2	293
cluster_5928	0.0	0.0	0.0688	-0.0688	M04	0	0	0.07055736325	2	230
cluster_5966	0.0	0.0	0.0688	-0.0688	M02	0	0	0.35704966155555545	4	255
cluster_5977	1.0	0.04484848484848485	0.6299	-0.5850515151515152	M06	0	1	0.4598605983636362	3	107
cluster_6020	0.0	0.029118773946360157	0.0688	-0.03968122605363984	M06	0	0	0.22297081885714284	4	496
cluster_6087	1.0	0.6666666666666666	0.6299	0.036766666666666614	M10	0	0		2	6
cluster_6114	0.2272727272727273	0.15968559837728194	0.1963227272727273	-0.03663712889544535	M01	0	0	-0.664971657	3	122
cluster_6143	0.0	0.2	0.0688	0.1312	M08	1	0	-0.664971657	2	359
cluster_6163	0.0	0.016666666666666666	0.0688	-0.05213333333333334	M08	0	0	-0.41662308366666667	11	721
cluster_6171	0.15833333333333333	0.1323529411764706	0.15764083333333334	-0.02528789215686275	M04	0	0	-0.41662308366666667	4	431
