cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_5656	M14	106.0	0.0	0.061910986616868974	0.013343099265388098	-0.013343099265388098	0.5889355736666666	0.09528211666666664	0.18191098661686889	False	True	1.0
cluster_3123	M01	107.0	0.4739130434782609	0.6639058456800905	0.44254637941254926	0.03136666406571165	0.4600214569166666	0.17924127275	0.08137491949699027	False	False	1.0
cluster_4064	M06	108.0	0.0	0.04003923240833735	0.034655448398413426	-0.034655448398413426	0.07319323619047613	-0.24695495121428576	0.0875392324083373	False	True	-1.0
cluster_1257	M02	109.0	0.0	0.01212121212121212	0.004309070791395828	-0.004309070791395828	-0.1574549965	0.2573302135	0.031168831168831106	False	True	-1.0
cluster_5659	M07	110.0	0.0	0.06666666666666668	0.1040255566584093	-0.1040255566584093	0.5889355736666666	0.09528211666666664	0.0666666666666666	False	False	1.0
cluster_2727	M02	111.0	0.0	0.0011111111111111113	0.031207159792526577	-0.031207159792526577	0.4145043538	0.2433549518	0.0011111111111111	False	False	1.0
cluster_4593	M06	112.0	0.0	0.054678362573099416	0.05542342298764661	-0.05542342298764661	0.12032015844444445	-0.3484010804444445	0.08324979114452791	False	True	-1.0
cluster_5447	M02	113.0	0.0	0.004232804232804232	0.02252793913102324	-0.02252793913102324	-0.8587290409999999	-0.052371606499999945	0.0042328042328042	False	False	1.0
cluster_5608	M00	114.0	0.0	0.06403091220084682	0.01522393525638501	-0.01522393525638501	0.5679394668571428	0.5347357355714285	0.1583857509105242	False	True	1.0
cluster_5336	M06	115.0	0.0	0.08333333333333333	0.05689227078890255	-0.05689227078890255	0.16075562617391306	-0.16915109782608698	0.0833333333333333	False	False	1.0
cluster_3303	M02	116.0	0.026583710407239818	0.00576460822263501	0.05281914120580229	-0.026235430798562474	0.2326938243157895	-0.08330058689473682	-0.025974241163273203	True	False	1.0
