iter	morula_rank_lowest_is_1	lowest_stage	morula_weighted_methylation
307	1	Morula	0.31540078810988
308	2	2-cell	0.4714671523673132
309	1	Morula	0.005871337972301882
310	6	4-cell	0.5672947844675148
311	3	Zygote	0.19809553548975117
312	3	2-cell	0.48730192215553647
313	3	Zygote	0.4369457984172063
314	5	2-cell	0.5488823272590095
315	3	4-cell	0.44605878619698347
316	3	4-cell	0.3671840457320318
317	4	2-cell	0.4176133284983524
318	1	Morula	0.30088318925762125
319	2	2-cell	0.3436754030099959
320	1	Morula	0.2779626341673347
321	1	Morula	0.03795772658306701
322	5	4-cell	0.5642466306158451
323	6	4-cell	0.70375941983883
324	5	2-cell	0.30296493950000736
325	4	4-cell	0.35050662729850446
326	2	4-cell	-0.01245903371963003
327	2	4-cell	-1.4282034079438501
328	2	Zygote	0.24287269104888515
329	6	2-cell	0.46353195048680296
330	1	Morula	0.3531092009449324
331	1	Morula	0.20921666729652777
332	1	Morula	0.15132927262909768
333	1	Morula	0.16154601677975242
334	1	Morula	0.37816080536895536
335	2	2-cell	0.26642301369875837
336	1	Morula	0.2457219132751331
337	3	Zygote	0.29188935210859174
338	5	8-cell	0.5335342724123081
339	1	Morula	-0.6472952562810692
340	1	Morula	0.27716707566510357
341	2	2-cell	0.27403435545406307
342	2	2-cell	0.31583593170939284
343	1	Morula	-0.18652553340829992
344	3	2-cell	0.39473337759077237
345	2	2-cell	0.15286536065806108
346	4	Zygote	0.505288830313855
347	4	4-cell	0.298920289499354
348	3	2-cell	0.451938834446756
349	1	Morula	0.3627128664754732
350	1	Morula	0.2793373386954543
351	1	Morula	0.2721430238817495
352	1	Morula	-0.023756386877498745
353	1	Morula	0.22448467949577364
354	1	Morula	0.3212428217038854
355	1	Morula	0.23593049225412527
356	2	Zygote	0.30431602928934964
357	3	2-cell	0.4581241279054032
358	3	4-cell	0.21197229441899454
359	2	Zygote	0.25927856227405144
360	1	Morula	0.2864201872198163
361	1	Morula	0.06599133482342655
362	6	2-cell	0.5601130342390693
363	2	2-cell	0.36337437967460817
364	1	Morula	0.09353779657562677
365	2	2-cell	0.3056707217193644
366	1	Morula	-0.0028374817848111633
367	5	4-cell	0.46909582574671416
368	6	Zygote	0.5294014104353454
369	3	4-cell	0.4430065308200016
370	1	Morula	-0.023702707564376563
371	2	2-cell	0.01784539627853876
372	1	Morula	0.26753911558782295
373	3	2-cell	0.4577082587505432
374	4	4-cell	0.31594309081830385
375	2	Zygote	0.3427808691054872
376	5	Zygote	0.500779833148633
377	1	Morula	0.14370337779527328
378	4	2-cell	0.5080421426934607
379	2	4-cell	0.14638922946054508
380	1	Morula	0.013998607019863663
381	1	Morula	0.3429480531532079
382	4	Zygote	0.21364618542572972
