sample_id,stage,z1,z2
GSM2986316,MII oocyte,1.1379739955623098,0.1742181025851979
GSM2986317,MII oocyte,0.6447054089093525,0.13334533722987268
GSM2986318,MII oocyte,1.0109489885617697,0.21678505142835278
GSM2986319,MII oocyte,1.0755579622731606,0.1722870188792347
GSM2986320,MII oocyte,0.9677815070708607,0.33521710815127015
GSM2986321,MII oocyte,0.8951301258169466,0.06796365744724434
GSM2986322,MII oocyte,0.9989039276002314,0.5127235745087001
GSM2986323,MII oocyte,1.0805812268155277,-0.030024312056812802
GSM2986324,MII oocyte,0.9869869923678926,0.3070490142072298
GSM2986325,MII oocyte,0.9300427240296169,0.5539881798933763
GSM2986326,MII oocyte,1.2700278057559076,0.3455398330884377
GSM2986327,zygote/PN,0.22771718378035416,0.6286817577085276
GSM2986328,zygote/PN,1.059424524044044,0.052113324866160965
GSM2986329,zygote/PN,0.46278566476421373,0.2782517991157647
GSM2986330,zygote/PN,0.3295078783783324,0.37318151659240534
GSM2986331,zygote/PN,0.22121097729970352,0.5427691747583739
GSM2986332,zygote/PN,0.5623866716995578,-0.08394998879482124
GSM2986333,zygote/PN,0.41614326529837803,0.8485952819868205
GSM2986334,zygote/PN,0.26716697489338903,0.3545138913985131
GSM2986335,zygote/PN,0.8343834122024041,0.7431411132898593
GSM2986336,zygote/PN,0.20921417912056262,-0.010067049041711351
GSM2986344,2-cell,0.2905338541786815,0.28620546670284275
GSM2986345,2-cell,1.0644979600874085,0.22559357662153012
GSM2986346,2-cell,0.6227765809202178,-0.009289592202230829
GSM2986347,2-cell,0.38991231665851944,0.2714339851890735
GSM2986348,2-cell,0.3342345996126222,0.060112189694470894
GSM2986349,2-cell,0.8497735262331031,0.5560525533374177
GSM2986350,2-cell,0.6344899730946935,0.21973672082530918
GSM2986351,2-cell,0.415123681352831,0.0714240456643386
GSM2986352,2-cell,0.6566930663157886,-0.1121257674643085
GSM2986353,2-cell,0.8388857992290579,0.2555545584434843
GSM2986354,2-cell,0.4870236257372351,-0.028516979884733465
GSM2986355,2-cell,0.6040077775171336,-0.07848076212179322
GSM2986356,2-cell,1.1983810809481765,0.3285076144383451
GSM2986357,2-cell,1.2570355061174308,0.2706894841942967
GSM2986358,2-cell,0.59074401211564,0.5691432710704618
GSM2986359,2-cell,0.467034033989164,0.26687588078507796
GSM2986360,4-cell,0.7654630269471827,0.6033838914308908
GSM2986361,4-cell,0.3587795801932121,0.7095203069161549
GSM2986362,4-cell,0.40989908653184337,0.40515042047122213
GSM2986363,4-cell,0.49075161855642235,0.7242368116892429
GSM2986364,4-cell,0.645305210733045,0.6236091290250968
GSM2986365,4-cell,0.8694817457219125,0.6421690703512725
GSM2986366,4-cell,0.8108428090447679,0.4542482518194592
GSM2986367,4-cell,0.5463235585122012,0.47751674322680604
GSM2986368,8-cell,0.3769220138095062,-0.12774446482813
GSM2986369,8-cell,0.360932806562853,-0.32849847256284104
GSM2986370,8-cell,-0.12272996754466692,0.002146613665114483
GSM2986371,8-cell,0.27165231162443504,-0.1360783264792746
GSM2986372,8-cell,0.7738215613547677,-0.37881819028217056
GSM2986373,8-cell,0.030542057792056654,-0.001482229240367089
GSM2986374,8-cell,0.457190879754522,-0.6463214086412193
GSM2986375,8-cell,-0.03579947567653424,-0.185635947918445
GSM2986376,8-cell,0.23665394923976907,-0.19415467865501743
GSM2986377,8-cell,0.2549365335851469,-0.24285164891904784
GSM2986378,8-cell,0.07911793715765489,0.015525214178368135
GSM2986379,8-cell,0.03895053849348318,-0.20764892150576442
GSM2986381,8-cell,0.007578220121089829,-0.06551900231323865
GSM2986382,8-cell,0.5828194374961978,-0.4179099383679923
