sample_id	stage	stage_order	tau	A	P	Hm	Hr	n_age_regions_used	n_observed_regions	observed_region_fraction
GSM2481567	zygote/PN	1	0.16666666666666666	0.2517948562257185	0.2039076035675005	0.0803121355759666	0.9018183215118488	30	30	0.19230769230769232
GSM2481571	zygote/PN	1	0.16666666666666666	0.6070897758113467	0.2039076035675005	0.277092285600538	0.9018183215118488	74	74	0.47435897435897434
GSM2481572	zygote/PN	1	0.16666666666666666	0.2307008891136616	0.2039076035675005	0.0590121641068678	0.9018183215118488	60	60	0.38461538461538464
GSM2481573	zygote/PN	1	0.16666666666666666	0.3560807323962126	0.2039076035675005	0.1606800067071846	0.9018183215118488	74	74	0.47435897435897434
GSM2481574	zygote/PN	1	0.16666666666666666	0.3494627159360965	0.2039076035675005	0.0954722726852866	0.9018183215118488	50	50	0.32051282051282054
GSM2481575	zygote/PN	1	0.16666666666666666	0.3094307640082296	0.2039076035675005	0.0859602840740897	0.9018183215118488	56	56	0.358974358974359
GSM2481576	zygote/PN	1	0.16666666666666666	0.6099760789618771	0.2039076035675005	0.130646344094557	0.9018183215118488	42	42	0.2692307692307692
GSM2481577	zygote/PN	1	0.16666666666666666	0.7253519231877532	0.2039076035675005	0.2179338087423705	0.9018183215118488	80	80	0.5128205128205128
GSM2481578	zygote/PN	1	0.16666666666666666	0.4235925340428804	0.2039076035675005	0.0757154226016364	0.9018183215118488	63	63	0.40384615384615385
GSM2986327	zygote/PN	1	0.16666666666666666	0.254963206034062	0.2039076035675005	0.1517752298122521	0.9018183215118488	86	86	0.5512820512820513
GSM2986328	zygote/PN	1	0.16666666666666666	0.7854546254851197	0.2039076035675005	0.2012710114241405	0.9018183215118488	74	74	0.47435897435897434
GSM2986329	zygote/PN	1	0.16666666666666666	0.3435904600241668	0.2039076035675005	0.0786184814202748	0.9018183215118488	70	70	0.44871794871794873
GSM2986330	zygote/PN	1	0.16666666666666666	0.364767984478203	0.2039076035675005	0.0756121374824564	0.9018183215118488	45	45	0.28846153846153844
GSM2986331	zygote/PN	1	0.16666666666666666	0.3825526464309362	0.2039076035675005	0.1327290355729885	0.9018183215118488	93	93	0.5961538461538461
GSM2986332	zygote/PN	1	0.16666666666666666	0.7429232514356782	0.2039076035675005	0.2865827764785796	0.9018183215118488	104	104	0.6666666666666666
