track_id	mark	stage	module_id	analysis_status	input_type	target_n	target_overlap_n	target_overlap_fraction	background_n	background_overlap_n	background_overlap_fraction	target_minus_background_signal	overlap_odds_ratio	fisher_p_greater	track_path	fisher_q_BH
H3K27me3_8cell	H3K27me3	8cell	M05	completed	BED_peak_overlap	6	0.0	0.0	126.0	1.0	0.007936507936507936	-0.007936507936507936	6.435897435897436	0.9999999999998972	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_8cell.hg19.bed.gz	1.0
H3K27me3_8cell	H3K27me3	8cell	M01	completed	BED_peak_overlap	21	0.0	0.0	441.0	1.0	0.0022675736961451248	-0.0022675736961451248	6.829457364341085	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_8cell.hg19.bed.gz	1.0
H3K27me3_8cell	H3K27me3	8cell	M12	completed	BED_peak_overlap	4	0.0	0.0	84.0	0.0	0.0	0.0	18.77777777777778	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_8cell.hg19.bed.gz	1.0
H3K27me3_8cell	H3K27me3	8cell	M02	completed	BED_peak_overlap	30	0.0	0.0	630.0	2.0	0.0031746031746031746	-0.0031746031746031746	4.121311475409836	0.9999999999998102	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_8cell.hg19.bed.gz	1.0
H3K27me3_8cell	H3K27me3	8cell	M10	completed	BED_peak_overlap	3	0.0	0.0	63.0	0.0	0.0	0.0	18.142857142857142	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_8cell.hg19.bed.gz	1.0
H3K27me3_morula	H3K27me3	morula	M05	completed	BED_peak_overlap	6	0.0	0.0	126.0	3.0	0.023809523809523808	-0.023809523809523808	2.7142857142857144	0.9999999999998918	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_morula.hg19.bed	1.0
H3K27me3_morula	H3K27me3	morula	M01	completed	BED_peak_overlap	21	0.0	0.0	441.0	2.0	0.0045351473922902496	-0.0045351473922902496	4.088372093023255	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_morula.hg19.bed	1.0
H3K27me3_morula	H3K27me3	morula	M12	completed	BED_peak_overlap	4	0.0	0.0	84.0	0.0	0.0	0.0	18.77777777777778	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_morula.hg19.bed	1.0
H3K27me3_morula	H3K27me3	morula	M02	completed	BED_peak_overlap	30	1.0	0.03333333333333333	630.0	9.0	0.014285714285714285	0.01904761904761905	3.3264942016057093	0.3740464819328858	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_morula.hg19.bed	0.9351162048322145
H3K27me3_morula	H3K27me3	morula	M10	completed	BED_peak_overlap	3	0.0	0.0	63.0	0.0	0.0	0.0	18.142857142857142	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_morula.hg19.bed	1.0
H3K27me3_blastocyst	H3K27me3	blastocyst	M05	completed	BED_peak_overlap	6	3.0	0.5	126.0	10.0	0.07936507936507936	0.42063492063492064	11.095238095238095	0.012751462137487622	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_blastocyst.hg19.bed.gz	0.05928991849629727
H3K27me3_blastocyst	H3K27me3	blastocyst	M01	completed	BED_peak_overlap	21	8.0	0.38095238095238093	441.0	41.0	0.09297052154195011	0.2879818594104308	6.076305220883534	0.000634969928671125	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_blastocyst.hg19.bed.gz	0.005555986875872344
H3K27me3_blastocyst	H3K27me3	blastocyst	M12	completed	BED_peak_overlap	4	1.0	0.25	84.0	8.0	0.09523809523809523	0.15476190476190477	3.857142857142857	0.35567243737911514	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_blastocyst.hg19.bed.gz	0.9351162048322145
H3K27me3_blastocyst	H3K27me3	blastocyst	M02	completed	BED_peak_overlap	30	15.0	0.5	630.0	68.0	0.10793650793650794	0.39206349206349206	8.211678832116789	3.0605699829203895e-07	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_blastocyst.hg19.bed.gz	5.355997470110681e-06
H3K27me3_blastocyst	H3K27me3	blastocyst	M10	completed	BED_peak_overlap	3	2.0	0.6666666666666666	63.0	2.0	0.031746031746031744	0.6349206349206349	41.0	0.008216783216783007	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27me3_blastocyst.hg19.bed.gz	0.047931235431234204
