model	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC3_recovery	PC1_negative_pull_recovered	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	sign_pattern	true_dual_branch_sign	rank_by_occupancy_cosine
all_module_sign_pattern	0.31379905042041845	0.056966495227927495	-0.45201820447189067	0.55320473858898	0.5371300080776716	-0.396507061010307	0.23573195621170812	-0.396507061010307	0.23573195621170812	1.0610364457829016	0.8391751913060158	0.9567329098273043	0.8487798699346262	0.24360507771631518	0.6303010731500205	0.24412826112545052	1.5666635350021403	1.9104332695957345	0.2	0.4666666666666667	0.875	0.875	1.9298172695989808	1.0224014859114376	M05:+1,M01:-1,M12:+1,M02:-1,M10:+1	False	11
all_module_sign_pattern	-0.2698701162871874	0.4289313873190693	-0.2289685196165406	0.5560922564356671	0.5530894689241428	0.34099977842565127	0.1194093434868783	0.34099977842565127	0.1194093434868783	1.054725431938268	0.8401029084297895	0.9202035228876975	0.8487798699346262	0.2437091836657824	0.630288902260472	0.24423641584204897	1.5666635350021403	1.9104332695957345	0.13333333333333333	0.4888888888888889	0.875	0.875	1.9355302356787516	1.0224014859114376	M05:-1,M01:+1,M12:+1,M02:-1,M10:-1	False	12
all_module_sign_pattern	-0.11679684342501079	-0.5079097622602865	-0.11773189433816525	0.5342982576967664	0.3025511132944392	0.14758098553735668	0.06139834521326604	0.14758098553735668	0.06139834521326604	1.1429542840782845	0.8814581163688885	1.0278131516858384	0.8487798699346262	0.24468629554340318	0.6294307387279143	0.24520629724895873	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.37777777777777777	0.875	0.875	2.065498966500954	1.0224014859114376	M05:+1,M01:+1,M12:-1,M02:+1,M10:+1	False	13
all_module_sign_pattern	-0.05018352170586102	-0.5412445264463731	-0.09622713441153039	0.5520178300164008	0.21178754108624778	0.06341039170156508	0.0501834006043614	0.06341039170156508	0.0501834006043614	1.1724523771333246	0.8997533885279045	0.9570570286500039	0.8487798699346262	0.24492626423210773	0.6284062797101844	0.2454459075622493	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.35555555555555557	0.875	0.875	2.1127950873548427	1.0224014859114376	M05:+1,M01:-1,M12:-1,M02:+1,M10:-1	False	14
all_module_sign_pattern	0.335589049747267	-0.0032057201517524878	-0.16540315541572118	0.3741503585103751	0.06658032426909975	-0.42404025010354945	0.0862593785028891	-0.42404025010354945	0.0862593785028891	1.2029045604094222	0.935871469226004	1.106529808305913	0.8487798699346262	0.24507817042241448	0.6248339241119623	0.24560186451018592	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1656362482656926	1.0224014859114376	M05:+1,M01:-1,M12:-1,M02:-1,M10:+1	False	15
all_module_sign_pattern	0.2480801169603388	-0.36875917193938934	-0.05764652943962881	0.44816313288457077	-0.07884842522744584	-0.31346658933240884	0.030063234221940675	-0.31346658933240884	0.030063234221940675	1.2452297032351927	0.9517985114679917	1.0894788866130927	0.8487798699346262	0.24559426955772481	0.6242448159102392	0.24611543841163044	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.2329836133783525	1.0224014859114376	M05:+1,M01:-1,M12:+1,M02:+1,M10:+1	False	16
all_module_sign_pattern	-0.2480801169603388	0.36875917193938934	0.05764652943962881	0.44816313288457077	0.07884842522744584	0.31346658933240884	-0.030063234221940675	0.31346658933240884	-0.030063234221940675	1.2053407436471615	0.9387199189932731	1.1753619768373198	0.8487798699346262	0.2452947004914889	0.6242604142891183	0.24581926782565777	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.2	0.875	0.875	2.1835075062060896	1.0224014859114376	M05:-1,M01:+1,M12:-1,M02:-1,M10:-1	False	17
all_module_sign_pattern	0.05018352170586102	0.5412445264463731	0.09622713441153039	0.5520178300164008	-0.21178754108624778	-0.06341039170156508	-0.0501834006043614	-0.06341039170156508	-0.0501834006043614	1.3030916082361912	0.9934475239691996	0.9694280683033427	0.8487798699346262	0.24604328863044006	0.6201542005540095	0.24656636755542538	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.1111111111111111	0.875	0.875	2.342163872886027	1.0224014859114376	M05:-1,M01:+1,M12:+1,M02:-1,M10:+1	False	18
all_module_sign_pattern	0.2698701162871874	-0.4289313873190693	0.2289685196165406	0.5560922564356671	-0.5530894689241428	-0.34099977842565127	-0.1194093434868783	-0.34099977842565127	-0.1194093434868783	1.4011625606372726	1.0383748062056293	1.108109292337859	0.8487798699346262	0.24726980528696388	0.6180497158531587	0.24778952703727455	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.06666666666666667	0.875	0.875	2.4951440109781107	1.0224014859114376	M05:+1,M01:-1,M12:-1,M02:+1,M10:+1	False	19
all_module_sign_pattern	-0.335589049747267	0.0032057201517524878	0.16540315541572118	0.3741503585103751	-0.06658032426909975	0.42404025010354945	-0.0862593785028891	0.42404025010354945	-0.0862593785028891	1.2312146328154971	0.9563192213169995	1.0365853138257481	0.8487798699346262	0.24575239030646337	0.6241082168401294	0.24627591939134388	1.5666635350021403	1.9104332695957345	0.0	0.2	0.875	0.875	2.2250924098431213	1.0224014859114376	M05:-1,M01:+1,M12:+1,M02:+1,M10:-1	False	20
all_module_sign_pattern	0.11679684342501079	0.5079097622602865	0.11773189433816525	0.5342982576967664	-0.3025511132944392	-0.14758098553735668	-0.06139834521326604	-0.14758098553735668	-0.06139834521326604	1.324203578113823	1.005030265565708	1.1561167962754886	0.8487798699346262	0.24627843437577282	0.6192095817236781	0.24680101492493284	1.5666635350021403	1.9104332695957345	0.0	0.1111111111111111	0.875	0.875	2.376456125068718	1.0224014859114376	M05:-1,M01:-1,M12:+1,M02:-1,M10:-1	False	21
all_module_sign_pattern	-0.31379905042041845	-0.056966495227927495	0.45201820447189067	0.55320473858898	-0.5371300080776716	0.396507061010307	-0.23573195621170812	0.396507061010307	-0.23573195621170812	1.3956247736822907	1.042967567006828	1.2603386782044232	0.8487798699346262	0.2475388226743154	0.617306151278752	0.24805795173139591	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.4985573490866937	1.0224014859114376	M05:-1,M01:+1,M12:-1,M02:+1,M10:-1	False	22
all_module_sign_pattern	0.07197352103270963	0.4810723110666931	0.3828421834676998	0.6190144535042869	-0.6286481844872289	-0.09094358079480755	-0.19965597831318038	-0.09094358079480755	-0.19965597831318038	1.449389359455023	1.0621061765263433	1.3511560896905286	0.8487798699346262	0.24788189874320601	0.613057545192033	0.2484011059837136	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.5874913434212687	1.0224014859114376	M05:-1,M01:+1,M12:-1,M02:-1,M10:+1	False	23
all_module_sign_pattern	0.4368504814180592	0.6202229013875903	0.44292754836623627	0.8784643439676736	-0.6672232132836298	-0.551991155664573	-0.23099108930450576	-0.551991155664573	-0.23099108930450576	1.5819914923243066	1.1103582901790527	1.204836107075378	0.8487798699346262	0.24932184859575968	0.606900267084897	0.24983806338627026	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.807891170332531	1.0224014859114376	M05:-1,M01:-1,M12:+1,M02:-1,M10:+1	False	24
all_module_sign_pattern	0.1385868427518594	0.4477375468806065	0.40434694339433463	0.6190086223171154	-0.7009342528786991	-0.17511417463059914	-0.210870922922085	-0.17511417463059914	-0.210870922922085	1.470581802523508	1.071356015513772	1.3367366256051851	0.8487798699346262	0.24813464229550924	0.6120584490142194	0.24865332178862082	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6222393823818217	1.0224014859114376	M05:-1,M01:-1,M12:-1,M02:-1,M10:-1	False	25
all_module_sign_pattern	0.4586404807449078	0.5600506860079103	0.7295425974224056	1.0277355024176607	-0.8351989532616745	-0.5795243447578156	-0.3804636670133247	-0.5795243447578156	-0.3804636670133247	1.7245503784284342	1.1487031939607075	1.538622611177726	0.8487798699346262	0.25141832209605725	0.5988232933859476	0.25193024116805	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.0495879898409592	1.0224014859114376	M05:-1,M01:-1,M12:-1,M02:-1,M10:+1	False	26
all_module_sign_pattern	-0.015535411754218603	0.11551885927905628	0.4905988094437922	0.504255042310113	-0.8911964861591215	0.0196300799763331	-0.2558521225941288	0.0196300799763331	-0.2558521225941288	1.4632468456763175	1.0704848696413602	1.2573122326559716	0.8487798699346262	0.24822544233694002	0.6129970170975056	0.24874385732910953	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.609803337509174	1.0224014859114376	M05:-1,M01:+1,M12:+1,M02:+1,M10:+1	False	27
