cluster_name	PC1_loading	PC2_loading	PC3_loading
cluster_4920	-0.008394300708055599	0.09400154833069993	0.03331054209108295
cluster_5002	0.1657651775824075	-0.01860075543743182	-0.002626295697667143
cluster_5020	0.01671150119338205	-0.007551058911462735	-0.03516278237257051
cluster_5024	0.006588326711340791	0.004873012756077196	-0.029565157672038895
cluster_5064	0.14942125964767136	0.008706584171717368	0.010224594239980078
cluster_5215	-0.01927871829877672	0.0027734087619927495	-0.03442831111844459
cluster_5240	-0.017161192445549613	0.0907747925029735	0.08949870700094532
cluster_5252	-0.0827115077600125	-0.013658464121208672	-0.024954888934440752
cluster_5307	0.02734603448643988	0.05292241876516327	0.0019256214649470106
cluster_5336	-0.03131344553095028	0.029923711035198006	0.014281485141752034
cluster_5400	0.09342089061219529	0.08864144785085541	0.06016494392618909
cluster_5447	0.04724029723677684	0.08262518829674048	0.04843637546324651
cluster_5516	0.19201045501328054	-0.02876853977846815	0.08614472698901975
cluster_5580	0.016805505018658073	-0.021905595436881347	0.004857880584114767
cluster_5599	0.007181441761317846	0.1326690712864989	0.03809641992525285
cluster_5608	0.006829334221610487	0.11901882510117184	0.03266413743511306
cluster_5656	0.07457880226946167	0.11038643743470578	0.05661002960931006
cluster_5659	0.1692879338530244	-0.015347315586057042	0.07586884484210633
cluster_5661	0.1267635335715638	-0.013379916684035471	0.12165869057597549
cluster_5678	0.11339571273021919	0.061430323894965805	-0.193083031548435
cluster_5679	0.07134616866742288	0.06531250035956747	-0.05884704553189751
cluster_5760	-0.027844184166225486	0.07907039926745002	0.025106559654999146
cluster_5923	-0.038050076997570084	0.06094827800635992	0.15974766160258003
cluster_5928	-0.05349174593582339	0.05383529664739199	0.052733439480744534
cluster_5966	0.01767794971796458	0.03383130474057845	-0.014107763035047583
cluster_5977	-0.011880448108729746	0.10915353276979008	0.03716325738949541
cluster_6020	0.012918157860881515	0.0858320690417392	-0.03106512679330956
cluster_6087	0.14032526029928516	0.06610078292156943	-0.08293133133689817
cluster_6114	0.1627200639466422	-0.004597540793474033	-0.0048791745027523745
cluster_6143	-0.06548480235376887	0.09747015612193655	0.06984708187713534
cluster_6163	-0.08441631349960221	0.08513976100624024	-0.006968415175408182
cluster_6171	-0.05028613611832636	0.10592732060658977	0.02909010504204306
cluster_6262	0.15712672401149677	0.030939113798476567	-0.155044490374471
cluster_6275	-0.0005852142598849052	0.101243467643429	-0.005554672186138643
cluster_6400	-0.025281088883702053	0.16974368574542104	0.018991265696342713
cluster_6406	0.0758566509284693	0.11287939146564804	0.0886272856083696
cluster_6410	0.04262021026477798	0.1329292399084924	0.022083220270662954
cluster_6442	-0.015448040228036716	-0.001935148420036468	-0.057648419382875835
cluster_6495	-0.06230936453792493	0.05679012645927737	0.15022559854307266
cluster_6498	0.09034021775932215	-0.009063563794824595	0.2321386519288427
