feature_set	control_model	alpha	sign_status	branch	control_modality	biological_status	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.75	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.0921355539488458	-0.1330103948517959	0.021684899693173602	0.10581227046088934	-0.01130888927559635	1.1915381700807706	0.9286567588185808	1.0123961608235907	0.8487798699346262	0.24521741156788715	0.6257933765242634	0.24574134845361095	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.15291568213096	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.75	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.0921355539488458	0.1330103948517959	-0.021684899693173602	-0.10581227046088934	0.01130888927559635	1.2114236621076273	0.9438864212991418	1.0059258355824525	0.8487798699346262	0.24526493385714726	0.6241800717178307	0.245789426857036	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.185779454236522	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.8	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.09827792421210219	-0.14187775450858228	0.02313055967271851	0.10581227046088927	-0.012062815227302775	1.1913833884089853	0.928445521533183	1.0079224412713725	0.8487798699346262	0.24521895921013953	0.625842382133969	0.2457428641842911	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1526472569455377	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.8	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.09827792421210219	0.14187775450858228	-0.02313055967271851	-0.10581227046088927	0.012062815227302775	1.2125856925410898	0.9446732392741903	1.1455969571493647	0.8487798699346262	0.24526965163334744	0.624121621062655	0.24579414791224258	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1876906411552626	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.85	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.10442029447535857	-0.15074511416536868	0.024576219652263417	0.10581227046088933	-0.012816741179009198	1.1912617308562632	0.9282541796035411	1.0234714932353586	0.8487798699346262	0.24522070818240613	0.6258910810659196	0.2457445810249199	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1524326064134183	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.85	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.10442029447535857	0.15074511416536868	-0.024576219652263417	-0.10581227046088933	0.012816741179009198	1.2137791397963609	0.9454766339473701	1.0659351334558345	0.8487798699346262	0.24527457091494406	0.6240628770120438	0.24579907011066984	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1896534236982785	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.9	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.11056266473861497	-0.15961247382215507	0.026021879631808322	0.10581227046088934	-0.01357066713071562	1.1911732075717558	0.928082771792101	1.0376398032330858	0.8487798699346262	0.2452226593036943	0.6259394632123849	0.24574649896684894	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.152271739972189	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.9	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.11056266473861497	0.15961247382215507	-0.026021879631808322	-0.10581227046088934	0.01357066713071562	1.2150039112951754	0.946296443240513	0.9634339524024671	0.8487798699346263	0.2452796916898131	0.6240038399876142	0.24580419344023424	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.191667677992861	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	0.95	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.11670503500187134	-0.16847983347894147	0.027467539611353228	0.1058122704608893	-0.014324593082422043	1.19111782594303	0.927931332659826	1.1374030767952412	0.8487798699346262	0.24522481309902966	0.6259875212958393	0.24574861798558037	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1521646634450837	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	0.95	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.11670503500187134	0.16847983347894147	-0.027467539611353228	-0.1058122704608893	0.014324593082422043	1.2162599124071687	0.9471325020577671	1.076962071502051	0.8487798699346262	0.24528501394533492	0.6239445104118454	0.2458095178883594	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1937332770722975	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	1.0	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.12284740526512773	-0.17734719313572786	0.028913199590898137	0.10581227046088934	-0.015078519034128468	1.1910955905929865	0.9277998925553087	1.0693196159160574	0.8487798699346262	0.24522716927484084	0.6260352576164685	0.24575093805788584	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.152111379045798	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	1.0	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.12284740526512773	0.17734719313572786	-0.028913199590898137	-0.10581227046088934	0.015078519034128468	1.2175470464845102	0.9479852569230924	1.0230179943859805	0.8487798699346262	0.2452905376683945	0.6238848887080729	0.24581504344197644	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.195850090910371	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore	1.05	correct_orientation	access	motif_TF_activity	promoter_TF_surrogate	-0.12898977552838412	-0.18621455279251425	0.030358859570443045	0.10581227046088929	-0.01583244498583489	1.1911065033779304	0.927688477605376	0.9952963116208265	0.8487798699346262	0.245229726878349	0.6260826820123219	0.24575345916752692	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1521118853844174	1.0224014859114376
access_TF_activity_all_motifs_zero_filled_zscore	access_TF_activity_all_motifs_zero_filled_zscore_sign_flip	1.05	sign_flip_control	access	motif_TF_activity	promoter_TF_surrogate	0.12898977552838412	0.18621455279251425	-0.030358859570443045	-0.10581227046088929	0.01583244498583489	1.2188652148970178	0.9488533915760438	1.0691809741691043	0.8487798699346262	0.24529626284538159	0.6238249753004838	0.245820770087524	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.1980179864567964	1.0224014859114376
