model	validation_status	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC2_recovery	PC3_recovery	PC3_negative_pull_recovered	PC1_negative_pull_recovered	center_error_vs_observed	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	closure_modules	access_modules	closure_sign	access_sign
exact_partition_010	exact_partition_with_branch_signs	0.16046407594859147	0.5391259098275156	0.3774077869003116	0.6773788481569032	-0.6182985267135405	-0.20275758982338432	-15.927639775463543	-0.19682188685184793	-0.19682188685184793	-0.20275758982338432	1.602432302766426	1.4720739502053002	1.0711699059160837	1.2863587704884605	0.8487798699346262	0.24807699382037768	0.6120370224456455	0.2485957935934371	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6248337886778637	1.0224014859114376	M05,M01,M10	M12,M02	-1	1
exact_partition_011	exact_partition_with_branch_signs	-0.16046407594859147	-0.5391259098275156	-0.3774077869003116	0.6773788481569032	0.6182985267135405	0.20275758982338432	15.927639775463543	0.19682188685184793	0.19682188685184793	0.20275758982338432	0.8124858986886141	1.0042092481538405	0.7645171105313686	0.9388946742089311	0.8487798699346262	0.24346750331057623	0.6342697030383652	0.24398177491294312	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5333333333333333	0.875	0.875	1.8348873846000517	1.0224014859114376	M05,M01,M10	M12,M02	1	-1
exact_partition_012	exact_partition_with_branch_signs	-0.029200676768199152	0.009204267853939518	-0.5390427258644501	0.5399115282875747	0.9431070302560126	0.036897098666673386	-0.2719258342106587	0.2811161032732706	0.2811161032732706	0.036897098666673386	0.6664884124222956	0.9097589800585225	0.7190713154471746	0.8308473449405995	0.8487798699346262	0.24252440819269136	0.6352857691899544	0.24304650695373106	1.5666635350021403	1.9104332695957345	0.4	0.6888888888888889	0.875	0.875	1.6888898983337333	1.0224014859114376	M05,M01,M10	M12,M02	1	1
exact_partition_013	exact_partition_with_branch_signs	0.05532019060292215	0.4894060021132148	0.37746599348604115	0.6205313325136674	-0.6090857690862461	-0.0699009323358596	-14.458742129650089	-0.19685224216095426	-0.19685224216095426	-0.0699009323358596	1.5566938379712565	1.4442594400064628	1.0596288392623707	1.312020960807613	0.8487798699346262	0.24782124476954498	0.6132998133300122	0.24834057881973662	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.579095323882694	1.0224014859114376	M05,M12,M02	M01,M10	-1	-1
exact_partition_014	exact_partition_with_branch_signs	0.15524017318164685	0.43940385583408487	0.4097231333759933	0.6205226070940292	-0.7172500237408783	-0.19615682308954704	-12.981506182691398	-0.21367465907431113	-0.21367465907431113	-0.19615682308954704	1.6088104934755925	1.4760444823803769	1.0736299184829439	1.3877904298028567	0.8487798699346262	0.2482003562306099	0.6118012723686379	0.24871889868362787	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.63121197938703	1.0224014859114376	M05,M12,M02	M01,M10	-1	1
exact_partition_015	exact_partition_with_branch_signs	-0.15524017318164685	-0.43940385583408487	-0.4097231333759933	0.6205226070940292	0.7172500237408783	0.19615682308954704	12.981506182691398	0.21367465907431113	0.21367465907431113	0.19615682308954704	0.7643547138915201	0.973413966224776	0.745668659654734	0.8433844687905021	0.8487798699346262	0.24322834904315346	0.6347185005286423	0.24374425949004136	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5555555555555556	0.875	0.875	1.7867561998029577	1.0224014859114376	M05,M12,M02	M01,M10	1	-1
exact_partition_016	exact_partition_with_branch_signs	-0.05532019060292215	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.0699009323358596	14.458742129650089	0.19685224216095426	0.19685224216095426	0.0699009323358596	0.8373352046913101	1.0199823296035575	0.7788944704985183	0.8473512238755854	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M05,M12,M02	M01,M10	1	1
exact_partition_017	exact_partition_with_branch_signs	-0.4268955237134879	-0.18314250575506102	0.4639360197412796	0.6565193035960456	-0.40053277053845504	0.5394123699205335	5.410661602547771	-0.24194721453411389	-0.24194721453411389	0.5394123699205335	1.4729444772180895	1.393609216043295	1.0431868870962533	1.3070625886493497	0.8487798699346262	0.24752771347188324	0.6183892114122069	0.24804586003550544	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.495345963129527	1.0224014859114376	M05,M12,M10	M01,M02	-1	-1
exact_partition_018	exact_partition_with_branch_signs	0.25168331604492883	0.5739135574077401	0.3924291281249457	0.7394064400265147	-0.6330344057026867	-0.31801948354082565	-16.95538692913097	-0.20465566459967927	-0.20465566459967927	-0.31801948354082565	1.6567058061214919	1.5047957138884742	1.0836907350143783	1.4010416439396005	0.8487798699346262	0.24842245488104822	0.610531017545709	0.24894053470361457	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.6791072920329295	1.0224014859114376	M05,M12,M10	M01,M02	-1	1
exact_partition_019	exact_partition_with_branch_signs	-0.25168331604492883	-0.5739135574077401	-0.3924291281249457	0.7394064400265147	0.6330344057026867	0.31801948354082565	16.95538692913097	0.20465566459967927	0.20465566459967927	0.31801948354082565	0.7815614738243266	0.9846899553472769	0.7466560896194391	0.852543240005579	0.8487798699346262	0.24334133281656012	0.6352889288931335	0.24385399812114794	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5555555555555556	0.875	0.875	1.8039629597357643	1.0224014859114376	M05,M12,M10	M01,M02	1	-1
