feature_set	module_id	control_value	control_value_z	control_modality	mark	stage	leakage_status	description	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight
H3K27me3_morula_to_blastocyst_histone_delta	M12	0.15476190476190477	-1.2608494586666972	histone_delta	H3K27me3	morula_to_blastocyst	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K27me3_morula_to_blastocyst_histone_delta	M02	0.373015873015873	-0.038726997471635494	histone_delta	H3K27me3	morula_to_blastocyst	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K27me3_morula_to_blastocyst_histone_delta	M10	0.6349206349206349	1.4278199559624383	histone_delta	H3K27me3	morula_to_blastocyst	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K4me3_8cell_histone_only	M05	-0.05555555555555555	-0.8051509582845956	histone	H3K4me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K4me3_8cell_histone_only	M01	0.14965986394557823	0.26185975667741784	histone	H3K4me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K4me3_8cell_histone_only	M12	-0.011904761904761904	-0.5781901155993054	histone	H3K4me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K4me3_8cell_histone_only	M02	0.4142857142857143	1.637773021164346	histone	H3K4me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K4me3_8cell_histone_only	M10	0.0	-0.5162917039578626	histone	H3K4me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K4me3_blastocyst_histone_only	M05	-0.031746031746031744	-0.767405073304378	histone	H3K4me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K4me3_blastocyst_histone_only	M01	-0.015873015873015872	-0.6698948988057277	histone	H3K4me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K4me3_blastocyst_histone_only	M12	-0.011904761904761904	-0.6455173551810651	histone	H3K4me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K4me3_blastocyst_histone_only	M02	0.19206349206349208	0.6074883871265916	histone	H3K4me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K4me3_blastocyst_histone_only	M10	0.3333333333333333	1.4753289401645793	histone	H3K4me3	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K27ac_8cell_histone_only	M01	0.0	0.447213595499958	histone_gated_TF	H3K27ac	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
motif_TF_x_H3K27ac_8cell_histone_only	M02	-0.5565178204780562	-1.788854381999832	histone_gated_TF	H3K27ac	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K27ac_8cell_histone_only	M05	0.0	0.447213595499958	histone_gated_TF	H3K27ac	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K27ac_8cell_histone_only	M12	0.0	0.447213595499958	histone_gated_TF	H3K27ac	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K27ac_8cell_histone_only	M10	0.0	0.447213595499958	histone_gated_TF	H3K27ac	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K27ac_blastocyst_histone_only	M01	0.0	0.4472135954999579	histone_gated_TF	H3K27ac	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
motif_TF_x_H3K27ac_blastocyst_histone_only	M02	-0.7682365565294906	-1.7888543819998317	histone_gated_TF	H3K27ac	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
motif_TF_x_H3K27ac_blastocyst_histone_only	M05	0.0	0.4472135954999579	histone_gated_TF	H3K27ac	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
motif_TF_x_H3K27ac_blastocyst_histone_only	M12	0.0	0.4472135954999579	histone_gated_TF	H3K27ac	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
motif_TF_x_H3K27ac_blastocyst_histone_only	M10	0.0	0.4472135954999579	histone_gated_TF	H3K27ac	blastocyst	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
motif_TF_x_H3K27me3_8cell_histone_only	M01	0.0	0.0	histone_gated_TF	H3K27me3	8cell	methylation_non_leaking_motif_TF_histone_gated	q<=0.05 motif x TF activity multiplied by positive histone target-background gate.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
