stage	tau	cluster_name	mean_beta
zygote/PN	0.16666666666666666	cluster_883	0.014285714285714285
zygote/PN	0.16666666666666666	cluster_900	0.0
zygote/PN	0.16666666666666666	cluster_915	0.3441021324354658
zygote/PN	0.16666666666666666	cluster_916	0.0
zygote/PN	0.16666666666666666	cluster_950	0.8119047619047617
zygote/PN	0.16666666666666666	cluster_1007	0.05735930735930736
zygote/PN	0.16666666666666666	cluster_1126	0.14628941011950167
zygote/PN	0.16666666666666666	cluster_1257	0.06388888888888888
zygote/PN	0.16666666666666666	cluster_1333	0.27027492057369396
zygote/PN	0.16666666666666666	cluster_1387	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_1406	0.0
zygote/PN	0.16666666666666666	cluster_1523	0.11752176139272913
zygote/PN	0.16666666666666666	cluster_1556	0.14545454545454545
zygote/PN	0.16666666666666666	cluster_1564	0.03452380952380952
zygote/PN	0.16666666666666666	cluster_1586	0.016666666666666666
zygote/PN	0.16666666666666666	cluster_1607	0.14703703703703705
zygote/PN	0.16666666666666666	cluster_1688	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_1715	0.15952741702741705
zygote/PN	0.16666666666666666	cluster_1718	0.1261904761904762
zygote/PN	0.16666666666666666	cluster_1742	0.0
zygote/PN	0.16666666666666666	cluster_1758	0.6355555555555555
zygote/PN	0.16666666666666666	cluster_1764	0.48666666666666664
zygote/PN	0.16666666666666666	cluster_1806	0.09000000000000001
zygote/PN	0.16666666666666666	cluster_1851	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_1921	0.05
zygote/PN	0.16666666666666666	cluster_1922	0.16089743589743588
zygote/PN	0.16666666666666666	cluster_1976	0.8333333333333334
zygote/PN	0.16666666666666666	cluster_2004	0.02835049335049335
zygote/PN	0.16666666666666666	cluster_2126	0.0
zygote/PN	0.16666666666666666	cluster_2190	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_2324	0.055420363977194874
zygote/PN	0.16666666666666666	cluster_2355	0.05298164628027546
zygote/PN	0.16666666666666666	cluster_2365	0.3916754877542549
zygote/PN	0.16666666666666666	cluster_2623	0.9444444444444445
zygote/PN	0.16666666666666666	cluster_2637	0.11833333333333333
zygote/PN	0.16666666666666666	cluster_2727	0.03241156664686076
zygote/PN	0.16666666666666666	cluster_2743	0.6201851851851852
zygote/PN	0.16666666666666666	cluster_2776	0.1255535804065216
zygote/PN	0.16666666666666666	cluster_2832	0.04538312381701341
zygote/PN	0.16666666666666666	cluster_2910	0.11020230314347962
zygote/PN	0.16666666666666666	cluster_3123	0.5590689062280365
zygote/PN	0.16666666666666666	cluster_3133	0.1161576078242745
zygote/PN	0.16666666666666666	cluster_3227	0.11111111111111112
zygote/PN	0.16666666666666666	cluster_3275	0.7269841269841272
zygote/PN	0.16666666666666666	cluster_3303	0.0324069705331595
zygote/PN	0.16666666666666666	cluster_3336	0.0
zygote/PN	0.16666666666666666	cluster_3348	0.06666666666666667
zygote/PN	0.16666666666666666	cluster_3362	0.08228110599078339
zygote/PN	0.16666666666666666	cluster_3369	0.006060606060606061
zygote/PN	0.16666666666666666	cluster_3416	0.06666666666666667
zygote/PN	0.16666666666666666	cluster_3519	0.6192553979578554
zygote/PN	0.16666666666666666	cluster_3660	0.3183333333333333
zygote/PN	0.16666666666666666	cluster_3684	0.0
zygote/PN	0.16666666666666666	cluster_3762	0.07777777777777778
zygote/PN	0.16666666666666666	cluster_3766	0.0734920634920635
zygote/PN	0.16666666666666666	cluster_3928	0.4643836102941766
zygote/PN	0.16666666666666666	cluster_3967	0.02817460317460318
zygote/PN	0.16666666666666666	cluster_3978	0.11
zygote/PN	0.16666666666666666	cluster_4026	0.1
zygote/PN	0.16666666666666666	cluster_4028	0.0
zygote/PN	0.16666666666666666	cluster_4064	0.0623976023976024
zygote/PN	0.16666666666666666	cluster_4084	0.2851197506168986
zygote/PN	0.16666666666666666	cluster_4141	1.0
zygote/PN	0.16666666666666666	cluster_4364	0.16777777777777778
zygote/PN	0.16666666666666666	cluster_4373	0.9666666666666667
zygote/PN	0.16666666666666666	cluster_4404	0.7427832330271353
zygote/PN	0.16666666666666666	cluster_4420	0.0736111111111111
zygote/PN	0.16666666666666666	cluster_4449	0.0
zygote/PN	0.16666666666666666	cluster_4532	0.13428571428571429
zygote/PN	0.16666666666666666	cluster_4538	0.975
zygote/PN	0.16666666666666666	cluster_4551	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_4593	0.11097816399286987
zygote/PN	0.16666666666666666	cluster_4605	0.9666666666666667
zygote/PN	0.16666666666666666	cluster_4889	0.418166388192704
zygote/PN	0.16666666666666666	cluster_4897	0.06666666666666667
zygote/PN	0.16666666666666666	cluster_4899	0.07777777777777777
zygote/PN	0.16666666666666666	cluster_4904	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_4907	0.32698340874811466
zygote/PN	0.16666666666666666	cluster_4909	0.31333333333333335
zygote/PN	0.16666666666666666	cluster_4920	0.11825624667729934
zygote/PN	0.16666666666666666	cluster_5002	0.6712367311476645
zygote/PN	0.16666666666666666	cluster_5020	0.0942416225749559
zygote/PN	0.16666666666666666	cluster_5024	0.019047619047619046
zygote/PN	0.16666666666666666	cluster_5064	0.1846790451281973
zygote/PN	0.16666666666666666	cluster_5215	0.11944444444444445
zygote/PN	0.16666666666666666	cluster_5240	0.0
zygote/PN	0.16666666666666666	cluster_5252	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_5307	0.03809523809523809
zygote/PN	0.16666666666666666	cluster_5336	0.05037037037037037
zygote/PN	0.16666666666666666	cluster_5400	0.04903032153032153
zygote/PN	0.16666666666666666	cluster_5447	0.03333333333333333
zygote/PN	0.16666666666666666	cluster_5516	0.0
zygote/PN	0.16666666666666666	cluster_5580	0.0
zygote/PN	0.16666666666666666	cluster_5599	0.09259259259259259
zygote/PN	0.16666666666666666	cluster_5608	0.11666666666666667
zygote/PN	0.16666666666666666	cluster_5656	0.14277777777777778
zygote/PN	0.16666666666666666	cluster_5659	0.05
