bootstrap	center_PC1	center_PC2	center_PC3
50	-3.257947351360337	0.055119981334591554	-2.816062405975827
51	-3.086247807074564	-0.21634020025968861	-2.6412374182766185
52	-3.244643947049623	0.6475477077179383	-2.9195796002606835
53	-3.1975362811472032	-0.5056415006443865	-2.7577023410901513
54	-3.1545290913969892	-0.06761991111724627	-2.953256945160994
55	-3.3721908439988635	-0.2545270126522495	-2.935608119568002
56	-3.7491596210026827	-0.17839128964987053	-2.8161325173277367
57	-2.8806098338234065	-0.3660217736489055	-2.7778991029021554
58	-3.477248685852826	-0.08592997928627474	-2.5832999342231853
59	-3.0376472883100107	-0.18534345629748517	-2.5250963600398926
60	-3.255153797083944	0.05218934596807967	-3.015530802010338
61	-3.2001651565929032	-0.2686516420642999	-2.623976748817922
62	-3.090301463257139	0.0019699110218691016	-2.83731877102715
63	-3.189566157979061	0.049257285561391355	-2.834770834808138
64	-2.8131733597074553	-0.3194764688182398	-3.0313682294918216
65	-3.0420270876127735	-0.22436889719815709	-2.857984095841296
66	-3.0380827754918016	-0.3951559212619637	-2.773515251175233
67	-3.222965619547355	-0.34333952577537197	-2.7571932044819314
68	-2.991898307896046	-0.6553230740336035	-2.8943640257156877
69	-3.2548722282535163	0.44824961521239315	-2.7253517750895315
70	-3.423420238209116	-0.048533898034366356	-2.9180235855324987
71	-3.436092329018526	-0.0667812826091352	-2.914739910650974
72	-3.0603924164953735	0.021550970422768642	-2.8356681275506532
73	-3.035007652384981	-0.0020262873841621204	-2.6828046202889375
74	-3.1300890465519218	-0.038789168320311124	-3.035154135656634
75	-3.299148282484397	0.17469600171953573	-2.3312497856781027
76	-2.900301359860609	-0.6066117680376694	-2.9497949035729887
77	-3.3950358812430763	-0.19049017930123774	-2.9154519313620764
78	-3.150507272148007	0.7367185892579533	-2.8019907826503436
79	-2.97063554089652	0.0716964110621117	-3.0509670457417157
80	-3.0828019665577955	0.2954002687382589	-2.5670930482093866
81	-3.2128264869229826	0.13340800085434087	-2.6446757419132134
82	-2.8429884660853957	-0.581164111845546	-2.876738161657306
83	-2.978364677725807	-0.027070078942884226	-2.843150382127688
84	-3.235102314116124	-0.008916852016420167	-2.8362185941817524
85	-3.352454743671901	-0.15266173532556931	-2.9170849627671043
86	-3.1363176808657522	-0.12729197445833712	-2.9338127776661698
87	-3.148554284493372	0.06427310593137253	-2.682110211649305
88	-3.2964640722696075	0.21928845357077506	-2.6423306897970837
89	-2.984398811196703	-0.36189271631721365	-2.624138302897925
90	-3.061752427460406	0.09407285296857237	-2.9004899206190102
91	-3.180371744620013	0.5784128127949701	-2.9570140699967755
92	-2.9353276659633507	-0.06942754386562211	-2.8552914611969484
93	-2.9817146009819124	-0.31730026446597437	-2.935219207016905
94	-3.2127819126332224	-0.0053167162077428776	-2.798048385783148
95	-3.235102314116124	-0.008916852016420125	-2.836218594181753
96	-3.2949501429532115	-0.03948123325486364	-2.6192690325141927
97	-3.22389957833335	0.12937550232190362	-3.0159365702161027
98	-3.2411324557888315	-0.4223921794963649	-2.9300100158466904
99	-3.2977241741757894	0.4346679294858208	-3.037880438582127
100	-3.187928552965284	-0.46021672245400963	-2.8756793148347874
101	-2.938818080769879	-0.4424432958014859	-2.776063187394245
102	-2.992955942379422	0.06809627525343445	-3.08913725414032
103	-2.872002159675902	-0.5497713052859886	-2.953281462557396
104	-3.1777556065304804	-0.5425009403797901	-2.8925518281591884
105	-3.290180103186686	0.5893735701401269	-2.9210273596342984
106	-3.2882271155320515	-0.08307191318645397	-2.8011467886332597
107	-3.055319731444157	-0.3964895960880943	-2.778449569533255
108	-3.2001543961135734	0.15165538542910972	-2.6479594167947385
109	-3.0193359687199233	-0.10215792626933387	-2.8363801482617554
110	-3.2446885213393832	0.7862724247800222	-2.7662069563907488
111	-2.9104743062954124	-0.5243275501118888	-2.9329223902485877
112	-3.0781647686883704	-0.3324527627370827	-2.758293381327329
113	-3.144040762321328	-0.3128756043542068	-2.809340407457707
114	-3.4514486300427256	-0.12962111903514334	-2.6003753316504685
115	-3.18038448197618	-0.3055110817997036	-2.7588262358869593
116	-3.0202826648620853	-0.5133667927667319	-2.8969356798861106
117	-2.93216339427701	0.046252655888011945	-3.071326118050523
118	-3.2051251952291	1.1761704124104788	-3.210111096661823
119	-3.1844827124485153	0.051523746543937925	-2.801534944767556
120	-3.4265845098954575	-0.16421409778800045	-2.7019889286789236
121	-2.7752258488492565	-0.27728325483265054	-2.9934009051961006
122	-3.128818184166409	0.16613838325805264	-2.663587054848407
123	-2.997111484497685	-0.320068073935514	-2.780285485041165
124	-3.045136024530024	-0.0584667865204653	-2.819304750834472
125	-2.9277390206844864	-0.05344662027339986	-2.891811026119056
126	-3.3819930730237187	-0.05363195960632294	-2.9353018670626643
127	-3.0314726632886924	0.2322647474896179	-2.915405537961576
128	-3.174309766013712	-0.03076047138184262	-2.818407458091957
129	-3.352443983192571	0.2676452921678403	-2.9410676307439205
130	-3.239155970298699	0.20939325926513747	-3.0322999469322838
131	-2.9611830565425414	-0.30731871454807935	-2.6608607519229137
132	-2.854374290831516	-0.19990044843329557	-2.546555609194098
133	-3.322174979500187	-0.014469840804523884	-2.93200058010967
134	-3.151094011359551	0.023813530387291615	-2.855129907116946
135	-3.0518293166376287	-0.023473844152230652	-2.8576778433359586
136	-3.2426463851052274	-0.16362249267072618	-2.953071673129581
137	-3.174309766013712	-0.03076047138184263	-2.8184074580919565
138	-3.170143463416119	0.7777109053005153	-3.151241895167927
139	-3.30949015133461	0.8877014383649187	-3.1334720891010113
140	-3.2066626223809935	0.1307091771480343	-3.011002251858081
141	-3.1029735540665486	-0.016277473552899692	-2.8340350961456253
142	-3.2032740935101534	-0.10274953138660814	-2.585297403811098
143	-3.3489643288653723	0.22035401661029438	-2.9963132365698075
144	-3.1590533740483635	-0.11077822832507662	-2.802044081375776
145	-3.222965619547355	-0.34333952577537197	-2.7571932044819314
146	-3.229027598153656	0.26583375840144075	-2.8957998163867504
147	-3.3384652393103815	0.39540535086674355	-2.876379366843336
148	-2.7139086649855333	-0.366763843357762	-3.0339161657108344
149	-3.156592748589805	0.041660951346682844	-2.7184268924685298
150	-3.258362643060045	0.07523386327652934	-2.6461235012868283
151	-3.328336867165339	0.45184585000304667	-2.7398792362978024
152	-3.0040350024648146	-0.32090040027465166	-2.9733894154155096
153	-3.2258971402777457	0.9405457027105683	-2.9824444973472057
154	-3.1692370809624966	-0.44880103789270576	-2.7611889000745586
155	-3.403784046941004	-0.08952621407692839	-2.5687724730149144
156	-3.0197512604196324	-0.0820440443273961	-2.666441243572757
157	-3.30084387157237	0.18026301267010306	-2.9752184255984866
158	-3.387536384543733	0.10294017841515204	-2.6452262085443126
159	-2.97643944850789	-0.22730095760484542	-2.677224128639095
160	-3.2627424423628084	0.03620842237585736	-2.9790112370882316
161	-2.9611722960632116	0.11298831294533022	-2.6848434198997304
162	-3.519774488654911	0.15782388716938275	-2.7590222146649084
163	-2.9914182464244954	-0.5842353261312085	-2.799317778450283
164	-3.1651726643005915	-0.24680412168085378	-2.589090215300843
165	-3.032406622074687	0.7049797755868934	-3.174148903695748
166	-2.668417083138231	-0.16986498871786676	-2.8790957624672844
167	-3.3292835633075004	0.04063698350564859	-2.800434767922158
168	-3.125664672959399	-0.13848844448172293	-2.855639043725166
169	-2.942391675480904	-0.15304543661753336	-2.8770982928793716
170	-3.1120351255284966	0.7112748340838537	-2.822349854959151
171	-3.341551122896531	-0.4180313105044677	-2.9431073297528156
172	-3.294301831494519	-0.3578225236043149	-2.741565566428263
173	-3.4027927765090817	0.182957935358386	-2.661589585260494
174	-3.056253690230152	0.07622543200918122	-3.0371929352674263
175	-3.334400822648476	0.5974022670785955	-2.704280682069621
176	-3.0101542927170435	-0.4569262936304288	-2.7604355493405768
177	-2.9388626550596393	-0.3037185787394021	-2.6226905435243104
178	-3.2837919814601975	0.23753583814554385	-2.6456143646786083
179	-2.9706801151862803	0.2104211281241954	-2.8975944018717805
180	-3.3980354740987244	-0.07211115584129713	-2.7651600782707835
181	-3.042181005964136	-0.03812109291832218	-2.8162239600558294
182	-3.1597016855070557	0.20756306202437466	-2.6797475474617056
183	-3.186937282533361	-0.18773257301869523	-2.968496427080367
184	-2.668417083138231	-0.16986498871786673	-2.8790957624672844
185	-3.040008004709718	-0.19492504260000248	-2.9394415046638254
186	-3.027048289696169	0.13256547132820612	-2.735890446030108
