cluster_name	observed_beta	baseline_predicted_beta	baseline_abs_error	baseline_sq_error	DMR_module_ridge_k16_predicted_beta	DMR_module_ridge_k16_abs_error	DMR_module_ridge_k16_sq_error	DMR_module_ridge_k16_abs_error_improvement_vs_baseline	DMR_module_ridge_k16_sq_error_improvement_vs_baseline	latent_PCA_ridge_q3_predicted_beta	latent_PCA_ridge_q3_abs_error	latent_PCA_ridge_q3_sq_error	latent_PCA_ridge_q3_abs_error_improvement_vs_baseline	latent_PCA_ridge_q3_sq_error_improvement_vs_baseline
cluster_1564	0.0	0.007407407407407407	0.007407407407407407	5.486968449931412e-05	0.021541038149308092	0.021541038149308092	0.0004640163245499466	-0.014133630741900684	-0.00040914664005063244	0.012360047825725078	0.012360047825725078	0.0001527707822542112	-0.004952640418317671	-9.79010977548971e-05
cluster_1586	0.0	0.007407407407407407	0.007407407407407407	5.486968449931412e-05	0.006243578220673642	0.006243578220673642	3.898226899767024e-05	0.0011638291867337646	1.588741550164388e-05	0.027800940304574872	0.027800940304574872	0.0007728922818185356	-0.020393532897167464	-0.0007180225973192214
cluster_1607	0.5	0.029694989106753812	0.47030501089324617	0.2211868032712964	0.02693788083912675	0.47306211916087326	0.22378776858497626	-0.0027571082676270953	-0.0026009653136798705	0.0965404099518635	0.4034595900481365	0.16277964080181034	0.0668454208451097	0.058407162469486046
cluster_1688	0.0	0.044444444444444446	0.044444444444444446	0.0019753086419753087	0.05830469815368475	0.05830469815368475	0.0033994378267922895	-0.013860253709240301	-0.0014241291848169808	0.0417517807330419	0.0417517807330419	0.0017432111943800088	0.002692663711402546	0.00023209744759529992
cluster_1715	0.0	0.02646999700191189	0.02646999700191189	0.0007006607412812244	0.018577840283214048	0.018577840283214048	0.0003451361495886106	0.007892156718697842	0.0003555245916926138	0.07317066713765025	0.07317066713765025	0.00535394652936881	-0.04670067013573836	-0.004653285788087586
cluster_1718	0.7	0.1469208776971304	0.5530791223028696	0.30589651552731256	0.11278480510328805	0.5872151948967119	0.3448216851175834	-0.034136072593842326	-0.038925169590270814	0.13102383364903786	0.568976166350962	0.3237338778754376	-0.015897044048092446	-0.017837362348125052
cluster_1742	0.25	0.515904139433551	0.26590413943355096	0.07070501136789731	0.5145413340556063	0.2645413340556063	0.0699821174239199	0.0013628053779446425	0.0007228939439774124	0.3731337718324096	0.12313377183240959	0.015161925765675904	0.14277036760114137	0.055543085602221404
cluster_1758	0.5	0.9762962962962963	0.47629629629629633	0.2268581618655693	0.7449024782075423	0.2449024782075423	0.05997722383219573	0.23139381808875403	0.1668809380333736	0.5417074037501112	0.04170740375011117	0.0017395075275747874	0.43458889254618516	0.22511865433799452
cluster_1764	0.5	0.047058823529411764	0.45294117647058824	0.20515570934256055	0.02905079179878575	0.4709492082012143	0.22179315670535066	-0.01800803173062604	-0.016637447362790103	0.1702130128827032	0.3297869871172968	0.1087594568719041	0.12315418935329142	0.09639625247065646
cluster_1806	0.5	0.10163817663817665	0.39836182336182335	0.15869214231215656	0.09609029803542744	0.40390970196457254	0.16314304734110982	-0.00554787860274919	-0.0044509050289532615	0.07964882754712975	0.42035117245287024	0.17669510818250264	-0.021989349091046884	-0.018002965870346083
cluster_1851	0.0	0.008333333333333333	0.008333333333333333	6.944444444444444e-05	0.02246696407523402	0.02246696407523402	0.0005047644747578561	-0.014133630741900686	-0.0004353200303134116	0.021497336412267868	0.021497336412267868	0.0004621354728222179	-0.013164003078934535	-0.00039269102837777346
