feature_set	control_model	validation_status	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	PC1_control	PC2_control	PC3_control	direction_cosine_to_measured_correction	PC3_negative_pull_recovered
H3K27me3_blastocyst_histone_only	H3K27me3_blastocyst_histone_only_sign_flip	sign_flip_control	1.1843603123575954	0.9273471502290316	1.08970030248187	0.8487798699346262	0.2449975972385749	0.6252528481059944	0.24552256839327827	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.28888888888888886	0.875	0.875	2.1417863503293977	1.0224014859114376	0.04317324951221313	0.156783670795745	-0.053304107557175434	0.17669971890619107	0.027798618339394027
H3K27me3_morula_histone_only	H3K27me3_morula_histone_only	feature_defined	1.5676430412568167	1.1021679496302663	1.3614360085006054	0.8487798699346262	0.2491630567364412	0.6072904347437513	0.24967959983074733	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7866118527219013	1.0224014859114376	0.17971805749246056	0.7518795709867715	0.49331195517642173	-0.5853140921630775	-0.2572670548794058
H3K27me3_morula_histone_only	H3K27me3_morula_histone_only_sign_flip	sign_flip_control	0.9862507750298439	0.7240678502047397	0.8433665675416712	0.8487798699346262	0.24324768961165238	0.6360414481580965	0.24375266557895794	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5333333333333333	0.875	0.875	1.798706181351973	1.0224014859114376	-0.17971805749246056	-0.7518795709867715	-0.49331195517642173	0.5853140921630775	0.2572670548794058
H3K27me3_morula_to_blastocyst_histone_delta	H3K27me3_morula_to_blastocyst_histone_delta	feature_defined	1.19589252173319	0.9292318830358095	1.0461721161821493	0.8487798699346262	0.24524037923958925	0.6259235132565968	0.2457638915845519	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.1582089976260006	1.0224014859114376	-0.058269236434492444	-0.22009104279137162	0.010779460449377831	0.06956260233016137	-0.005621595045286708
H3K27me3_morula_to_blastocyst_histone_delta	H3K27me3_morula_to_blastocyst_histone_delta_sign_flip	sign_flip_control	1.214091696698651	0.9459444394685474	1.0899840803870497	0.8487798699346262	0.24527256445255913	0.6239715969786913	0.2457972346318333	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2222222222222222	0.875	0.875	2.1916105424530024	1.0224014859114376	0.058269236434492444	0.22009104279137162	-0.010779460449377831	-0.06956260233016137	0.005621595045286708
H3K4me3_8cell_histone_only	H3K4me3_8cell_histone_only	feature_defined	1.3905724754728732	1.035107957600775	1.2168009622826552	0.8487798699346262	0.24703767244091956	0.6160969793883153	0.24755865029205132	1.5666635350021403	1.9104332695957345	0.0	0.06666666666666667	0.875	0.875	2.4882823799993288	1.0224014859114376	0.10901178139087461	0.5743496946160719	0.2320055411262305	-0.42194138244961404	-0.12099318018737729
H3K4me3_8cell_histone_only	H3K4me3_8cell_histone_only_sign_flip	sign_flip_control	1.095251808636554	0.8389046630250767	0.9563948314394128	0.8487798699346262	0.2442226279907444	0.6314162873099837	0.2447396268338668	1.5666635350021403	1.9104332695957345	0.2	0.4666666666666667	0.875	0.875	1.9840821027229645	1.0224014859114376	-0.10901178139087461	-0.5743496946160719	-0.2320055411262305	0.42194138244961404	0.12099318018737729
H3K4me3_blastocyst_histone_only	H3K4me3_blastocyst_histone_only	feature_defined	1.4380973916388144	1.0589788472297588	1.3216403132310814	0.8487798699346262	0.2478239786789997	0.6137336267322653	0.24834330700690455	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.567525131008553	1.0224014859114376	0.08163674508753896	0.311943889209533	0.3895651003372097	-0.7836289185232611	-0.2031620458330712
H3K4me3_blastocyst_histone_only	H3K4me3_blastocyst_histone_only_sign_flip	sign_flip_control	0.9858543311269297	0.7640264128327852	0.9327026009924078	0.8487798699346262	0.24329876205032205	0.6336748117024101	0.24381803076174244	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5555555555555556	0.875	0.875	1.808527615703226	1.0224014859114376	-0.08163674508753896	-0.311943889209533	-0.3895651003372097	0.7836289185232611	0.2031620458330712
motif_TF_x_H3K27ac_8cell_histone_only	motif_TF_x_H3K27ac_8cell_histone_only	feature_defined	1.0822298302187543	0.8366324320013621	0.9291367233519512	0.8487798699346262	0.24420469066890096	0.632164339542821	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376	-0.2974302457711897	-0.5357902139873271	-0.18035519344635398	0.45224070834758373	0.0940570139508484
