module_id	TF	motif_database	motif_id	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue	motif_score_signed_logq	motif_score_mode	delta_8cell_to_morula	delta_8cell_to_morula_zscore	tf_activity
M10	DUX4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0468.1	0.7036069972197753	1.0000000000000149	0	3	2	28	16.2624202435264	10	1.0	0.7036069972197753	log_odds_ratio_fallback	-0.0011093388019783415	0.051152543710153944	0.03599128768005472
M02	DUX4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0468.1	-1.7275867125869186	1.0000000000001814	0	30	15	285	11.37128476579391	10	1.0	-1.7275867125869186	log_odds_ratio_fallback	-0.0011093388019783415	0.051152543710153944	-0.08837045482868351
M05	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	2.16366601097063	0.3234057609057598	1	5	3	57	7.480701221396175	10	1.0	2.16366601097063	log_odds_ratio_fallback	0.412662999098222	0.4883129646419608	1.0565461643121135
M02	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	-0.0945299236647173	0.7904028943705801	1	29	15	285	7.098280621607371	10	1.0	-0.0945299236647173	log_odds_ratio_fallback	0.412662999098222	0.4883129646419608	-0.04616018727209635
M12	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	0.7749334443652268	0.9999999999999792	0	4	2	38	4.036943312199101	10	1.0	0.7749334443652268	log_odds_ratio_fallback	0.412662999098222	0.4883129646419608	0.37841004761818986
M01	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	-1.309581774536765	0.9999999999999892	0	21	11	199	8.205793150870399	10	1.0	-1.309581774536765	log_odds_ratio_fallback	0.412662999098222	0.4883129646419608	-0.6394857587651276
M10	DUXA	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0884.2	0.7036069972197753	1.0000000000000149	0	3	2	28	11.375373485478333	10	1.0	0.7036069972197753	log_odds_ratio_fallback	0.412662999098222	0.4883129646419608	0.34358041875521633
M01	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	0.3440934762684055	0.6906648465160483	1	20	11	199	-0.2308189461948112	10	1.0	0.3440934762684055	log_odds_ratio_fallback	-3.342817680159396	-3.479442644341037	-1.1972535149678407
M12	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	0.7749334443652268	0.9999999999999792	0	4	2	38	-8.787649660070343	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-3.342817680159396	-3.479442644341037	-2.6963364728504526
M05	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	0.3376954107456789	1.000000000000008	0	6	3	57	1.0444053202563406	10	1.0	0.3376954107456789	log_odds_ratio_fallback	-3.342817680159396	-3.479442644341037	-1.1749918129467776
M10	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	0.7036069972197753	1.0000000000000149	0	3	2	28	-6.733510970387511	10	1.0	0.7036069972197753	log_odds_ratio_fallback	-3.342817680159396	-3.479442644341037	-2.4481601909832316
M02	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	-1.7275867125869186	1.0000000000001814	0	30	15	285	1.1318683728762438	10	1.0	-1.7275867125869186	log_odds_ratio_fallback	-3.342817680159396	-3.479442644341037	6.011038879571868
M01	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	-0.0121849967658931	0.771726013944462	1	20	14	196	9.825502574619618	10	1.0	-0.0121849967658931	log_odds_ratio_fallback	0.31664542420316355	0.38686808876894097	-0.0047139864104767904
M12	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	0.2515387669959644	0.999999999999969	0	4	3	37	8.744137092732633	10	1.0	0.2515387669959644	log_odds_ratio_fallback	0.31664542420316355	0.38686808876894097	0.0973123220390247
M05	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	0.3376954107456789	1.000000000000008	0	6	3	57	9.83827042166882	10	1.0	0.3376954107456789	log_odds_ratio_fallback	0.31664542420316355	0.38686808876894097	0.13064357814122327
M10	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	0.7036069972197753	1.0000000000000149	0	3	2	28	7.668378138160023	10	1.0	0.7036069972197753	log_odds_ratio_fallback	0.31664542420316355	0.38686808876894097	0.272203094258868
M02	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	-1.912815429565624	1.000000000000212	0	30	17	283	9.825502574619618	10	1.0	-1.912815429565624	log_odds_ratio_fallback	0.31664542420316355	0.38686808876894097	-0.7400072494037937
M01	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	-1.6658602475710635	0.9999999999999416	0	21	14	196	11.698930056913118	10	1.0	-1.6658602475710635	log_odds_ratio_fallback	-2.3906834104426533	-2.473489901716267	4.1204885000375855
M12	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	0.7749334443652268	0.9999999999999792	0	4	2	38	9.849161800536049	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-2.3906834104426533	-2.473489901716267	-1.916790049139593
M05	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	0.3376954107456789	1.000000000000008	0	6	3	57	11.137566147599138	10	1.0	0.3376954107456789	log_odds_ratio_fallback	-2.3906834104426533	-2.473489901716267	-0.8352861883353636
M10	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	0.7036069972197753	1.0000000000000149	0	3	2	28	11.024160705301476	10	1.0	0.7036069972197753	log_odds_ratio_fallback	-2.3906834104426533	-2.473489901716267	-1.7403648024000196
M02	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	-1.822846614614758	1.000000000000054	0	30	16	284	11.626002368082036	10	1.0	-1.822846614614758	log_odds_ratio_fallback	-2.3906834104426533	-2.473489901716267	4.508792693627288
M12	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	0.7749334443652268	0.9999999999999792	0	4	2	38	7.793836360465383	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-3.2269864151634273	-3.3570641286102085	-2.6015012681388576
M02	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	-2.67351493206334	0.9999999999999998	0	30	28	272	12.480226982473884	10	1.0	-2.67351493206334	log_odds_ratio_fallback	-3.2269864151634273	-3.3570641286102085	8.975161075733597
M10	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	0.7036069972197753	1.0000000000000149	0	3	2	28	7.702620177180685	10	1.0	0.7036069972197753	log_odds_ratio_fallback	-3.2269864151634273	-3.3570641286102085	-2.36205381100565
M05	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	-0.8658633273484637	1.000000000000034	0	6	7	53	12.480226982473884	10	1.0	-0.8658633273484637	log_odds_ratio_fallback	-3.2269864151634273	-3.3570641286102085	2.906758716520606
M01	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	-2.21016957182686	1.0000000000000406	0	21	20	190	12.480226982473884	10	1.0	-2.21016957182686	log_odds_ratio_fallback	-3.2269864151634273	-3.3570641286102085	7.4196809877257355
M12	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	0.7749334443652268	0.9999999999999792	0	4	2	38	9.485063541663823	10	1.0	0.7749334443652268	log_odds_ratio_fallback	-0.9887128995453303	-0.9922743574676832	-0.7689465855877241
M01	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	-1.309581774536765	0.9999999999999892	0	21	11	199	11.150825521639089	10	1.0	-1.309581774536765	log_odds_ratio_fallback	-0.9887128995453303	-0.9922743574676832	1.299464413879857
M05	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	-0.0501857571682166	0.9999999999999992	0	6	4	56	10.988642742317468	10	1.0	-0.0501857571682166	log_odds_ratio_fallback	-0.9887128995453303	-0.9922743574676832	0.0497980399481213
M10	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	0.7036069972197753	1.0000000000000149	0	3	2	28	9.698009597767356	10	1.0	0.7036069972197753	log_odds_ratio_fallback	-0.9887128995453303	-0.9922743574676832	-0.6981711810760185
M02	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	-1.822846614614758	1.000000000000054	0	30	16	284	10.988642742317468	10	1.0	-1.822846614614758	log_odds_ratio_fallback	-0.9887128995453303	-0.9922743574676832	1.8087639532790005
