model	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC3_recovery	PC1_negative_pull_recovered	PC3_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	beta_closure	beta_access	source_feature_set
dual_branch_beta_grid	-0.1907510283997266	0.23505939603000975	-0.5396754967952496	0.618779860967328	0.9174818950591112	0.24102727383698866	0.28144609956075534	0.24102727383698866	0.28144609956075534	0.8815756028262391	0.7057886756783613	0.7830410314983678	0.8487798699346262	0.24225225642746787	0.6361397840634233	0.24277747515993392	1.5666635350021403	1.9104332695957345	0.4222222222222222	0.7555555555555555	0.875	0.875	1.6509264676263813	1.0224014859114376	0.0	1.5	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.19710939601305083	0.2428947092310101	-0.557664680021758	0.6394058563329056	0.917481895059111	0.24906151629822162	0.2908276362127805	0.24906151629822162	0.2908276362127805	0.8715800608520853	0.6975958584476742	0.7443016211597542	0.8487798699346262	0.24216646764254696	0.6364589820957616	0.24269157488107673	1.5666635350021403	1.9104332695957345	0.4444444444444444	0.8	0.875	0.875	1.6350717745750656	1.0224014859114376	0.0	1.55	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.20346776362637506	0.2507300224320104	-0.5756538632482663	0.6600318516984832	0.917481895059111	0.25709575875945456	0.3002091728648057	0.25709575875945456	0.3002091728648057	0.8616331484887381	0.6903910979771058	0.758531791961454	0.8487798699346262	0.24208156968469555	0.6367745111798608	0.24260651903988006	1.5666635350021403	1.9104332695957345	0.4444444444444444	0.8	0.875	0.875	1.6193188945161965	1.0224014859114376	0.0	1.6	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.20982613123969926	0.2585653356330107	-0.5936430464747745	0.6806578470640607	0.9174818950591112	0.26513000122068753	0.3095907095168309	0.26513000122068753	0.3095907095168309	0.8517365694846742	0.6822131602077791	0.8143669862290552	0.8487798699346262	0.24199750390518723	0.6370867616613153	0.24252230705125302	1.5666635350021403	1.9104332695957345	0.4666666666666667	0.8222222222222222	0.875	0.875	1.6036704147590062	1.0224014859114376	0.0	1.65	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.2161844988530235	0.26640064883401104	-0.6116322297012828	0.7012838424296384	0.9174818950591109	0.2731642436819205	0.31897224616885606	0.2731642436819205	0.31897224616885606	0.8418920988723202	0.6740452713180014	0.7434112335910048	0.8487798699346262	0.24191429113101565	0.6373955853135467	0.24243893919861245	1.5666635350021403	1.9104332695957345	0.4888888888888889	0.8666666666666667	0.875	0.875	1.5881289853380887	1.0224014859114376	0.0	1.7	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.2225428664663477	0.2742359620350114	-0.6296214129277913	0.721909837795216	0.9174818950591112	0.2811984861431534	0.3283537828208813	0.2811984861431534	0.3283537828208813	0.8321015861137232	0.6669621829839374	0.7589279377188007	0.8487798699346262	0.24183193591571278	0.63770094118608	0.2423564144844238	1.5666635350021403	1.9104332695957345	0.5333333333333333	0.8666666666666667	0.875	0.875	1.5726973197722809	1.0224014859114376	0.0	1.75	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.22890123407967192	0.2820712752360117	-0.6476105961542996	0.7425358331607936	0.9174818950591112	0.28923272860438637	0.33773531947290647	0.28923272860438637	0.33773531947290647	0.8223669583619714	0.6588483770444326	0.7380613099744147	0.8487798699346262	0.24175042571497501	0.6380029113699947	0.242274731667896	1.5666635350021403	1.9104332695957345	0.5555555555555556	0.8666666666666667	0.875	0.875	1.5573781957689703	1.0224014859114376	0.0	1.8	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.23525960169299615	0.28990658843701206	-0.6655997793808079	0.7631618285263713	0.917481895059111	0.29726697106561933	0.34711685612493165	0.29726697106561933	0.34711685612493165	0.812690223837645	0.6507577828384719	0.6908705572636245	0.8487798699346262	0.24166975826598927	0.6383015068187786	0.24219389066390962	1.5666635350021403	1.9104332695957345	0.5777777777777777	0.8888888888888888	0.875	0.875	1.5421744558725727	1.0224014859114376	0.0	1.85	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.24161796930632035	0.29774190163801234	-0.6835889626073162	0.7837878238919488	0.9174818950591109	0.3053012135268523	0.3564983927769568	0.3053012135268523	0.3564983927769568	0.8030734753185763	0.6433181458849623	0.7465172017004189	0.8487798699346262	0.2415899386416142	0.6385967356002555	0.2421138915943139	1.5666635350021403	1.9104332695957345	0.5777777777777777	0.8888888888888888	0.875	0.875	1.5270890080580282	1.0224014859114376	0.0	1.9	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.24797633691964457	0.3055772148390127	-0.7015781458338245	0.8044138192575264	0.917481895059111	0.31333545598808527	0.36587992942898195	0.31333545598808527	0.36587992942898195	0.7935188937400576	0.6360412673859795	0.7250307742846707	0.8487798699346262	0.24151094582029442	0.6388886260280445	0.24203469266283564	1.5666635350021403	1.9104332695957345	0.5777777777777777	0.8888888888888888	0.875	0.875	1.5121248262730302	1.0224014859114376	0.0	1.95	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.2543347045329688	0.313412528040013	-0.7195673290603328	0.825039814623104	0.917481895059111	0.32136969844931823	0.37526146608100713	0.32136969844931823	0.37526146608100713	0.7840287519012599	0.6287071193520408	0.6942978563448918	0.8487798699346262	0.24143281301959227	0.6391770028268247	0.24195630546425898	1.5666635350021403	1.9104332695957345	0.5777777777777777	0.8888888888888888	0.875	0.875	1.4972849509363162	1.0224014859114376	0.0	2.0	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.013287709750917191	-0.01455156414303	-0.038206530396225055	0.04298895456220127	0.9448518820616028	0.016789951192762914	0.01992508279812943	0.016789951192762914	0.01992508279812943	1.174396721921286	0.918986657618939	1.0001270099633723	0.8487798699346262	0.24498800164715162	0.6259924009851092	0.24551249601489236	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.1244337518251486	1.0224014859114376	0.05	0.0	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.019646077364241413	-0.006716250942029675	-0.05619571362273337	0.05990855207803252	0.9938843433219996	0.024824193653995873	0.029306619450154607	0.024824193653995873	0.029306619450154607	1.1634490978596765	0.9119367885824112	0.9852663783360954	0.8487798699346262	0.24487862955580758	0.6264032105187909	0.24540326327590495	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.106440394078696	1.0224014859114376	0.05	0.05	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.026004444977565634	0.001119062258970651	-0.0741848968492417	0.07861858800222325	0.9980610343029669	0.03285843611522883	0.038688156102179794	0.03285843611522883	0.038688156102179794	1.1525205279233606	0.904800636419743	1.0005116493660207	0.8487798699346262	0.2447700883172329	0.6268108641426041	0.24529486205398926	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.088496191271008	1.0224014859114376	0.05	0.1	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.032362812590889856	0.008954375459970975	-0.09217408007575001	0.09809991598611063	0.9927646277109677	0.04089267857646178	0.04806969275420496	0.04089267857646178	0.04806969275420496	1.1416115593240117	0.8975799850650145	0.9147268307606622	0.8487798699346262	0.24466237903721827	0.6272153513932476	0.24518729345202633	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.070602356617662	1.0224014859114376	0.05	0.15	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.03872118020421407	0.016789688660971303	-0.11016326330225834	0.11797104739359683	0.9859546597043448	0.048926921037694734	0.057451229406230146	0.048926921037694734	0.057451229406230146	1.1307227593901503	0.8903666293638515	0.9928480298090913	0.8487798699346262	0.24455553573979572	0.6276164823429897	0.24508055821560648	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.052760137537687	1.0224014859114376	0.05	0.2	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.04507954781753829	0.024625001861971627	-0.12815244652876667	0.13806377475443815	0.9795334181174281	0.05696116349892769	0.06683276605825533	0.05696116349892769	0.06683276605825533	1.1198547164461838	0.8829931961092865	0.9964003833122692	0.8487798699346262	0.24444953498695055	0.6280143784596561	0.24497465660553894	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4222222222222222	0.875	0.875	2.034970816612466	1.0224014859114376	0.05	0.25	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.05143791543086251	0.03246031506297195	-0.14614162975527498	0.15829373691143891	0.9738986616074999	0.06499540596016065	0.0762143027102805	0.06499540596016065	0.0762143027102805	1.1090080407345413	0.8755411191329232	1.015840087661679	0.8487798699346262	0.24434436720651637	0.6284090875457317	0.24486958966848948	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4444444444444444	0.875	0.875	2.0172357125635907	1.0224014859114376	0.05	0.3	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.05779628304418673	0.040295628263972275	-0.16413081298178328	0.17861431006773537	0.9690490967311169	0.07302964842139359	0.08559583936230566	0.07302964842139359	0.08559583936230566	1.0981833653831135	0.8681545541743656	1.0254548395597793	0.8487798699346262	0.2442400334745068	0.6288005997177095	0.24476535847932268	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4666666666666667	0.875	0.875	1.9995561812492122	1.0224014859114376	0.05	0.35	ATAC_8cell_3pn_chromatin_only_inverse
dual_branch_beta_grid	-0.06415465065751096	0.048130941464972606	-0.1821199962082916	0.1989977380429236	0.9648854054233766	0.08106389088262655	0.09497737601433086	0.08106389088262655	0.09497737601433086	1.087381347420357	0.8611086166533045	0.9731963298935529	0.8487798699346262	0.2441365467839157	0.6291888387173765	0.24466196404890947	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4666666666666667	0.875	0.875	1.9819336166783508	1.0224014859114376	0.05	0.4	ATAC_8cell_3pn_chromatin_only_inverse
