"RelativePath","Bytes","MB","LastWriteTime"
"root_artifacts\5_31_causality_upgrade_report.md","4139","0.004","2026-05-31T15:38:36"
"root_artifacts\causal_alpha_dose_response.tsv","2315","0.002","2026-05-31T15:55:04"
"root_artifacts\causal_chain_breakthrough_2026-05-31.md","2941","0.003","2026-05-31T21:04:49"
"root_artifacts\causal_counterfactual_matrix.tsv","2133","0.002","2026-05-31T15:55:04"
"root_artifacts\causal_dmr_structure_specificity_summary.tsv","1358","0.001","2026-05-31T15:55:04"
"root_artifacts\causal_hardening_matrix.py","12959","0.012","2026-05-31T15:54:41"
"root_artifacts\causal_hardening_matrix_figure.pdf","30885","0.029","2026-05-31T15:55:05"
"root_artifacts\causal_hardening_matrix_figure.png","594581","0.567","2026-05-31T15:55:05"
"root_artifacts\causal_hardening_matrix_report.md","1132","0.001","2026-05-31T15:55:05"
"root_artifacts\causal_hardening_matrix_summary.json","3127","0.003","2026-05-31T15:55:05"
"root_artifacts\causal_temporal_direction_tests.tsv","746","0.001","2026-05-31T15:55:04"
"root_artifacts\causal_traj_c0_methylation_only.csv","27578","0.026","2026-05-31T15:55:04"
"root_artifacts\causal_traj_entry_sign_flipped.csv","27957","0.027","2026-05-31T15:55:04"
"root_artifacts\causal_traj_full_control.csv","27754","0.026","2026-05-31T15:55:04"
"root_artifacts\causal_traj_full_wrong_exit_sign.csv","27649","0.026","2026-05-31T15:55:04"
"root_artifacts\E-MTAB-10096_DEX_all_gene_effects_with_CSB.tsv","8014839","7.644","2026-05-31T20:50:01"
"root_artifacts\E-MTAB-10096_DEX_CSB_expr_matched_null.tsv","1198913","1.143","2026-05-31T20:50:01"
"root_artifacts\E-MTAB-10096_DEX_CSB_gene_effects.tsv","36704","0.035","2026-05-31T20:50:01"
"root_artifacts\E-MTAB-10096_DEX_CSB_gene_perturbation_figure.pdf","33284","0.032","2026-05-31T20:50:02"
"root_artifacts\E-MTAB-10096_DEX_CSB_gene_perturbation_figure.png","284938","0.272","2026-05-31T20:50:02"
"root_artifacts\E-MTAB-10096_DEX_CSB_gene_perturbation_summary.json","1921","0.002","2026-05-31T20:50:01"
"root_artifacts\E-MTAB-10097_targeted_all_CSB_DMR_sequences.tsv","68405","0.065","2026-05-31T22:14:19"
"root_artifacts\E-MTAB-10097_targeted_bsseq_CSB_DMR_beta_pilot.tsv","24205","0.023","2026-05-31T22:18:58"
"root_artifacts\E-MTAB-10097_targeted_bsseq_CSB_DMR_delta_pilot.tsv","2197","0.002","2026-05-31T22:18:58"
"root_artifacts\E-MTAB-10097_targeted_bsseq_CSB_DMR_pilot_summary.json","1007","0.001","2026-05-31T22:18:58"
"root_artifacts\E-MTAB-10097_targeted_bsseq_selected_samples.tsv","3911","0.004","2026-05-31T22:14:22"
"root_artifacts\E-MTAB-10097_targeted_top50_CSB_DMR_sequences.tsv","31501","0.03","2026-05-31T21:41:47"
"root_artifacts\GSE126958_HUES8_TET_DNMT3_WGBS_CSB_DMR_beta.tsv","55034","0.052","2026-05-31T18:18:37"
"root_artifacts\GSE126958_TET_DNMT3_CSB_DMR_perturbation_figure.pdf","34732","0.033","2026-05-31T18:18:59"
"root_artifacts\GSE126958_TET_DNMT3_CSB_DMR_perturbation_figure.png","356849","0.34","2026-05-31T18:18:58"
"root_artifacts\GSE126958_TET_DNMT3_CSB_DMR_perturbation_report.md","1127","0.001","2026-05-31T18:18:59"
"root_artifacts\GSE126958_TET_DNMT3_CSB_DMR_perturbation_summary.json","1813","0.002","2026-05-31T18:18:59"
"root_artifacts\GSE126958_TET_DNMT3_CSB_rank_group_summary.tsv","1071","0.001","2026-05-31T18:18:58"
"root_artifacts\GSE126958_TET_DNMT3_CSB_topk_random_null.tsv","1347","0.001","2026-05-31T18:18:58"
"root_artifacts\GSE190028_geo.html","27143","0.026","2026-05-31T20:21:10"
"root_artifacts\GSE207222_A485_access_branch_consistency_figure.pdf","28140","0.027","2026-05-31T16:36:34"
"root_artifacts\GSE207222_A485_access_branch_consistency_figure.png","227722","0.217","2026-05-31T16:36:34"
