particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr	transition_order
4-cell:0152	4-cell	0.4817481429973256	0.3394103861750551	0.2600601399062655	0.6713164220285748	8-cell	0.04808283827409077	-0.06926748177967307	0.506082901749229	-0.03748123743152432	3
4-cell:0153	4-cell	0.4817481429973256	0.3394103861750551	0.2399644296039197	0.6707278271659768	8-cell	0.04817610736947486	-0.06894736727867912	0.524548453854988	-0.03701703902239584	3
4-cell:0154	4-cell	0.4817481429973256	0.3394103861750551	0.2094708192045694	0.6730288496928858	8-cell	0.04830993621162971	-0.06845172084167384	0.5525782441750451	-0.0394819528077921	3
4-cell:0155	4-cell	0.4817481429973256	0.3394103861750551	0.2665804641325979	0.6637976038592841	8-cell	0.04807069297121391	-0.06936340837808463	0.5000420534525569	-0.02995778514908265	3
4-cell:0156	4-cell	0.4817481429973256	0.3394103861750551	0.4966502763607448	0.6629341362284924	8-cell	0.047048682022334365	-0.07244133664442876	0.28764405590172587	-0.027353574954726123	3
4-cell:0157	4-cell	0.4817481429973256	0.3394103861750551	0.3670670592033799	0.6700234428261309	8-cell	0.04759712959456208	-0.07084372456873766	0.40757659343736286	-0.035460280669294963	3
4-cell:0158	4-cell	0.4817481429973256	0.3394103861750551	0.4771983786167798	0.6715590927510321	8-cell	0.04710530350265718	-0.07222764639877655	0.3057672187780464	-0.036096023869272464	3
4-cell:0159	4-cell	0.4817481429973256	0.3394103861750551	0.4372693871686492	0.6595697137202162	8-cell	0.047313697072950855	-0.07174859729980643	0.34265126415358077	-0.024512531828208006	3
4-cell:0160	4-cell	0.3143721804539274	0.1470708464916801	0.2600601399062655	0.6713164220285748	8-cell	0.06251809012104287	0.009390538554706562	0.5095398745838027	-0.03715321263472615	3
4-cell:0161	4-cell	0.3143721804539274	0.1470708464916801	0.2399644296039197	0.6707278271659768	8-cell	0.06239445232489682	0.009566279254978605	0.5280751270612503	-0.036695386861112955	3
4-cell:0162	4-cell	0.3143721804539274	0.1470708464916801	0.2094708192045694	0.6730288496928858	8-cell	0.06222043139686806	0.00984195018883341	0.556206897016819	-0.039169704393988924	3
4-cell:0163	4-cell	0.3143721804539274	0.1470708464916801	0.2665804641325979	0.6637976038592841	8-cell	0.06253979505879653	0.009329592700458272	0.5034736197354464	-0.02962963836072663	3
4-cell:0164	4-cell	0.3143721804539274	0.1470708464916801	0.4966502763607448	0.6629341362284924	8-cell	0.06404719401019976	0.007606634521188371	0.29018678668083214	-0.02697935365819415	3
4-cell:0165	4-cell	0.3143721804539274	0.1470708464916801	0.3670670592033799	0.6700234428261309	8-cell	0.06320329237460359	0.008518146019570683	0.4106308515387106	-0.03510482562695827	3
4-cell:0166	4-cell	0.3143721804539274	0.1470708464916801	0.4771983786167798	0.6715590927510321	8-cell	0.06394309575541035	0.007739971569017928	0.30838668595749524	-0.035722339282854065	3
4-cell:0167	4-cell	0.3143721804539274	0.1470708464916801	0.4372693871686492	0.6595697137202162	8-cell	0.06364337842301016	0.00799920055156278	0.34542642949007313	-0.02414637356822258	3
4-cell:0168	4-cell	0.5263698459604418	0.5680889305149979	0.2600601399062655	0.6713164220285748	8-cell	0.02012953493559011	-0.2122950610903213	0.5018282813717669	-0.03804824416219876	3
4-cell:0169	4-cell	0.5263698459604418	0.5680889305149979	0.2399644296039197	0.6707278271659768	8-cell	0.020247219303155317	-0.2119764301899708	0.5202262914050184	-0.03757608086849118	3
4-cell:0170	4-cell	0.5263698459604418	0.5680889305149979	0.2094708192045694	0.6730288496928858	8-cell	0.02042408071689461	-0.2114896751520695	0.5481611801710313	-0.04002988723684653	3
4-cell:0171	4-cell	0.5263698459604418	0.5680889305149979	0.2665804641325979	0.6637976038592841	8-cell	0.020105369295106756	-0.21238431629727128	0.4958132057633687	-0.030524309711713493	3
4-cell:0172	4-cell	0.5263698459604418	0.5680889305149979	0.4966502763607448	0.6629341362284924	8-cell	0.01898462970070558	-0.21558645889232697	0.28442985398320436	-0.02798911470668286	3
4-cell:0173	4-cell	0.5263698459604418	0.5680889305149979	0.3670670592033799	0.6700234428261309	8-cell	0.019551855422362818	-0.21389563244322324	0.40374897462425063	-0.03606431437370572	3
4-cell:0174	4-cell	0.5263698459604418	0.5680889305149979	0.4771983786167798	0.6715590927510321	8-cell	0.019043968892347052	-0.21536569501613195	0.30245593007862065	-0.036730464351694914	3
4-cell:0175	4-cell	0.5263698459604418	0.5680889305149979	0.4372693871686492	0.6595697137202162	8-cell	0.01923933369942743	-0.2148337491972684	0.3391500885302649	-0.025132882064411777	3
4-cell:0176	4-cell	0.3321319745867889	0.5184875941067217	0.2600601399062655	0.6713164220285748	8-cell	0.13513819138177385	-0.20048569649246767	0.5044500790755235	-0.037680220681576504	3
4-cell:0177	4-cell	0.3321319745867889	0.5184875941067217	0.2399644296039197	0.6707278271659768	8-cell	0.1352074442451982	-0.20022160638939396	0.5229167879276544	-0.037214442686855476	3
4-cell:0178	4-cell	0.3321319745867889	0.5184875941067217	0.2094708192045694	0.6730288496928858	8-cell	0.13531856485317928	-0.19982613257025805	0.550947948792927	-0.039676912256672026	3
4-cell:0179	4-cell	0.3321319745867889	0.5184875941067217	0.2665804641325979	0.6637976038592841	8-cell	0.13511380427184233	-0.2005493479593965	0.49840948809522306	-0.03015793102926001	3
4-cell:0180	4-cell	0.3321319745867889	0.5184875941067217	0.4966502763607448	0.6629341362284924	8-cell	0.13455056652791592	-0.2033922710800828	0.28598354554570243	-0.027574985815192354	3
4-cell:0181	4-cell	0.3321319745867889	0.5184875941067217	0.3670670592033799	0.6700234428261309	8-cell	0.13481776410654706	-0.2018465973969607	0.40593538430496046	-0.03566899139670021	3
4-cell:0182	4-cell	0.3321319745867889	0.5184875941067217	0.4771983786167798	0.6715590927510321	8-cell	0.13458552066939206	-0.2031923561703594	0.30410981634711615	-0.03631439294136052	3
