sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score	dataset	stage_order	P_raw	Hr_raw	D_raw	M_raw	P	Hr	D	M
8 cell #3b	8-cell	6.904621739456004	9967	0.0869482496194825	0.6989203019672295	0.392934275793356	GSE44183_external	5	0.392934275793356	6.904621739456004	0.0869482496194825	0.6989203019672295	0.3739141322029688	0.913001690393858	0.0869482496194825	0.6989203019672295
8 cell #3c	8-cell	6.902867601406191	9580	0.0133181126331811	0.8911370924442473	0.4522276025387142	GSE44183_external	5	0.4522276025387142	6.902867601406191	0.0133181126331811	0.8911370924442473	0.4416561355695162	0.8633675406516932	0.0133181126331811	0.8911370924442473
8 cell #4b	8-cell	6.902872984768889	9581	0.0135083713850837	0.6048844220628335	0.3091963967239586	GSE44183_external	5	0.3091963967239586	6.902872984768889	0.0135083713850837	0.6048844220628335	0.27824448441632754	0.8635198653961964	0.0135083713850837	0.6048844220628335
8 cell #5b	8-cell	6.905226404895832	10139	0.1196727549467275	0.7838941886817755	0.4517834718142515	GSE44183_external	5	0.4517834718142515	6.905226404895832	0.1196727549467275	0.7838941886817755	0.44114872087914225	0.9301109794760792	0.1196727549467275	0.7838941886817755
8 cell #5c	8-cell	6.89550358268767	14766	1.0	0.8818713883812489	0.9409356941906244	GSE44183_external	5	0.9409356941906244	6.89550358268767	1.0	0.8818713883812489	1.0	0.6549992153546972	1.0	0.8818713883812489
8 cell #6a	8-cell	6.907439902964602	11412	0.3618721461187215	0.9387620295042312	0.6503170878114763	GSE44183_external	5	0.6503170878114763	6.907439902964602	0.3618721461187215	0.9387620295042312	0.6679712930214567	0.9927429340198195	0.3618721461187215	0.9387620295042312
8 cell #7a	8-cell	6.9069863314996685	10940	0.2720700152207002	0.906914334778445	0.5894921749995725	GSE44183_external	5	0.5894921749995725	6.9069863314996685	0.2720700152207002	0.906914334778445	0.5984794686519208	0.9799089190392516	0.2720700152207002	0.906914334778445
8 cell *	8-cell	6.90767492876132	12037	0.4807838660578387	0.7687364017307813	0.62476013389431	GSE44183_external	5	0.62476013389431	6.90767492876132	0.4807838660578387	0.7687364017307813	0.6387727414588069	0.9993930979501018	0.4807838660578387	0.7687364017307813
morula #1	morula	6.907695712357741	12134	0.4992389649923896	0.5632186922368002	0.531228828614595	GSE44183_external	6	0.531228828614595	6.907695712357741	0.4992389649923896	0.5632186922368002	0.5319142070347448	0.9999811794508934	0.4992389649923896	0.5632186922368002
morula #4	morula	6.907495718410706	11506	0.3797564687975647	0.6435929245279481	0.5116746966627564	GSE44183_external	6	0.5116746966627564	6.907495718410706	0.3797564687975647	0.6435929245279481	0.5095738165520155	0.9943222579562414	0.3797564687975647	0.6435929245279481
morula #5	morula	6.907508960428757	11528	0.3839421613394216	0.5792224755602271	0.4815823184498243	GSE44183_external	6	0.4815823184498243	6.907508960428757	0.3839421613394216	0.5792224755602271	0.47519359034270686	0.9946969469990455	0.3839421613394216	0.5792224755602271
