stage_order	J_path_order	enters_morula_from	enter_morula_A	is_canonical
blastocyst -> 2-cell -> 8-cell -> 4-cell -> zygote/PN -> morula -> MII oocyte	2.2025450203399597	zygote/PN	-0.20091201350124943	False
MII oocyte -> 4-cell -> zygote/PN -> 8-cell -> morula -> 2-cell -> blastocyst	2.2045205613172394	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> MII oocyte -> zygote/PN -> morula -> 8-cell -> 4-cell	2.205807380316104	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> 8-cell -> 4-cell -> morula -> MII oocyte -> zygote/PN	2.2063160278328233	4-cell	-0.135697481725658	False
8-cell -> morula -> MII oocyte -> zygote/PN -> 4-cell -> 2-cell -> blastocyst	2.209306346508327	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> 4-cell -> MII oocyte -> morula -> zygote/PN	2.211106879065804	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> MII oocyte -> 4-cell -> 8-cell -> zygote/PN -> morula	2.2133530240035317	zygote/PN	-0.20091201350124943	False
blastocyst -> 4-cell -> 2-cell -> 8-cell -> zygote/PN -> MII oocyte -> morula	2.2158716813125507	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> zygote/PN -> 8-cell -> MII oocyte -> 4-cell -> morula	2.2160615154506007	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> MII oocyte -> morula -> 8-cell -> zygote/PN -> 4-cell	2.220380269419007	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> MII oocyte -> 4-cell -> morula -> 8-cell -> zygote/PN	2.2211884136729276	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> 4-cell -> morula -> zygote/PN -> MII oocyte -> 8-cell	2.2212125983965314	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> MII oocyte -> zygote/PN -> 8-cell -> 4-cell -> morula	2.22252950300969	4-cell	-0.135697481725658	False
MII oocyte -> zygote/PN -> 4-cell -> 8-cell -> morula -> 2-cell -> blastocyst	2.2228049485118535	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> MII oocyte -> zygote/PN -> 8-cell -> morula -> 2-cell	2.222991569898192	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> MII oocyte -> 4-cell -> 8-cell -> morula -> zygote/PN	2.2231875999767126	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> MII oocyte -> 8-cell -> 4-cell -> morula	2.224434658667451	4-cell	-0.135697481725658	False
blastocyst -> 4-cell -> 2-cell -> 8-cell -> morula -> MII oocyte -> zygote/PN	2.2257778056707838	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> zygote/PN -> MII oocyte -> 8-cell -> 2-cell -> morula	2.2306383738555193	2-cell	-0.2658915429166202	False
MII oocyte -> zygote/PN -> morula -> 8-cell -> 4-cell -> 2-cell -> blastocyst	2.230907728784822	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> 8-cell -> MII oocyte -> morula -> zygote/PN -> 4-cell	2.2344006831287655	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> 8-cell -> MII oocyte -> 4-cell -> morula -> zygote/PN	2.235208827382686	4-cell	-0.135697481725658	False
morula -> 8-cell -> MII oocyte -> zygote/PN -> 4-cell -> 2-cell -> blastocyst	2.2380534233826115			False
blastocyst -> 2-cell -> zygote/PN -> 4-cell -> morula -> 8-cell -> MII oocyte	2.238410284821747	4-cell	-0.135697481725658	False
blastocyst -> MII oocyte -> zygote/PN -> 4-cell -> 2-cell -> 8-cell -> morula	2.239133572296742	8-cell	-0.20068847739403312	False
zygote/PN -> MII oocyte -> 4-cell -> 8-cell -> morula -> 2-cell -> blastocyst	2.2392858704425933	8-cell	-0.20068847739403312	False
morula -> 4-cell -> MII oocyte -> zygote/PN -> 8-cell -> 2-cell -> blastocyst	2.240683697798396			False
blastocyst -> 4-cell -> 2-cell -> MII oocyte -> zygote/PN -> 8-cell -> morula	2.2419912808476505	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> 2-cell -> zygote/PN -> MII oocyte -> 8-cell -> morula	2.2438964365054117	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> MII oocyte -> 8-cell -> morula -> zygote/PN -> 4-cell	2.245064916639188	8-cell	-0.20068847739403312	False
MII oocyte -> morula -> 8-cell -> zygote/PN -> 4-cell -> 2-cell -> blastocyst	2.245480617887725	MII oocyte	-0.16141955089898677	False
4-cell -> zygote/PN -> MII oocyte -> 8-cell -> morula -> 2-cell -> blastocyst	2.2492911045887265	8-cell	-0.20068847739403312	False
zygote/PN -> 8-cell -> morula -> MII oocyte -> 4-cell -> 2-cell -> blastocyst	2.2493802442719333	8-cell	-0.20068847739403312	False
morula -> zygote/PN -> MII oocyte -> 4-cell -> 8-cell -> 2-cell -> blastocyst	2.2529092171010774			False
blastocyst -> 2-cell -> 4-cell -> zygote/PN -> morula -> MII oocyte -> 8-cell	2.2560531881667707	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> morula -> 4-cell -> 8-cell -> zygote/PN -> MII oocyte	2.2594565226845713	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> 8-cell -> MII oocyte -> morula -> 4-cell -> zygote/PN	2.267541980082527	MII oocyte	-0.16141955089898677	False
blastocyst -> 4-cell -> 2-cell -> 8-cell -> MII oocyte -> zygote/PN -> morula	2.2686645384889936	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> zygote/PN -> 4-cell -> 8-cell -> MII oocyte -> morula	2.2691149440304015	MII oocyte	-0.16141955089898677	False
MII oocyte -> 8-cell -> morula -> zygote/PN -> 4-cell -> 2-cell -> blastocyst	2.270165265107906	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> morula -> MII oocyte -> zygote/PN -> 8-cell -> 4-cell	2.270470945040826	2-cell	-0.2658915429166202	False
morula -> MII oocyte -> 4-cell -> zygote/PN -> 8-cell -> 2-cell -> blastocyst	2.2730977766359475			False
blastocyst -> 2-cell -> MII oocyte -> 8-cell -> zygote/PN -> 4-cell -> morula	2.2744398832643586	4-cell	-0.135697481725658	False
8-cell -> morula -> 4-cell -> MII oocyte -> zygote/PN -> 2-cell -> blastocyst	2.2752401135971696	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> morula -> zygote/PN -> 8-cell -> 4-cell -> MII oocyte	2.275931289994108	2-cell	-0.2658915429166202	False
morula -> 8-cell -> 4-cell -> MII oocyte -> zygote/PN -> 2-cell -> blastocyst	2.2775302796069368			False
blastocyst -> 2-cell -> MII oocyte -> 8-cell -> morula -> 4-cell -> zygote/PN	2.27820621359295	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> MII oocyte -> zygote/PN -> 2-cell -> morula -> 8-cell	2.278261282726262	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> zygote/PN -> MII oocyte -> morula -> 4-cell -> 8-cell	2.279769657732176	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> MII oocyte -> morula -> 8-cell -> 4-cell -> zygote/PN	2.2797859642996423	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> zygote/PN -> morula -> MII oocyte -> 4-cell -> 8-cell	2.282277094802574	zygote/PN	-0.20091201350124943	False
zygote/PN -> MII oocyte -> 8-cell -> morula -> 4-cell -> 2-cell -> blastocyst	2.2842102983533006	8-cell	-0.20068847739403312	False
zygote/PN -> MII oocyte -> morula -> 8-cell -> 4-cell -> 2-cell -> blastocyst	2.2857900490599934	MII oocyte	-0.16141955089898677	False
blastocyst -> 4-cell -> zygote/PN -> MII oocyte -> 8-cell -> morula -> 2-cell	2.2902357028171108	8-cell	-0.20068847739403312	False
morula -> MII oocyte -> zygote/PN -> 4-cell -> 8-cell -> 2-cell -> blastocyst	2.291382163830561			False
blastocyst -> 4-cell -> morula -> 8-cell -> 2-cell -> zygote/PN -> MII oocyte	2.294557179315917	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> MII oocyte -> 8-cell -> 4-cell -> zygote/PN -> morula	2.294636035546642	zygote/PN	-0.20091201350124943	False
2-cell -> 8-cell -> morula -> zygote/PN -> MII oocyte -> 4-cell -> blastocyst	2.29787400808122	8-cell	-0.20068847739403312	False
MII oocyte -> 4-cell -> morula -> zygote/PN -> 8-cell -> 2-cell -> blastocyst	2.2984772385472647	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> morula -> zygote/PN -> 8-cell -> MII oocyte -> 4-cell	2.2993637445906887	2-cell	-0.2658915429166202	False
blastocyst -> 4-cell -> MII oocyte -> zygote/PN -> morula -> 2-cell -> 8-cell	2.300344083158921	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> morula -> MII oocyte -> 4-cell -> 8-cell -> zygote/PN	2.3005040086330193	2-cell	-0.2658915429166202	False
blastocyst -> 2-cell -> MII oocyte -> 4-cell -> morula -> zygote/PN -> 8-cell	2.3029858516761568	4-cell	-0.135697481725658	False
blastocyst -> 4-cell -> 2-cell -> morula -> 8-cell -> zygote/PN -> MII oocyte	2.3031835121456203	2-cell	-0.2658915429166202	False
zygote/PN -> 4-cell -> MII oocyte -> 8-cell -> morula -> 2-cell -> blastocyst	2.3052351293214537	8-cell	-0.20068847739403312	False
4-cell -> morula -> MII oocyte -> zygote/PN -> 8-cell -> 2-cell -> blastocyst	2.3059818390520395	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> zygote/PN -> morula -> 4-cell -> MII oocyte -> 8-cell	2.307317518266605	zygote/PN	-0.20091201350124943	False
8-cell -> morula -> MII oocyte -> 4-cell -> zygote/PN -> 2-cell -> blastocyst	2.307654192434721	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> morula -> zygote/PN -> MII oocyte -> 8-cell -> 4-cell	2.307736887807539	2-cell	-0.2658915429166202	False
morula -> 4-cell -> zygote/PN -> MII oocyte -> 8-cell -> 2-cell -> blastocyst	2.3079278307173148			False
MII oocyte -> 4-cell -> morula -> 8-cell -> zygote/PN -> 2-cell -> blastocyst	2.3090594224289323	4-cell	-0.135697481725658	False
MII oocyte -> zygote/PN -> 4-cell -> blastocyst -> 2-cell -> 8-cell -> morula	2.309406041833425	8-cell	-0.20068847739403312	False
blastocyst -> zygote/PN -> MII oocyte -> 4-cell -> morula -> 8-cell -> 2-cell	2.310259840296614	4-cell	-0.135697481725658	False
morula -> 8-cell -> zygote/PN -> 4-cell -> MII oocyte -> 2-cell -> blastocyst	2.3104368824309587			False
MII oocyte -> zygote/PN -> morula -> 4-cell -> 8-cell -> 2-cell -> blastocyst	2.3106933800972893	zygote/PN	-0.20091201350124943	False
4-cell -> MII oocyte -> morula -> zygote/PN -> 8-cell -> 2-cell -> blastocyst	2.3107726902850203	MII oocyte	-0.16141955089898677	False
MII oocyte -> 4-cell -> 8-cell -> morula -> zygote/PN -> 2-cell -> blastocyst	2.311058608732717	8-cell	-0.20068847739403312	False
zygote/PN -> morula -> 8-cell -> MII oocyte -> 4-cell -> 2-cell -> blastocyst	2.3147543969949087	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> MII oocyte -> zygote/PN -> morula -> 4-cell -> 8-cell	2.3152019932261805	zygote/PN	-0.20091201350124943	False
4-cell -> 8-cell -> morula -> MII oocyte -> zygote/PN -> 2-cell -> blastocyst	2.3185632092374915	8-cell	-0.20068847739403312	False
morula -> zygote/PN -> 4-cell -> MII oocyte -> 8-cell -> 2-cell -> blastocyst	2.3188584759799373			False
4-cell -> MII oocyte -> morula -> 8-cell -> zygote/PN -> 2-cell -> blastocyst	2.3213548741666874	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> morula -> MII oocyte -> 8-cell -> zygote/PN -> 4-cell	2.322381325295494	2-cell	-0.2658915429166202	False
8-cell -> morula -> 4-cell -> zygote/PN -> MII oocyte -> 2-cell -> blastocyst	2.323480469085442	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> 2-cell -> zygote/PN -> MII oocyte -> morula -> 8-cell	2.3234966471932252	MII oocyte	-0.16141955089898677	False
blastocyst -> 4-cell -> zygote/PN -> 2-cell -> 8-cell -> morula -> MII oocyte	2.3239870010635584	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> 8-cell -> 2-cell -> zygote/PN -> MII oocyte -> morula	2.3252618385245714	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> morula -> 4-cell -> MII oocyte -> 8-cell -> zygote/PN	2.3255444320970504	2-cell	-0.2658915429166202	False
morula -> 8-cell -> 4-cell -> zygote/PN -> MII oocyte -> 2-cell -> blastocyst	2.3257706350952088			False
zygote/PN -> MII oocyte -> 4-cell -> blastocyst -> 2-cell -> 8-cell -> morula	2.325886963764165	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> zygote/PN -> MII oocyte -> 2-cell -> morula -> 8-cell	2.3265016382145345	2-cell	-0.2658915429166202	False
blastocyst -> zygote/PN -> 4-cell -> MII oocyte -> 2-cell -> 8-cell -> morula	2.3302015033514305	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> zygote/PN -> MII oocyte -> morula -> 2-cell -> 8-cell	2.3302507249260747	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> 4-cell -> 8-cell -> zygote/PN -> morula -> MII oocyte	2.330363517788218	zygote/PN	-0.20091201350124943	False
MII oocyte -> morula -> 4-cell -> zygote/PN -> 8-cell -> 2-cell -> blastocyst	2.3308103912471068	MII oocyte	-0.16141955089898677	False
blastocyst -> 4-cell -> MII oocyte -> 2-cell -> zygote/PN -> 8-cell -> morula	2.3317352615784372	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> morula -> 4-cell -> zygote/PN -> 8-cell -> MII oocyte	2.3323663910108317	2-cell	-0.2658915429166202	False
8-cell -> morula -> zygote/PN -> 4-cell -> MII oocyte -> 2-cell -> blastocyst	2.334411114348065	8-cell	-0.20068847739403312	False
4-cell -> morula -> 8-cell -> zygote/PN -> MII oocyte -> 2-cell -> blastocyst	2.334826188269773	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> MII oocyte -> morula -> 4-cell -> zygote/PN -> 8-cell	2.3353190043759984	MII oocyte	-0.16141955089898677	False
2-cell -> 8-cell -> morula -> MII oocyte -> zygote/PN -> 4-cell -> blastocyst	2.3363469548107036	8-cell	-0.20068847739403312	False
morula -> 8-cell -> MII oocyte -> 4-cell -> zygote/PN -> 2-cell -> blastocyst	2.3364012693090053			False
4-cell -> 8-cell -> morula -> zygote/PN -> MII oocyte -> 2-cell -> blastocyst	2.336825374573558	8-cell	-0.20068847739403312	False
blastocyst -> MII oocyte -> 4-cell -> zygote/PN -> 2-cell -> 8-cell -> morula	2.337481418223136	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> MII oocyte -> morula -> 8-cell -> 2-cell -> zygote/PN	2.3379596278120003	MII oocyte	-0.16141955089898677	False
2-cell -> blastocyst -> 4-cell -> MII oocyte -> zygote/PN -> 8-cell -> morula	2.338521711682511	8-cell	-0.20068847739403312	False
blastocyst -> 4-cell -> MII oocyte -> 2-cell -> 8-cell -> zygote/PN -> morula	2.3410479975373413	zygote/PN	-0.20091201350124943	False
4-cell -> morula -> zygote/PN -> MII oocyte -> 8-cell -> 2-cell -> blastocyst	2.343247781818752	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> zygote/PN -> 4-cell -> morula -> MII oocyte -> 8-cell	2.343363954063401	4-cell	-0.135697481725658	False
4-cell -> MII oocyte -> 8-cell -> morula -> zygote/PN -> 2-cell -> blastocyst	2.346039521386868	8-cell	-0.20068847739403312	False
