sample_id	stage	A	P	Hm	Hr	to_stage	vA	vP	vHm	vHr
GSM2481533	2-cell	0.4259533877793643	0.5757513330074346	0.09508944859965748	0.34641832657044236	4-cell	-0.1383603949636243	-0.41437098404384426	0.011339610160252603	0.2386961616051574
GSM2481534	2-cell	0.6531050059253601	0.5757513330074346	0.2631949208538106	0.34641832657044236	4-cell	-0.25227812256055326	-0.4143709840438443	-0.0709958507920696	0.2386961616051574
GSM2481535	2-cell	0.28394672285375755	0.5757513330074346	0.28129446484914605	0.34641832657044236	4-cell	-0.044681719402645675	-0.4143709840438443	-0.13964406148503036	0.23869616160515728
GSM2986344	2-cell	0.5267822952187665	0.5757513330074346	0.6261361748099998	0.34641832657044236	4-cell	-0.10993027872565209	-0.4143709840438443	-0.2737913632515411	0.2386961616051574
GSM2986345	2-cell	0.6820494960217952	0.5757513330074346	0.4647787720088332	0.34641832657044236	4-cell	-0.25227760029062174	-0.4143709840438443	-0.15891980787136228	0.2386961616051574
GSM2986346	2-cell	0.5888945071184205	0.5757513330074346	0.6468624786805637	0.34641832657044236	4-cell	-0.14860493295949845	-0.41437098404384426	-0.26993616443197016	0.2386961616051575
GSM2986347	2-cell	0.5857047177237847	0.5757513330074346	0.4030710255450775	0.34641832657044236	4-cell	-0.1919125251146523	-0.4143709840438443	-0.14416266185970028	0.2386961616051574
GSM2986348	2-cell	0.43540611714394906	0.5757513330074346	0.710913634253359	0.34641832657044236	4-cell	-0.034507531590830864	-0.4143709840438443	-0.3463139550628104	0.2386961616051575
GSM2986349	2-cell	0.36899299534639346	0.5757513330074346	0.5354275165010678	0.34641832657044236	4-cell	-0.029670638940437366	-0.4143709840438443	-0.2656038834564988	0.2386961616051574
GSM2986350	2-cell	0.5664274299472005	0.5757513330074346	0.5661993597721663	0.34641832657044236	4-cell	-0.14948255267256177	-0.4143709840438443	-0.23204081982705377	0.2386961616051575
GSM2986351	2-cell	0.5606966254352108	0.5757513330074346	0.3894271551371918	0.34641832657044236	4-cell	-0.17673459053272816	-0.4143709840438443	-0.14127475617999952	0.2386961616051574
GSM2986352	2-cell	0.6140714083240866	0.5757513330074346	0.4488380051567777	0.34641832657044236	4-cell	-0.2049514743686489	-0.4143709840438443	-0.16226383812123935	0.2386961616051574
GSM2986353	2-cell	0.6927195406083502	0.5757513330074346	0.520461662251789	0.34641832657044236	4-cell	-0.25041545921113584	-0.4143709840438443	-0.18324863695106575	0.2386961616051575
GSM2986354	2-cell	0.6579791680318304	0.5757513330074346	0.851880107406533	0.34641832657044236	4-cell	-0.15705613193954637	-0.4143709840438443	-0.3786825122768372	0.2386961616051574
GSM2986355	2-cell	0.34599720718680105	0.5757513330074346	0.29526448887232376	0.34641832657044236	4-cell	-0.0714664007951945	-0.4143709840438443	-0.1310972448436777	0.2386961616051574
GSM2986356	2-cell	0.44380445059851303	0.5757513330074346	0.40143682589314467	0.34641832657044236	4-cell	-0.10006636447642309	-0.41437098404384426	-0.16961954889553071	0.2386961616051575
GSM2986357	2-cell	0.5196712587870028	0.5757513330074346	0.473152390648155	0.34641832657044236	4-cell	-0.13471543371046313	-0.4143709840438443	-0.19264861788779297	0.23869616160515728
GSM2986358	2-cell	0.4883771766906727	0.5757513330074346	0.6813930236126394	0.34641832657044236	4-cell	-0.0732751361689315	-0.4143709840438443	-0.31444364236635436	0.2386961616051574
GSM2986359	2-cell	0.4333936692247121	0.5757513330074346	0.5732477436585166	0.34641832657044236	4-cell	-0.059430783583509006	-0.4143709840438443	-0.2688451020730418	0.2386961616051575
GSM2481536	4-cell	0.4889512615558175	0.16138034896359035	0.23993272769498625	0.5851144881755997	8-cell	0.051917633188365064	0.8386196510364099	-0.0324474341348614	-0.3484373882156527
GSM2481537	4-cell	0.28249246636833725	0.16138034896359035	0.2502306326077825	0.5851144881755997	8-cell	0.08382269875784915	0.8386196510364095	-0.07242315052881829	-0.3484373882156527
GSM2481538	4-cell	0.33869655683788513	0.16138034896359035	0.32082243508161695	0.5851144881755997	8-cell	0.09507660027548531	0.8386196510364101	-0.08631450705138319	-0.3484373882156527
GSM2481539	4-cell	0.42208995753067596	0.16138034896359035	0.3006498295238343	0.5851144881755997	8-cell	0.06357891376341457	0.8386196510364093	-0.0554294340464031	-0.34843738821565284
GSM2481540	4-cell	0.36313463609662205	0.16138034896359035	0.33087047381659407	0.5851144881755997	8-cell	0.08936415207851511	0.8386196510364099	-0.08409198049620178	-0.34843738821565273
GSM2481541	4-cell	0.4905028462352807	0.16138034896359035	0.30004133130566313	0.5851144881755997	8-cell	0.04450728585421898	0.8386196510364099	-0.06316099301225683	-0.3484373882156527
GSM2481542	4-cell	0.35425534107583895	0.16138034896359035	0.3096087517616707	0.5851144881755997	8-cell	0.08856771264713031	0.8386196510364093	-0.07408816808896779	-0.34843738821565273
GSM2481543	4-cell	0.34540147173028524	0.16138034896359035	0.24784211212692708	0.5851144881755997	8-cell	0.07874272639474827	0.8386196510364095	-0.040751803382043456	-0.34843738821565273
GSM2481544	4-cell	0.42264029643271467	0.16138034896359035	0.2857313532141791	0.5851144881755997	8-cell	0.06238602352368572	0.8386196510364097	-0.04675251329103719	-0.34843738821565273
GSM2481545	4-cell	0.32195875669369267	0.16138034896359035	0.2986682168888606	0.5851144881755997	8-cell	0.09384748657319347	0.8386196510364095	-0.08032587416513698	-0.34843738821565273
GSM2481546	4-cell	0.0795351590327398	0.16138034896359035	0.11823604643253648	0.5851144881755997	8-cell	0.03230071600454035	0.8386196510364097	-0.059175745812392946	-0.34843738821565273
GSM2481547	4-cell	0.2083847130546111	0.16138034896359035	0.17346169755711618	0.5851144881755997	8-cell	0.05366710606850378	0.8386196510364095	-0.06263610389743618	-0.34843738821565273
GSM2481548	4-cell	0.397213306086076	0.16138034896359035	0.19257354239726404	0.5851144881755997	8-cell	0.06100408623085085	0.8386196510364099	0.004359086338870499	-0.34843738821565273
GSM2481549	4-cell	0.32267224681666673	0.16138034896359035	0.023850753062163603	0.5851144881755997	8-cell	0.03571071392460051	0.8386196510364095	0.09542649646250537	-0.3484373882156527
GSM2481550	4-cell	0.18145254664393054	0.16138034896359035	0.044087865478993044	0.5851144881755997	8-cell	0.025573540642398057	0.8386196510364097	0.033601632665286374	-0.34843738821565273
GSM2481551	4-cell	0.12565404039725936	0.16138034896359035	0.0033147675066067224	0.5851144881755997	8-cell	0.01906370531286397	0.8386196510364097	0.05755529012045094	-0.3484373882156527
GSM2481552	4-cell	0.5218715958000245	0.16138034896359035	0.0	0.5851144881755997	8-cell	0.13668646020767072	0.8386196510364097	0.08495792769521276	-0.3484373882156526
GSM2986360	4-cell	0.6276263137954569	0.16138034896359035	0.562004521900457	0.5851144881755997	8-cell	0.0025829933399637017	0.8386196510364097	-0.2783755332487197	-0.3484373882156526
GSM2986361	4-cell	0.3968062413862697	0.16138034896359035	0.3807111956335514	0.5851144881755997	8-cell	0.08184878507668636	0.8386196510364097	-0.10730554307146811	-0.34843738821565273
GSM2986362	4-cell	0.48174814299732566	0.16138034896359035	0.33941038617505515	0.5851144881755997	8-cell	0.042935656356723306	0.8386196510364099	-0.08153630675867451	-0.3484373882156527
GSM2986363	4-cell	0.31437218045392745	0.16138034896359035	0.14707084649168015	0.5851144881755997	8-cell	0.05851147441197152	0.8386196510364093	0.008032200852074484	-0.34843738821565273
GSM2986364	4-cell	0.5263698459604418	0.16138034896359035	0.5680889305149979	0.5851144881755997	8-cell	0.013947374818933711	0.8386196510364097	-0.22867789718463571	-0.34843738821565273
GSM2986365	4-cell	0.33213197458678895	0.16138034896359035	0.5184875941067217	0.5851144881755997	8-cell	0.1317678733312888	0.8386196510364097	-0.2142898275817075	-0.3484373882156527
