sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score	dataset	stage_order	P_raw	Hr_raw	D_raw	M_raw	P	Hr	D	M
Morulae #2 -Cell#3(RPKM)	morula	6.873222120379129	11003	0.3314779842957956	0.9226808246394308	0.6270794044676132	GSE36552	5	0.6270794044676132	6.873222120379129	0.3314779842957956	0.9226808246394308	0.8005809505905267	0.61519152969384	0.4034111527760977	0.9226808246394308
Morulae #2 -Cell#4(RPKM)	morula	6.7435927845178	10439	0.2754199383759069	0.919734617791859	0.5975772780838831	GSE36552	5	0.5975772780838831	6.7435927845178	0.2754199383759069	0.919734617791859	0.7479171097607715	0.5949408650259311	0.3351880972541429	0.919734617791859
Morulae #2 -Cell#5(RPKM)	morula	7.062187762964723	10315	0.2630951197694066	0.8754587034243877	0.5692769115968972	GSE36552	5	0.5692769115968972	7.062187762964723	0.2630951197694066	0.8754587034243877	0.6973985140260488	0.6447116983835135	0.32018870206846495	0.8754587034243877
Morulae #2 -Cell#6(RPKM)	morula	6.689467496965568	11706	0.4013517542987774	0.92095927421849	0.6611555142586336	GSE36552	5	0.6611555142586336	6.689467496965568	0.4013517542987774	0.92095927421849	0.8614097464132316	0.5864854252059901	0.4884480464497398	0.92095927421849
Morulae #2 -Cell#7(RPKM)	morula	6.752968712865	12473	0.4775867210018885	1.0	0.7387933605009442	GSE36552	5	0.7387933605009442	6.752968712865	0.4775867210018885	1.0	1.0	0.5964055703694238	0.5812265634450223	1.0
Morulae #2 -Cell#8(RPKM)	morula	6.898380258425139	10913	0.3225325514362389	0.9427184213314076	0.6326254863838233	GSE36552	5	0.6326254863838233	6.898380258425139	0.3225325514362389	0.9427184213314076	0.8104811852876822	0.6191217281620609	0.39252449498004105	0.9427184213314076
FC(epiblast/Primitive endoderm)	blastocyst	5.673239763835312	13812	0.6106748832124044	0.1998308102248036	0.405252846718604	GSE36552	6	0.405252846718604	5.673239763835312	0.6106748832124044	0.1998308102248036	0.4046014073821145	0.42773056533488335	0.7431958388774647	0.1998308102248036
FC(epiblast/Trophectoderm)	blastocyst	5.449125225592369	14792	0.7080807076831329	0.4579710103251391	0.5830258590041361	GSE36552	6	0.5830258590041361	5.449125225592369	0.7080807076831329	0.4579710103251391	0.7219415713099067	0.3927194443489972	0.861739445990081	0.4579710103251391
FC(epiblast/hESC passage#0)	blastocyst	2.9352343688905425	15492	0.7776562965907962	0.4311594623372115	0.6044078794640038	GSE36552	6	0.6044078794640038	2.9352343688905425	0.7776562965907962	0.4311594623372115	0.7601103225202614	0.0	0.9464134510705213	0.4311594623372115
FC[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst	6.594193922353488	15211	0.7497266673292913	0.0974047591363034	0.4235657132327973	GSE36552	6	0.4235657132327973	6.594193922353488	0.7497266673292913	0.0974047591363034	0.43729145401454605	0.5716018095617185	0.9124228861739445	0.0974047591363034
Late blastocyst #1 -Cell#1(RPKM)	blastocyst	7.082811041770903	8838	0.1162906271742371	0.398519681214257	0.2574051541942471	GSE36552	6	0.2574051541942471	7.082811041770903	0.1162906271742371	0.398519681214257	0.1406805209729482	0.6479334621970957	0.14152655134873587	0.398519681214257
Late blastocyst #1 -Cell#10(RPKM)	blastocyst	7.203258094622175	9155	0.1477984295795646	0.4206223597090851	0.2842103946443249	GSE36552	6	0.2842103946443249	7.203258094622175	0.1477984295795646	0.4206223597090851	0.18853018774289057	0.6667496727509958	0.17987177936373527	0.4206223597090851
Late blastocyst #1 -Cell#11(RPKM)	blastocyst	7.246720897116271	10635	0.2949011032700527	0.4213388159885923	0.3581199596293225	GSE36552	6	0.3581199596293225	7.246720897116271	0.2949011032700527	0.4213388159885923	0.3204651376356183	0.6735394216375984	0.3588968186766663	0.4213388159885923
Late blastocyst #1 -Cell#12(RPKM)	blastocyst	6.608941637720473	9587	0.1907365073054368	0.5037793671120991	0.3472579372087679	GSE36552	6	0.3472579372087679	6.608941637720473	0.1907365073054368	0.5037793671120991	0.3010754905164606	0.5739056942227805	0.232127736784807	0.5037793671120991
Late blastocyst #1 -Cell#2(RPKM)	blastocyst	7.125088090093654	9922	0.2240333962826756	0.4897232598537112	0.3568783280681935	GSE36552	6	0.3568783280681935	7.125088090093654	0.2240333962826756	0.4897232598537112	0.31824871817981387	0.6545379728431185	0.27265029635901766	0.4897232598537112
