sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score
FC(epiblast/hESC passage#0)	blastocyst	2.9352343688905425	15492	0.7776562965907962	0.4311594623372115	0.6044078794640038
FC[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst	6.5941939223534884	15211	0.7497266673292913	0.09740475913630345	0.42356571323279735
Late blastocyst #1 -Cell#1(RPKM)	blastocyst	7.082811041770903	8838	0.11629062717423716	0.398519681214257	0.2574051541942471
Late blastocyst #1 -Cell#10(RPKM)	blastocyst	7.203258094622175	9155	0.14779842957956466	0.4206223597090851	0.2842103946443249
Late blastocyst #1 -Cell#11(RPKM)	blastocyst	7.246720897116271	10635	0.2949011032700527	0.42133881598859235	0.3581199596293225
Late blastocyst #1 -Cell#12(RPKM)	blastocyst	6.608941637720473	9587	0.19073650730543684	0.5037793671120991	0.34725793720876796
Late blastocyst #1 -Cell#2(RPKM)	blastocyst	7.125088090093654	9922	0.22403339628267568	0.48972325985371123	0.3568783280681935
Late blastocyst #1 -Cell#3(RPKM)	blastocyst	6.74907797641186	9805	0.21240433356525196	0.558422515645361	0.3854134246053065
Late blastocyst #1 -Cell#4(RPKM)	blastocyst	6.984890171968296	9394	0.17155352350660968	0.41813981100054776	0.2948466672535787
Late blastocyst #1 -Cell#5(RPKM)	blastocyst	7.096498086567559	9336	0.16578868899711757	0.43318118504557296	0.29948493702134527
Late blastocyst #1 -Cell#6(RPKM)	blastocyst	7.090088098193049	9739	0.2058443494682437	0.43336155252940667	0.3196029509988252
Late blastocyst #1 -Cell#7(RPKM)	blastocyst	7.2490674974741935	9272	0.15942749229698838	0.4926311855468895	0.32602933892193897
Late blastocyst #1 -Cell#8(RPKM)	blastocyst	6.792988027883443	10067	0.23844548255640594	0.41272504062918786	0.3255852615927969
Late blastocyst #1 -Cell#9(RPKM)	blastocyst	7.2616448451908635	9614	0.19342013716330383	0.44473524484862487	0.31907769100596434
Late blastocyst #2 -Cell#1(RPKM)	blastocyst	6.50938455563621	10810	0.3122950004969685	0.7434458459712282	0.5278704232340984
Late blastocyst #2 -Cell#10(RPKM)	blastocyst	7.153237302589325	9264	0.1586323427094722	0.41415662428140965	0.28639448349544094
Late blastocyst #2 -Cell#2(RPKM)	blastocyst	7.119856552758515	10645	0.29589504025444785	0.9172916309895099	0.6065933356219789
Late blastocyst #2 -Cell#3(RPKM)	blastocyst	6.833288810096542	9816	0.21349766424808667	0.8915162790477507	0.5525069716479186
Late blastocyst #2 -Cell#4(RPKM)	blastocyst	7.24001318339363	9717	0.20365768810257429	0.4774882579478491	0.3405729730252117
Late blastocyst #2 -Cell#5(RPKM)	blastocyst	7.084632106532114	8220	0.05486532153861445	0.3333956885584193	0.19413050504851687
Late blastocyst #2 -Cell#6(RPKM)	blastocyst	7.246717172420514	9138	0.14610873670609284	0.43965188056697346	0.29288030863653314
Late blastocyst #2 -Cell#7(RPKM)	blastocyst	7.203901253000643	8976	0.13000695755889077	0.4047184187400087	0.26736268814944975
Late blastocyst #2 -Cell#8(RPKM)	blastocyst	6.894418907642109	9690	0.2009740582447073	0.41370619240855205	0.3073401253266297
Late blastocyst #2 -Cell#9(RPKM)	blastocyst	6.952917554993939	8914	0.12384454825564059	0.39415341130337306	0.2589989797795068
Late blastocyst #3 -Cell#1(RPKM)	blastocyst	6.271609047201327	7723	0.005466653414173541	0.5620389727332443	0.2837528130737089
Late blastocyst #3 -Cell#2(RPKM)	blastocyst	6.804591627810189	8726	0.10515853294901104	0.46663819045012656	0.2858983616995688
Late blastocyst #3 -Cell#3(RPKM)	blastocyst	7.086817169704701	8821	0.11460093430076533	0.33848403567200225	0.2265424849863838
Late blastocyst #3 -Cell#4(RPKM)	blastocyst	6.6338544839504525	8178	0.05069078620415466	0.783296919698023	0.4169938529510888
Late blastocyst #3 -Cell#5(RPKM)	blastocyst	6.929536040345324	8777	0.1102276115694265	0.8216549396733229	0.4659412756213747
Late blastocyst #3 -Cell#6(RPKM)	blastocyst	6.625168129375902	7668	0.0	0.3571926928070667	0.17859634640353336
Late blastocyst #3 -Cell#7(RPKM)	blastocyst	6.9031131803209895	8512	0.08388828148295398	0.3453948695983694	0.21464157554066168
Late blastocyst #3 -Cell#8(RPKM)	blastocyst	6.7566635975066704	8497	0.0823973760063612	0.4162774421075742	0.24933740905696772
P-value(epiblast/Primitive endoderm)	blastocyst	9.285701761061105	13899	0.6193221349766425	0.02415296445312992	0.3217375497148862
P-value(epiblast/Trophectoderm)	blastocyst	9.277227100364357	14638	0.6927740781234469	0.0034177182980319404	0.34809589821073944
P-value(epiblast/hESC passage#0)	blastocyst	9.336472944864418	15935	0.821687704999503	0.004905535010011667	0.41329662000475736
P-value[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst	9.316664798830473	15062	0.734917006261803	0.0	0.3674585031309015
