source	target	weight	same_chr	same_gene	entropy_similarity	age_weight_similarity	genomic_similarity	same_context_score	source_gene	target_gene
cluster_2832	cluster_5307	0.7885904878509266	False	False	0.9834829380794036	0.9955105206620952	0.0	0.0	NPW	ZIC4
cluster_2832	cluster_2727	0.7885299622354702	False	False	0.9837372187630578	0.9940051335965508	0.0	0.0	NPW	MAN2A2
cluster_6871	cluster_5966	0.7883369852610456	False	False	0.9335534719925559	0.8768481897725611	0.0	1.0	HOXA11-AS	PCDHGA1
cluster_3362	cluster_3133	0.7882667952226167	False	False	0.9353052556316207	0.8687891937470874	0.0	1.0	KRT19	CYBA
cluster_6871	cluster_5024	0.7881178480209313	False	False	0.9545474604463005	0.9510799915389062	0.0	0.5	HOXA11-AS	RFPL2
cluster_1851	cluster_916	0.7879363011915075	False	False	0.949843936422948	0.970251616777275	0.0	0.5	GDF11	NUDT13
cluster_950	cluster_643	0.7877878380257715	False	False	0.9149619800367811	0.9537503400124244	0.0	1.0	MYOF	NID1
cluster_618	cluster_5307	0.7871974212349272	False	False	0.9433547546065975	0.9934455382709247	0.0	0.5	TRIM17	ZIC4
cluster_3967	cluster_23	0.7871548881472527	False	False	0.9428944716042131	0.995156544030094	0.0	0.5	IFI30	TTLL10
cluster_6114	cluster_3123	0.7864808075198448	False	False	0.981073550129013	0.9918866662399094	0.0	0.0	RREB1	LOC400553
cluster_126	cluster_5020	0.7863513648241455	False	False	0.9431442835964908	0.9887172032428426	0.0	0.5	PLEKHG5	INPP5J
cluster_6020	cluster_5024	0.7862408689928917	False	False	0.9561002560270269	0.9318380171688284	0.0	0.5	NKX2-5	RFPL2
cluster_3336	cluster_67	0.7859019533435261	False	False	0.9714733413249198	0.8629618765488544	0.0	0.5	NEUROD2	MMEL1
cluster_6400	cluster_2637	0.7858255913629222	False	False	0.9236321722317662	0.9030978627484945	0.0	1.0	PNPLA1	SLC24A5
cluster_2910	cluster_6518	0.7854592595394396	False	False	0.925094442800517	0.8943191447940231	0.0	1.0	GSG1L	PHACTR2
cluster_1607	cluster_1718	0.7851910264619245	False	False	0.9462286377161484	0.9676160796428535	0.0	0.5	JHY	C1R
cluster_883	cluster_6871	0.7851735574547616	False	False	0.9352365863686548	0.8484651754342397	0.0	1.0	CHAT	HOXA11-AS
cluster_618	cluster_2727	0.7851501984937851	False	False	0.9116936291973455	0.9503289301034028	0.0	1.0	TRIM17	MAN2A2
cluster_4064	cluster_5760	0.7845137619826509	False	False	0.9419401316607846	0.9816845093542728	0.0	0.5	GIPR	LINC02116
cluster_4907	cluster_5679	0.7842640357024047	False	False	0.9374327700416594	0.9995515678355069	0.0	0.5	KRTAP13-4	PDLIM3
cluster_7683	cluster_3967	0.7838079457316753	False	False	0.8981691916173631	0.9999864745359288	0.0	1.0	ARID3C	IFI30
cluster_6020	cluster_618	0.7836574372508684	False	False	0.9051225140712134	0.9688520206971977	0.0	1.0	NKX2-5	TRIM17
