sample_id	stage	A_raw	n_age_regions_used	Hm_raw	rna_stage	Hr_raw	P_raw	A	P	Hm	Hr	stage_order
GSM2481615	MII oocyte	0.14385145695520798	44	0.0097618637405862	oocyte	7.449759663543185	0.3800385144532175	0.3701138971005529	0.07901047344004108	0.1031829843907846	1.0	0
GSM2986307	MII oocyte	0.38583848198955367	150	0.0719644335662738	oocyte	7.449759663543185	0.3800385144532175	0.9927197627548612	0.07901047344004108	1.0	1.0	0
GSM2986308	MII oocyte	0.12387364328234941	73	0.0056775440370381	oocyte	7.449759663543185	0.3800385144532175	0.3187131909101892	0.07901047344004108	0.044296552245062036	1.0	0
GSM2986309	MII oocyte	0.1306504194131906	98	0.0083744534853353	oocyte	7.449759663543185	0.3800385144532175	0.3361490867756348	0.07901047344004108	0.08317974130892246	1.0	0
GSM2986310	MII oocyte	0.09720868779741958	83	0.0097237057602662	oocyte	7.449759663543185	0.3800385144532175	0.2501072080482072	0.07901047344004108	0.10263283467626065	1.0	0
GSM2986311	MII oocyte	0.1496070882082294	98	0.0088375723267129	oocyte	7.449759663543185	0.3800385144532175	0.38492250007488915	0.07901047344004108	0.08985684256632322	1.0	0
GSM2986312	MII oocyte	0.13837689377527823	103	0.0092044020694609	oocyte	7.449759663543185	0.3800385144532175	0.35602845120842047	0.07901047344004108	0.09514567799627195	1.0	0
GSM2986313	MII oocyte	0.14889809440759746	100	0.0090668828724851	oocyte	7.449759663543185	0.3800385144532175	0.38309833739954186	0.07901047344004108	0.09316296962640198	1.0	0
GSM2986314	MII oocyte	0.1669802160226511	102	0.0097139945023406	oocyte	7.449759663543185	0.3800385144532175	0.42962163747899473	0.07901047344004108	0.10249282082514398	1.0	0
GSM2986315	MII oocyte	0.38866807780559043	115	0.039763547988109	oocyte	7.449759663543185	0.3800385144532175	1.0	0.07901047344004108	0.5357377969252679	1.0	0
GSM2986316	MII oocyte	0.2048195750507755	95	0.0082591287485949	oocyte	7.449759663543185	0.3800385144532175	0.526978125415345	0.07901047344004108	0.08151702566036846	1.0	0
GSM2986317	MII oocyte	0.20453632124090082	53	0.0060538376509582	oocyte	7.449759663543185	0.3800385144532175	0.5262493446740144	0.07901047344004108	0.049721834782010664	1.0	0
GSM2986318	MII oocyte	0.09123293074609928	46	0.0056361863398787	oocyte	7.449759663543185	0.3800385144532175	0.2347322457280206	0.07901047344004108	0.0437002700232358	1.0	0
GSM2986319	MII oocyte	0.1358293460282802	68	0.0065711648820044	oocyte	7.449759663543185	0.3800385144532175	0.3494738924667265	0.07901047344004108	0.05718049548912244	1.0	0
GSM2986320	MII oocyte	0.08213346068470949	55	0.0065483199292851	oocyte	7.449759663543185	0.3800385144532175	0.21132031513478752	0.07901047344004108	0.056851124172521375	1.0	0
GSM2986321	MII oocyte	0.13118733793913984	61	0.0084987773559052	oocyte	7.449759663543185	0.3800385144532175	0.3375305187907894	0.07901047344004108	0.08497220362817925	1.0	0
GSM2986322	MII oocyte	0.1003168747221907	57	0.0057398903002698	oocyte	7.449759663543185	0.3800385144532175	0.25810422942006733	0.07901047344004108	0.045195440986837934	1.0	0
GSM2986323	MII oocyte	0.19295653922344244	61	0.0066310642910271	oocyte	7.449759663543185	0.3800385144532175	0.4964558455967619	0.07901047344004108	0.0580441062593371	1.0	0
GSM2986324	MII oocyte	0.1480771043465134	70	0.0070850493049971	oocyte	7.449759663543185	0.3800385144532175	0.3809860207263554	0.07901047344004108	0.06458951887654615	1.0	0
GSM2986325	MII oocyte	0.16477253208374265	58	0.0071702832850381	oocyte	7.449759663543185	0.3800385144532175	0.423941510746249	0.07901047344004108	0.06581839549407295	1.0	0
GSM2986326	MII oocyte	0.10001502182814653	64	0.005944931852957	oocyte	7.449759663543185	0.3800385144532175	0.2573275952911509	0.07901047344004108	0.04815166536586473	1.0	0
GSM2481554	zygote/PN	0.08409973371390182	52	0.0037166721384102	zygote	7.392979727889196	0.4146694741359402	0.2163793182829078	0.2039076035675005	0.01602532021964129	0.9018183215118489	1
GSM2481555	zygote/PN	0.19015397531322825	41	0.0059486637189073	zygote	7.392979727889196	0.4146694741359402	0.4892451584571404	0.2039076035675005	0.0482054702310589	0.9018183215118489	1
GSM2481558	zygote/PN	0.24834587204106506	49	0.0097759208890033	zygote	7.392979727889196	0.4146694741359402	0.6389664760821604	0.2039076035675005	0.10338565591909489	0.9018183215118489	1
GSM2481559	zygote/PN	0.025253896000172093	56	0.0051509188812785	zygote	7.392979727889196	0.4146694741359402	0.06497548278920902	0.2039076035675005	0.03670383699460587	0.9018183215118489	1
GSM2481560	zygote/PN	0.2780412701539721	55	0.0110550183521849	zygote	7.392979727889196	0.4146694741359402	0.7153694528343714	0.2039076035675005	0.12182727935713684	0.9018183215118489	1
GSM2481561	zygote/PN	0.033606164189571186	42	0.0030891979222781	zygote	7.392979727889196	0.4146694741359402	0.08646494556308995	0.2039076035675005	0.006978595052814936	0.9018183215118489	1
GSM2481562	zygote/PN	0.07240786042598209	85	0.0062687283003235	zygote	7.392979727889196	0.4146694741359402	0.186297420757565	0.2039076035675005	0.05282006032777467	0.9018183215118489	1
GSM2481563	zygote/PN	0.27771080642360507	62	0.0105783878577645	zygote	7.392979727889196	0.4146694741359402	0.7145192061862987	0.2039076035675005	0.1149553713515302	0.9018183215118489	1
GSM2481564	zygote/PN	0.1245318219537365	89	0.0074549414889205	zygote	7.392979727889196	0.4146694741359402	0.32040661187520164	0.2039076035675005	0.06992250761660891	0.9018183215118489	1
GSM2481565	zygote/PN	0.3289793699230257	51	0.0109636706519258	zygote	7.392979727889196	0.4146694741359402	0.8464275527345451	0.2039076035675005	0.12051025705148764	0.9018183215118489	1
GSM2481566	zygote/PN	0.10316619673664293	81	0.0058610148551101	zygote	7.392979727889196	0.4146694741359402	0.26543521999315334	0.2039076035675005	0.0469417765818669	0.9018183215118489	1
GSM2481567	zygote/PN	0.09786462277058504	30	0.0081755584568823	zygote	7.392979727889196	0.4146694741359402	0.25179485622571857	0.2039076035675005	0.0803121355759666	0.9018183215118489	1
GSM2481571	zygote/PN	0.23595641622002297	74	0.0218240852011009	zygote	7.392979727889196	0.4146694741359402	0.6070897758113467	0.2039076035675005	0.27709228560053806	0.9018183215118489	1
GSM2481572	zygote/PN	0.08966607111984755	60	0.0066982080726551	zygote	7.392979727889196	0.4146694741359402	0.23070088911366168	0.2039076035675005	0.05901216410686789	0.9018183215118489	1
GSM2481573	zygote/PN	0.13839721380404277	74	0.0137498149983748	zygote	7.392979727889196	0.4146694741359402	0.3560807323962126	0.2039076035675005	0.1606800067071846	0.9018183215118489	1
GSM2481574	zygote/PN	0.13582500206760373	50	0.0092270544373292	zygote	7.392979727889196	0.4146694741359402	0.34946271593609657	0.2039076035675005	0.0954722726852866	0.9018183215118489	1
GSM2481575	zygote/PN	0.1202658602609939	56	0.0085673098902577	zygote	7.392979727889196	0.4146694741359402	0.30943076400822966	0.2039076035675005	0.08596028407408975	0.9018183215118489	1
GSM2481576	zygote/PN	0.2370782301175038	42	0.0116667022080649	zygote	7.392979727889196	0.4146694741359402	0.6099760789618771	0.2039076035675005	0.13064634409455703	0.9018183215118489	1
GSM2481577	zygote/PN	0.28192113771797234	80	0.0177208966760128	zygote	7.392979727889196	0.4146694741359402	0.7253519231877532	0.2039076035675005	0.21793380874237056	0.9018183215118489	1
GSM2481578	zygote/PN	0.16463689597924547	63	0.0078567338195507	zygote	7.392979727889196	0.4146694741359402	0.42359253404288044	0.2039076035675005	0.07571542260163643	0.9018183215118489	1
GSM2986327	zygote/PN	0.09909605920040958	86	0.0131321862101733	zygote	7.392979727889196	0.4146694741359402	0.254963206034062	0.2039076035675005	0.15177522981225214	0.9018183215118489	1
GSM2986328	zygote/PN	0.30528113949081137	74	0.0165651772866183	zygote	7.392979727889196	0.4146694741359402	0.7854546254851197	0.2039076035675005	0.20127101142414053	0.9018183215118489	1
GSM2986329	zygote/PN	0.1335426436499315	70	0.0080580878479996	zygote	7.392979727889196	0.4146694741359402	0.3435904600241668	0.2039076035675005	0.07861848142027486	0.9018183215118489	1
GSM2986330	zygote/PN	0.14177367137216262	45	0.0078495700395087	zygote	7.392979727889196	0.4146694741359402	0.364767984478203	0.2039076035675005	0.07561213748245646	0.9018183215118489	1
GSM2986331	zygote/PN	0.14868600174775365	93	0.0118111561600503	zygote	7.392979727889196	0.4146694741359402	0.3825526464309362	0.2039076035675005	0.13272903557298857	0.9018183215118489	1
