module_id	TF	motif_database	motif_id	motif_name	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue
M05	TEAD4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0809.3	TEAD4	-0.05018575716821663	0.9999999999999992	0	6	4	56	12.214599584454348	10	1.0
M05	GATA3	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0037.5	Gata3	-0.05018575716821663	0.9999999999999992	0	6	4	56	10.988642742317468	10	1.0
M02	OTX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0712.3	OTX2	-2.6735149320633393	0.9999999999999998	0	30	28	272	12.480226982473884	10	1.0
M05	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0142.1	Pou5f1::Sox2	0.33769541074567894	1.000000000000008	0	6	3	57	11.375078225628675	10	1.0
M05	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	KLF5	0.33769541074567894	1.000000000000008	0	6	3	57	10.144845952525406	10	1.0
M05	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	TFAP2C	0.33769541074567894	1.000000000000008	0	6	3	57	4.468706881897874	10	1.0
M05	CDX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0465.3	CDX2	0.33769541074567894	1.000000000000008	0	6	3	57	11.137566147599138	10	1.0
M05	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	KLF4	0.33769541074567894	1.000000000000008	0	6	3	57	10.064164841277243	10	1.0
M05	NR3C2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0727.2	NR3C2	0.33769541074567894	1.000000000000008	0	6	3	57	1.0444053202563406	10	1.0
M05	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0524.3	TFAP2C	0.33769541074567894	1.000000000000008	0	6	3	57	10.653919200268154	10	1.0
M05	NANOG	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA2339.1	Nanog	0.33769541074567894	1.000000000000008	0	6	3	57	9.83827042166882	10	1.0
M05	PRDM14	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1998.2	Prdm14	0.33769541074567894	1.000000000000008	0	6	3	57	10.609542221057398	10	1.0
M10	DUX4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0468.1	DUX4	0.7036069972197753	1.0000000000000149	0	3	2	28	16.2624202435264	10	1.0
M10	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	TFAP2C	0.7036069972197753	1.0000000000000149	0	3	2	28	-2.569316252846917	10	1.0
