sample_id	PC1	PC2	PC3	stage	n_regions_covered	s_epi_sample	s_epi_age_sample	age_projection_sample	latent_age_axis
GSM2986328	5.144352447440424	-4.764774165910881	4.066542486500937	zygote/PN	74	0.2203588355676305	0.2513993101610993	0.1382795572896771	5.144352447440424
GSM2986329	-0.5103352998364329	4.787848103542164	1.2594251037726918	zygote/PN	70	0.1167426462052393	0.1127199508733938	0.0413279185382303	-0.5103352998364329
GSM2986330	0.6109235470661496	4.320935194080098	0.5392502118338605	zygote/PN	45	0.1153175835905024	0.0782933162116421	0.034294343614331	0.6109235470661496
GSM2986331	0.4173331553845599	6.005747908904339	-0.39150223517674354	zygote/PN	93	0.1033429615208784	0.0944920560263097	0.0735205296886218	0.4173331553845599
GSM2986332	6.798540642617153	-6.510636321500789	1.413309456258701	zygote/PN	104	0.192242319994708	0.2099668457119947	0.144634419544102	6.798540642617153
GSM2986333	-2.0030466421592936	4.782963251568102	-0.1317769235186355	zygote/PN	118	0.0897064063109237	0.0790924288422962	0.1726240756211685	-2.0030466421592936
GSM2986334	8.24602585490953	-4.991712695720722	12.254809199200173	zygote/PN	94	0.231974331852474	0.2803025998147074	0.1403447470365466	8.24602585490953
GSM2986335	-2.4349121581034536	4.076048335232582	1.4340008658261423	zygote/PN	106	0.0788715902437841	0.0761501535841309	0.1497209881984311	-2.4349121581034536
GSM2986336	4.1440914455022675	-5.572314123954415	4.054948945331856	zygote/PN	84	0.1821577935564688	0.2151551639819849	0.1686115664519762	4.1440914455022675
GSM2481532	-1.1022044353046205	-2.626653561512282	-1.8927956714506384	2-cell	80	0.0666645618996439	0.0654758317179511	0.0278241235090238	-1.1022044353046205
GSM2481533	0.19584335843286552	-0.020136535484051133	0.13056802762339564	2-cell	46	0.1250664214597158	0.1333414179561421	0.1199856975786521	0.19584335843286552
GSM2481534	-0.5279085173706923	-0.6939648413333843	2.4906753918340065	2-cell	94	0.1944640228711142	0.2022497241526689	0.1281531795124098	-0.5279085173706923
GSM2481535	-1.706814696751203	-0.663383947825017	-0.45733773559633556	2-cell	75	0.0951452130080929	0.0951888390557146	0.1295617642280625	-1.706814696751203
GSM2986344	-1.758681882099478	2.055135781644049	0.38831522058503093	2-cell	126	0.167261252983743	0.16241865137426	0.1693334403259783	-1.758681882099478
GSM2986345	-0.13824452262997874	-1.3207760290924488	-0.6458723742423201	2-cell	119	0.189956932818073	0.2039417253940884	0.1427142928178972	-0.13824452262997874
GSM2986346	-3.7906105759838646	-1.6607475559778941	0.6187059628515869	2-cell	132	0.1654212152660768	0.1832140632128611	0.1159183983676692	-3.7906105759838646
GSM2986347	-0.0687541556871982	-0.05725212909469695	-0.20799024374394176	2-cell	105	0.1758015404831879	0.1858063019668941	0.0764730159417452	-0.0687541556871982
GSM2986348	-2.591658715020712	-4.877308504257411	-2.4697791097916717	2-cell	114	0.1144578283598535	0.1282736988928255	0.0808195224086454	-2.591658715020712
GSM2986349	-2.66557792319412	2.0905621436149087	-1.334402896884623	2-cell	118	0.1331313951155643	0.1398471704424341	0.1222414565432802	-2.66557792319412
GSM2986350	-1.1275916499829086	0.07830481694554955	-2.054335390268924	2-cell	125	0.1628640796904208	0.1717266826667298	0.0731818645050777	-1.1275916499829086
GSM2986351	-0.22050166633793553	-1.537906570767894	1.2982666681837118	2-cell	109	0.1812484736899174	0.1877225731088099	0.0717518050960034	-0.22050166633793553
GSM2986352	1.6087353242447981	-3.9775903220537994	-0.5383779792613131	2-cell	101	0.1663182166073707	0.1794262241929929	0.1426895524776335	1.6087353242447981
GSM2986353	0.8875737379533114	1.864867243010249	-0.7801084571414897	2-cell	119	0.221344485848097	0.2228568590151516	0.0557385968225794	0.8875737379533114
GSM2986354	-0.9140553912830964	-1.1586193830660882	-0.2506755875996482	2-cell	136	0.2007665894707428	0.2220433666812128	0.1405692953620392	-0.9140553912830964
GSM2986355	-1.0533096807184466	4.022577257660225	1.1730057334210868	2-cell	84	0.0875831022347424	0.1120218615564318	0.0375582626162797	-1.0533096807184466
GSM2986356	-0.8417158594410596	-2.828773274605375	2.8387767916530864	2-cell	110	0.1285785855265242	0.148838353515822	0.1266384197193047	-0.8417158594410596
GSM2986357	-1.816274963105714	-2.7039469692323364	0.8672058542773907	2-cell	108	0.1640246146715563	0.1606388377797229	0.1007647827395204	-1.816274963105714
GSM2986358	-1.1593832235641421	-0.7379256294191991	1.2628227611270129	2-cell	129	0.1531564158318606	0.1505913496141279	0.1308702326598835	-1.1593832235641421
GSM2986359	-2.581409913777071	-1.6581867203040506	-0.28654843638557775	2-cell	125	0.1590018677613876	0.1588671590638462	0.0951630429269145	-2.581409913777071
GSM2481536	-2.5628647603441763	-0.974332308421205	-0.9083224847239451	4-cell	82	0.117308257483759	0.1657378914309634	0.1057590458428506	-2.5628647603441763
GSM2481537	-1.6251581535812516	-2.3114203582906363	0.09096725497261483	4-cell	89	0.0783546774829327	0.0978055559762563	0.091302616011003	-1.6251581535812516
GSM2481538	-2.331094673225526	-0.949473015827935	-0.923032068129802	4-cell	84	0.0799089389532451	0.0783750044515127	0.0306783233107931	-2.331094673225526
GSM2481539	-3.5776193095009345	0.08874651599142713	-1.016876641359895	4-cell	95	0.0972906959923865	0.1165229414146408	0.0844412048774592	-3.5776193095009345
GSM2481540	-0.5803149022091709	-2.95655093311731	2.4245225348228145	4-cell	98	0.0974260741128956	0.1036796244708767	0.0783089152144865	-0.5803149022091709
GSM2481541	-0.45368418800175153	-0.6816092405658132	-0.5142792653728465	4-cell	94	0.1294766023012492	0.1493740458334387	0.1356752960020544	-0.45368418800175153
GSM2481542	-2.4482133651450013	-2.974931858513295	-0.8123233341531475	4-cell	104	0.1083798767618541	0.1060071612925791	0.0963492412125884	-2.4482133651450013
GSM2481543	-2.4330498291788243	-1.3354421465444575	-1.6624840038062014	4-cell	96	0.1098170028941211	0.111916915262751	0.0462455223497018	-2.4330498291788243
GSM2481544	-2.3114743922266436	-2.437088690218629	-1.480490687130879	4-cell	107	0.1143176735394236	0.1358993561196977	0.1164672304179594	-2.3114743922266436
GSM2481545	-3.454335802620329	-2.171153141248668	-2.627790294836743	4-cell	103	0.0840407510311085	0.0936168445327815	0.0561382645970621	-3.454335802620329
GSM2481546	-2.179646785647362	-3.302500071787669	-0.22690304175478435	4-cell	78	0.043778033569037	0.0318989584715505	0.0423945885300561	-2.179646785647362
GSM2481547	-2.5810502086889353	-2.339503645561095	-1.0374020522657343	4-cell	79	0.0503436426708653	0.0659329158102546	0.0672779986671863	-2.5810502086889353
GSM2481548	-2.652637223347981	-0.47977479839233755	-1.7136253245728323	4-cell	84	0.1028449818370734	0.1158849414382188	0.0271605925149586	-2.652637223347981
GSM2481549	-0.061307930382993044	-3.1389999057371507	-0.2012953970332178	4-cell	66	0.1047571622480447	0.097931817831587	0.0895666665015185	-0.061307930382993044
GSM2481550	0.4741004292491829	-5.114819761958397	1.0514958130532093	4-cell	74	0.0520562957445786	0.0476016849218037	0.0618744201102116	0.4741004292491829
GSM2481551	-0.8061877321848221	-3.6376407729364795	0.77242258708874	4-cell	50	0.0753880628525819	0.0606904490011974	0.0939345586065069	-0.8061877321848221
GSM2481552	0.836240325298148	-0.5792759906090182	0.3577060031108083	4-cell	50	0.1275026613579886	0.1379351446883661	0.0273209648156533	0.836240325298148
GSM2986360	1.7672520989840383	-2.348741782831549	-3.7971018898452518	4-cell	118	0.1685880768132437	0.1974776012601199	0.0662925076438032	1.7672520989840383
GSM2986361	-2.7085983412561214	-0.6120396720361938	-1.753336579988651	4-cell	117	0.1232817638643038	0.1400264429576987	0.0964595748600866	-2.7085983412561214
GSM2986362	-3.329329758341482	-0.23553767650748206	-0.04264867728265557	4-cell	108	0.116661321716408	0.1233423088570099	0.0946928044676464	-3.329329758341482
GSM2986363	-0.7989619440135242	0.28091409497056136	0.39587214366400775	4-cell	76	0.0883696167241978	0.1171292920664463	0.1563525527809976	-0.7989619440135242
GSM2986364	-1.5230431467987402	0.3449547811617745	-1.8106224314559836	4-cell	123	0.1445557007371396	0.147607951530759	0.1461517994794262	-1.5230431467987402
GSM2986365	-2.462141045173795	-2.3619778446741857	-1.4939446633746647	4-cell	125	0.1247074884409375	0.1246769192579795	0.12296180389192	-2.462141045173795
GSM2986366	-1.1728992539582859	-2.254944500680782	1.699000467620805	4-cell	120	0.1526928411997606	0.1743614261349326	0.1511485229752618	-1.1728992539582859
GSM2986367	-1.5423824991926038	0.29325778082242776	1.743407747786612	4-cell	118	0.1745118076983228	0.1638373338798505	0.0771486261407289	-1.5423824991926038
GSM2481618	-0.13160708811539013	0.4954420860774568	-0.15554703958476354	8-cell	41	0.0782225301220694	0.0678836910469594	0.0938561057696025	-0.13160708811539013
GSM2481619	-0.34849801319636553	0.8477220463602779	1.6187603548452572	8-cell	46	0.0666501849962395	0.0883604590280908	0.0680368075924625	-0.34849801319636553
GSM2481620	-0.2983227356015187	0.8985806310658567	-0.5003939941655773	8-cell	38	0.0476433368866917	0.0425942545201476	0.0319048595228517	-0.2983227356015187
GSM2481621	0.10957289703171168	-0.5313819834782606	1.9945125837359328	8-cell	44	0.0795332383093416	0.0820323780465175	0.1022414052590311	0.10957289703171168
GSM2481622	-0.27438881141976323	0.3738756512252611	-0.17731030656389588	8-cell	36	0.0989874240607018	0.1059093611066171	0.0739940736823673	-0.27438881141976323
GSM2481623	-0.7448024177500864	0.5136909367277863	0.23053837585874082	8-cell	50	0.1053064008285178	0.1225001564409844	0.1500644808006704	-0.7448024177500864
GSM2481624	0.37661097591910697	-0.3063358880125939	-1.259688241055441	8-cell	55	0.0841775425113824	0.1059099476902198	0.1070407113910912	0.37661097591910697
GSM2481626	-1.5922803870478979	-1.3356444912581469	-1.0516921821718095	8-cell	46	0.0287233071097282	0.0257872629178786	0.0369101936018642	-1.5922803870478979
GSM2481627	-0.32131029816399265	-0.1316370560880059	0.32382948524329414	8-cell	25	0.1480609745177919	0.1734429637741059	-0.0075758450559322	-0.32131029816399265
GSM2481628	1.2208571310578462	0.22521225750517818	1.9006995630569066	8-cell	103	0.1390852849963069	0.1592005416010322	0.1440297313445745	1.2208571310578462
GSM2481629	1.5041948707064032	-0.5693296309939027	1.161535751834997	8-cell	82	0.1173675357986772	0.1242937580918803	0.1505223369938161	1.5041948707064032
GSM2481630	-1.0229916140879711	0.7309211719676592	0.26014723456048533	8-cell	92	0.1514562752852271	0.1810839087187737	0.1540402159975974	-1.0229916140879711
GSM2481631	1.3549124290121286	-1.5882413332251273	1.3731200494498366	8-cell	101	0.1448849426344371	0.1567185096377374	0.2219266626959416	1.3549124290121286
GSM2481632	-0.8484070275106764	-0.0997426229484687	-0.7259631824743417	8-cell	89	0.1263914091856969	0.1396897905729311	0.1233976096057677	-0.8484070275106764
GSM2481633	0.39347601838186624	-2.005469350525641	-0.8463480670263492	8-cell	100	0.1452950297076136	0.1684196823232567	0.156083427369275	0.39347601838186624
GSM2481634	-0.13646940782333092	0.7561968806786468	0.38257410681047543	8-cell	104	0.1654466525497115	0.1672402855221746	0.1460160786182949	-0.13646940782333092
GSM2481635	-0.20308545058878372	1.5409645082995105	0.9154224952035166	8-cell	76	0.0939882735028025	0.1034148239058327	0.2062428271635401	-0.20308545058878372
GSM2481636	-0.13248706278688266	0.6309562420906314	-0.9576525165131704	8-cell	80	0.1555896206633262	0.1685317445947006	0.0578015739262493	-0.13248706278688266
GSM2481637	0.31089646621363304	-0.7163144348794149	1.5171537910011643	8-cell	79	0.1840443567993546	0.2100787199077052	0.1882355766361798	0.31089646621363304
GSM2481638	1.612337605556651	-0.8628799822425439	1.4258672236251606	8-cell	91	0.1627635903874216	0.1752269018758419	0.1726483512033226	1.612337605556651
GSM2481639	1.4190294774149506	-0.24044646545863207	1.5552054203771555	8-cell	70	0.1477200624479389	0.1555494071610774	0.1389886514334957	1.4190294774149506
GSM2481640	-1.1332326537542523	-1.8500070430374016	-0.36262380175716263	8-cell	92	0.1677647245818178	0.2044496185862865	0.1128940565879668	-1.1332326537542523
GSM2481641	-1.5770345397662853	0.18352318290493802	-0.8559139385081106	8-cell	104	0.1499880702728633	0.1699110906565493	0.1277413878859185	-1.5770345397662853
GSM2481642	0.32104980547310086	-1.9021400248398308	0.529017474884529	8-cell	90	0.1461758099947656	0.1680059843709924	0.1227377183170335	0.32104980547310086
GSM2481643	2.2120437697016473	-0.5927130344589704	3.3476892696086815	8-cell	96	0.1552613013769745	0.1860265331207543	0.142536010444387	2.2120437697016473
GSM2986368	1.219207784858951	-1.5350182117438256	1.7713206775210424	8-cell	88	0.1667721673972662	0.1786115500952577	0.1253189054944897	1.219207784858951
GSM2986369	0.13296662362481815	-1.7955832989949194	-0.2710693553142378	8-cell	103	0.1521928162144593	0.1693453576446329	0.0885595176970127	0.13296662362481815
GSM2986370	-1.0534777188397302	-0.26688047707063367	3.216814461162113	8-cell	123	0.1456162193650386	0.1629427192111101	0.0862801233140327	-1.0534777188397302
GSM2986371	-0.5107935795673576	-0.9881798803788799	1.1469442719403224	8-cell	111	0.179377316629753	0.2091697101339085	0.0986012813418063	-0.5107935795673576
GSM2986372	0.3953348550436283	-2.8196461011286567	0.8972270090156581	8-cell	125	0.1335228780623169	0.1140135566047842	0.0958491427180453	0.3953348550436283
GSM2986373	-1.1072311297447506	0.9377826634106712	-0.2701633451211608	8-cell	85	0.1442783984193067	0.1293835709484943	0.1730296680974737	-1.1072311297447506
GSM2986374	-1.1010193308951757	-0.6706018570087219	0.03350387542144579	8-cell	98	0.1639921788156428	0.1648705320708743	-0.0040635043394994	-1.1010193308951757
GSM2986375	2.854741146087375	0.2429287320761668	-1.5051755100540063	8-cell	88	0.1101767989278997	0.1165005170873328	0.2221583399954764	2.854741146087375
GSM2986376	0.06928778002163198	0.03528684466742582	0.15868931796781666	8-cell	25	0.1209935432879523	0.1544696275538487	-0.1308992436889528	0.06928778002163198
GSM2986377	1.4359749477255765	-0.6647238388316743	-0.1762065278385841	8-cell	42	0.1332024024984911	0.1358568461490121	0.10087493482914	1.4359749477255765
GSM2986378	0.0908828695131748	-0.4001802547988979	0.5927754437499108	8-cell	30	0.0929148749956391	0.0981002938057229	0.3329629292430404	0.0908828695131748
GSM2986379	1.0079812096560536	0.4791710019914834	1.2914452759561592	8-cell	41	0.1817349401932496	0.2214117182023298	0.0325969080995459	1.0079812096560536
GSM2986381	1.8157905952592024	1.8929331800054026	0.45896709228483573	8-cell	22	0.1608466229809426	0.1293031040126826	0.4005862870695125	1.8157905952592024
GSM2986382	2.267820319945453	-0.24438487238685716	2.672843783429743	8-cell	104	0.2155852988240163	0.1952528209949051	0.1103436253827962	2.267820319945453
GSM2986383	0.354003595506792	-1.4986681044013261	0.3449541573637538	8-cell	102	0.1633245459757656	0.162508570621651	0.1361441147821981	0.354003595506792
GSM2986385	1.3742539607619848	-0.8462406676549413	-1.0756010033129355	8-cell	8	1.481551005817712e-05	1.4815510058173184e-05	0.0481543226622267	1.3742539607619848
GSM2481644	-0.2866224131027058	0.9546079308014271	0.06576051834215153	morula	11	0.0578783930359448	0.0637076917697965	-0.1330611943044387	-0.2866224131027058
GSM2481645	-0.526816041744136	-0.2975302990481507	-0.22964510550776082	morula	23	0.1119613097506863	0.0987344505427838	0.0705907334280545	-0.526816041744136
GSM2481646	-0.8367272914139277	0.3519089877679195	-0.15266115159895402	morula	28	0.0544411974535248	0.0467915482034956	0.0701693901104131	-0.8367272914139277
GSM2481647	-1.1156427076615	-0.42089564062732265	-0.2651708859207732	morula	27	0.0208414943659376	0.017247444721803	-0.0168950652511794	-1.1156427076615
GSM2481648	-0.6966669643984456	-1.7844198213878448	0.24958773888335817	morula	29	0.0645407975322893	0.0497528467561192	0.0456630798968324	-0.6966669643984456
GSM2481649	-0.645876121866207	-1.0122608037638314	-0.665379166146783	morula	21	0.0606338014895584	0.0432249023804775	-0.0226290289646384	-0.645876121866207
GSM2481650	0.19182648141776254	-2.3456921873488614	-0.1534676587053319	morula	80	0.1056425862466562	0.1167123081791522	0.0134462418999078	0.19182648141776254
GSM2481651	3.2129758665254218	-3.0478800147271463	0.1241357016308834	morula	92	0.2042713828097689	0.1978520785932315	0.1881253988313039	3.2129758665254218
GSM2481592	-1.8341643189383552	-2.9459730053238853	-2.639479095026038	blastocyst	124	0.1951883689444393	0.2119657319073599	0.1161007185194063	-1.8341643189383552
GSM2481593	-3.965485596338306	-2.235703276707808	-2.950147173921279	blastocyst	139	0.1870593165941253	0.1948011561195825	0.0944063124454983	-3.965485596338306
GSM2481594	-3.8025217815156584	-1.8671354390060617	-0.9025756784279091	blastocyst	140	0.1708529452547762	0.1965017555361253	0.0948347073495417	-3.8025217815156584
GSM2481595	-1.6100608802145127	-3.236474305989265	-0.06036470505482336	blastocyst	134	0.2284019509936493	0.2348094549879069	0.1101003886700029	-1.6100608802145127
GSM2986409	-1.8341643189383552	-2.9459730053238853	-2.639479095026038	blastocyst	124	0.1951883689444393	0.2119657319073599	0.1161007185194063	-1.8341643189383552
GSM2481596	-0.7278891093273789	-1.1816822187272624	-1.2216748242981506	ICM	128	0.2423476856359285	0.2448500563964927	0.1122865391978859	-0.7278891093273789
GSM2481597	-1.7973108327347538	-1.4116604716475887	-0.6620302484663183	ICM	107	0.1808671989668112	0.1810739523009727	0.0623465426408395	-1.7973108327347538
