stage	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed	filename
zygote/PN	cluster_7095	-0.064702969	34.0	271.0	0.12546125461254612	5	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_2355	-0.01669596	18.0	22.0	0.8181818181818182	2	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_23	-0.023801903	16.0	153.0	0.10457516339869281	10	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6410	-0.021018304	12.0	44.0	0.2727272727272727	3	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6655	0.116026458	161.0	163.0	0.9877300613496932	21	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_5002	0.073881417	350.0	429.0	0.8158508158508159	20	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_2832	-0.020554218	50.0	286.0	0.17482517482517482	12	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_5400	-0.013997351	0.0	4.0	0.0	4	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6114	0.03469714	2.0	2.0	1.0	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_6275	-0.032421038	1.0	3.0	0.3333333333333333	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_950	0.033547863	184.0	226.0	0.8141592920353983	14	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_3766	-0.026841848	3.0	3.0	1.0	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_5679	0.024534686	22.0	22.0	1.0	1	GSE49828_RRBS_Zygote1_methylation_calling.bed.txt.gz
zygote/PN	cluster_3123	0.029691182	24.0	24.0	1.0	2	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_3519	0.033654647	31.0	58.0	0.5344827586206896	9	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_3133	-0.018315712	0.0	30.0	0.0	3	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_3762	-0.027459185	0.0	6.0	0.0	1	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6262	-0.037492605	2.0	2.0	1.0	1	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_643	0.045617076	162.0	213.0	0.7605633802816901	10	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_126	-0.021650446	9.0	14.0	0.6428571428571429	5	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6400	0.057841086	71.0	201.0	0.35323383084577115	15	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_5307	-0.024274621	0.0	48.0	0.0	3	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_1257	-0.042734524	3.0	12.0	0.25	3	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6518	0.059909335	39.0	88.0	0.4431818181818182	8	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_3303	-0.028370305	4.0	34.0	0.11764705882352941	4	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_7095	-0.064702969	0.0	60.0	0.0	3	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_2355	-0.01669596	0.0	12.0	0.0	1	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_23	-0.023801903	17.0	116.0	0.14655172413793102	12	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6410	-0.021018304	0.0	6.0	0.0	2	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6655	0.116026458	18.0	34.0	0.5294117647058824	5	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_5002	0.073881417	1159.0	1346.0	0.8610698365527489	24	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_2832	-0.020554218	7.0	185.0	0.03783783783783784	9	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_5400	-0.013997351	0.0	2.0	0.0	2	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6114	0.03469714	1.0	1.0	1.0	1	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_6275	-0.032421038	2.0	16.0	0.125	1	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
zygote/PN	cluster_3766	-0.026841848	0.0	1.0	0.0	1	GSE49828_RRBS_Zygote2_methylation_calling.bed.txt.gz
2-cell	cluster_3123	0.029691182	34.0	40.0	0.85	11	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_3519	0.033654647	32.0	61.0	0.5245901639344263	14	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_3133	-0.018315712	1.0	16.0	0.0625	7	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_3762	-0.027459185	4.0	24.0	0.16666666666666666	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6262	-0.037492605	5.0	5.0	1.0	1	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_643	0.045617076	92.0	102.0	0.9019607843137255	19	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_5760	-0.024623956	1.0	5.0	0.2	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6400	0.057841086	35.0	106.0	0.330188679245283	7	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_5307	-0.024274621	0.0	37.0	0.0	7	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6871	-0.011480476	5.0	5.0	1.0	1	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_1257	-0.042734524	16.0	18.0	0.8888888888888888	3	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_832	0.093944091	3.0	3.0	1.0	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6518	0.059909335	0.0	68.0	0.0	6	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_4532	0.015502877	4.0	4.0	1.0	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_2324	-0.070097421	4.0	16.0	0.25	8	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_3303	-0.028370305	8.0	38.0	0.21052631578947367	8	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_7095	-0.064702969	4.0	29.0	0.13793103448275862	6	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_2355	-0.01669596	1.0	33.0	0.030303030303030304	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_23	-0.023801903	15.0	84.0	0.17857142857142858	11	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6020	-0.038638364	2.0	2.0	1.0	1	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6410	-0.021018304	0.0	16.0	0.0	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6655	0.116026458	34.0	59.0	0.576271186440678	5	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_5002	0.073881417	120.0	276.0	0.43478260869565216	18	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_2832	-0.020554218	19.0	204.0	0.09313725490196079	16	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_5400	-0.013997351	0.0	2.0	0.0	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_6275	-0.032421038	0.0	3.0	0.0	1	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_950	0.033547863	34.0	44.0	0.7727272727272727	4	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_4889	-0.019214397	0.0	2.0	0.0	2	GSE49828_RRBS_2-cell1_methylation_calling.bed.txt.gz
2-cell	cluster_3123	0.029691182	13.0	13.0	1.0	3	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_3519	0.033654647	36.0	64.0	0.5625	13	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_3133	-0.018315712	18.0	90.0	0.2	7	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_3762	-0.027459185	6.0	57.0	0.10526315789473684	2	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_6262	-0.037492605	2.0	2.0	1.0	1	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_643	0.045617076	54.0	152.0	0.35526315789473684	19	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_126	-0.021650446	0.0	6.0	0.0	4	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_5760	-0.024623956	1.0	19.0	0.05263157894736842	2	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_6400	0.057841086	10.0	147.0	0.06802721088435375	7	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_5307	-0.024274621	5.0	155.0	0.03225806451612903	4	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_1257	-0.042734524	3.0	33.0	0.09090909090909091	3	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_832	0.093944091	14.0	14.0	1.0	6	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_6518	0.059909335	3.0	31.0	0.0967741935483871	4	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_4532	0.015502877	6.0	6.0	1.0	2	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_2324	-0.070097421	59.0	142.0	0.4154929577464789	10	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_3303	-0.028370305	0.0	39.0	0.0	9	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
2-cell	cluster_7095	-0.064702969	6.0	175.0	0.03428571428571429	3	GSE49828_RRBS_2-cell2_methylation_calling.bed.txt.gz
