stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_1333	-0.042831806	6.0	8.0	0.75	4
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_23	-0.023801903	82.0	265.0	0.30943396226415093	15
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6020	-0.038638364	2.0	2.0	1.0	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6410	-0.021018304	10.0	56.0	0.17857142857142858	4
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_1742	0.010894564	5.0	6.0	0.8333333333333334	3
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6655	0.116026458	109.0	266.0	0.40977443609022557	22
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3967	-0.027666536	4.0	19.0	0.21052631578947367	6
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5002	0.073881417	316.0	483.0	0.6542443064182195	29
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_2832	-0.020554218	35.0	165.0	0.21212121212121213	21
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5400	-0.013997351	2.0	30.0	0.06666666666666667	10
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_6275	-0.032421038	6.0	18.0	0.3333333333333333	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_7612	0.043674447	24.0	28.0	0.8571428571428571	22
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_950	0.033547863	51.0	57.0	0.8947368421052632	9
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_386	0.028296419	3.0	3.0	1.0	2
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_3766	-0.026841848	3.0	3.0	1.0	1
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5679	0.024534686	7.0	7.0	1.0	6
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_4889	-0.019214397	20.0	36.0	0.5555555555555556	9
sperm	GSE49828_RRBS_Sperm2_methylation_calling.bed.txt.gz	cluster_5678	0.066265623	5.0	5.0	1.0	3
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3123	0.029691182	58.0	58.0	1.0	9
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3519	0.033654647	71.0	162.0	0.4382716049382716	21
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3133	-0.018315712	7.0	200.0	0.035	7
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3336	-0.010225803	0.0	4.0	0.0	2
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3762	-0.027459185	3.0	49.0	0.061224489795918366	3
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_1523	0.066262174	5.0	6.0	0.8333333333333334	6
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6262	-0.037492605	2.0	3.0	0.6666666666666666	2
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_643	0.045617076	92.0	111.0	0.8288288288288288	19
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_126	-0.021650446	38.0	49.0	0.7755102040816326	6
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_5760	-0.024623956	30.0	105.0	0.2857142857142857	9
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_7000	-0.023266685	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3369	-0.012269211	0.0	1.0	0.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_3660	0.042266849	0.0	4.0	0.0	1
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_6400	0.057841086	243.0	291.0	0.8350515463917526	15
sperm	GSE49828_RRBS_Sperm3_methylation_calling.bed.txt.gz	cluster_125	-0.020406298	2.0	2.0	1.0	1
