source	term_id	term_name	p_value_gprofiler	significant_gprofiler	term_size	query_size	intersection_size	precision	recall	representative_genes
GO:BP	GO:0048514	blood vessel morphogenesis	1.0	False	632	34	4	0.11764705882352941	0.006329113924050633	NR2F2,WNT7B,SMOC2,NKX2-5
GO:BP	GO:0048515	spermatid differentiation	1.0	False	245	34	1	0.029411764705882353	0.004081632653061225	CCDC146
GO:BP	GO:0048518	positive regulation of biological process	1.0	False	6150	34	16	0.47058823529411764	0.0026016260162601626	FSHR,ANK2,WNT5B,IRF9,PRR16,NR2F2,ATN1,PLEKHG5,ST18,ARID3C,ALX4,WNT7B,SMOC2,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0048519	negative regulation of biological process	1.0	False	5753	34	11	0.3235294117647059	0.0019120458891013384	PCDH17,DSC1,RASA3,NR2F2,GREM2,ATN1,ST18,DAPL1,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0048522	positive regulation of cellular process	1.0	False	5739	34	16	0.47058823529411764	0.0027879421502003832	FSHR,ANK2,WNT5B,IRF9,PRR16,NR2F2,ATN1,PLEKHG5,ST18,ARID3C,ALX4,WNT7B,SMOC2,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0048523	negative regulation of cellular process	1.0	False	5510	34	11	0.3235294117647059	0.001996370235934664	PCDH17,DSC1,RASA3,NR2F2,GREM2,ATN1,ST18,DAPL1,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0048534	hematopoietic or lymphoid organ development	1.0	False	104	34	1	0.029411764705882353	0.009615384615384616	NKX2-5
GO:BP	GO:0048536	spleen development	1.0	False	41	34	1	0.029411764705882353	0.024390243902439025	NKX2-5
GO:BP	GO:0048545	response to steroid hormone	1.0	False	312	34	1	0.029411764705882353	0.003205128205128205	WNT7B
GO:BP	GO:0048511	rhythmic process	1.0	False	291	34	1	0.029411764705882353	0.003436426116838488	FSHR
GO:BP	GO:0048609	multicellular organismal reproductive process	1.0	False	988	34	4	0.11764705882352941	0.004048582995951417	FSHR,CCDC146,NR2F2,ATN1
GO:BP	GO:0048608	reproductive structure development	1.0	False	302	34	3	0.08823529411764706	0.009933774834437087	FSHR,NR2F2,ATN1
GO:BP	GO:0048589	developmental growth	1.0	False	661	34	3	0.08823529411764706	0.0045385779122541605	ATN1,WNT7B,NKX2-5
GO:BP	GO:0050805	negative regulation of synaptic transmission	1.0	False	53	34	1	0.029411764705882353	0.018867924528301886	PCDH17
GO:BP	GO:0050807	regulation of synapse organization	1.0	False	298	34	1	0.029411764705882353	0.003355704697986577	LRFN2
