sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
8-cell embryo#3 -Cell#5(RPKM)	8-cell	3.3604795483835965	4.477916192061142	1.8866150002407338	5.019522353606115	8.370336379874008	6.64841055112203	5.9504602443039145	3.6408964640917847	2.317178095296946
8-cell embryo#3 -Cell#6(RPKM)	8-cell	3.9952974086208664	4.367471216664683	2.859225028899328	3.970857791149039	8.398808674906507	6.463495806820996	6.131811101173117	3.188334139755502	0.856116008838085
8-cell embryo#3 -Cell#7(RPKM)	8-cell	4.074702921966812	3.409760612322643	2.050398856227105	4.598779810966077	8.679895374122117	6.618776365996056	5.956311350382375	4.1985694332796335	0.9349161959973199
8-cell embryo#3 -Cell#8(RPKM)	8-cell	3.682685309950609	4.002485088544005	2.4582203845254944	5.0646372500789045	8.156384285849198	6.28216206852022	5.426464288895719	3.6724197330752513	3.160865283364695
Average 8-cell embryo(RPKM)	8-cell	3.9275025762765323	3.9870748177388653	3.6559429538676715	4.579308640461743	8.317696095905067	6.266346293826606	5.986582650016374	4.424475305438658	2.1635528842984884
Average Morulae(RPKM)	morula	5.096464305700674	3.955791056060362	3.978615665377278	4.424559165392584	8.744101965374755	4.58300637328637	4.989656775711058	4.233251066350503	2.7699602708860893
Morulae #1 -Cell#1(RPKM)	morula	4.517474938848931	2.6840306952579898	3.2968363663374127	3.864386175912538	7.664793740014598	4.874647553785026	5.335237358146982	4.274135141013923	0.10526051065749295
Morulae #1 -Cell#2(RPKM)	morula	4.696545361079222	3.7695142941348148	3.8770173962293306	4.045206837660553	8.80324348323787	4.645496057459657	4.8021915032900315	3.987761076819317	1.2487549470978292
Morulae #1 -Cell#3(RPKM)	morula	4.4389975309335075	1.6134299337036377	2.255388658163071	3.825789507630216	5.06970890980276	1.172482137234565	1.3302529702362658	0.49713229663398817	0.0
Morulae #1 -Cell#4(RPKM)	morula	3.9253932243663177	0.712949807856125	4.061115198370659	3.9561929891726204	8.012605073898426	5.200864392599258	5.412694609069588	4.185737990651312	2.356504934983476
Morulae #1 -Cell#5(RPKM)	morula	4.774009599080531	3.801024403367498	3.5487837060318514	3.65529681709681	8.884064653723287	4.715270451265051	4.546109964858546	3.542378606234748	2.489313591606207
Morulae #1 -Cell#6(RPKM)	morula	4.983133907256738	3.9539132291883305	2.3708043319711893	4.234787432133765	8.848640682262912	4.859285133595924	4.763813615427469	4.206914030825597	2.273259263612217
Morulae #1 -Cell#7(RPKM)	morula	5.039715017196418	3.4741380060638702	3.308497126373235	4.902307417210627	8.894405042021665	4.7822027808484355	4.5850899201539	4.047619763715865	3.3805183704537547
Morulae #1 -Cell#8(RPKM)	morula	2.628501815675742	1.2722854445080234	3.3842207574550387	3.834083085346312	4.9021588177601725	0.4200252594394941	0.6418538861723948	0.45298462407614076	0.0
Morulae #2 -Cell#1(RPKM)	morula	5.690717498326764	4.370080563655481	3.517112006258511	3.9768927217145484	8.822515112867942	3.686777246022066	5.201409911778969	3.9748663405494553	3.1980198429888236
Morulae #2 -Cell#2(RPKM)	morula	5.961523246723349	4.2967546531493985	4.8161925718918885	4.942270796569599	8.672261221777374	4.304591981401229	4.852553564473995	4.145132729054206	1.81319474994812
Morulae #2 -Cell#3(RPKM)	morula	5.4135148402959485	4.494495575506496	3.952588967174808	4.4027357137635725	9.016248941163944	3.4297200485953567	5.265732189450348	4.804758477680764	3.4395844140668594
Morulae #2 -Cell#4(RPKM)	morula	5.075979740388888	4.3075859148581035	4.286410157965449	4.145370320825145	9.475081731988988	3.9831708865462754	4.929685508485221	4.421163209672263	3.45454855715915
Morulae #2 -Cell#5(RPKM)	morula	5.384660186770053	2.743481692933475	4.3789468971469585	5.151121611729456	8.788126635366499	3.068517943279639	5.186614558785519	3.5328102684640474	3.7350232626281676
