cluster_name	acc_2-cell_mean	acc_2-cell_max	acc_4-cell_mean	acc_4-cell_max	acc_8-cell_mean	acc_8-cell_max	acc_morula_mean	acc_morula_max	n_overlapping_peaks	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape
cluster_543	0.06980410947826086	1.700892309	0.17655435463043478	1.445753234	0.35168304126086947	2.188053731	0.19774904530434778	2.204821917	46	0.12083333333333332	0.1	0.9777777777777776	0.25	0.3333333333333333	16	-0.2616224767233678	0.0903190284088766	M08	0.8111111111111109	False	True
cluster_587	0.08302821297826087	1.700892309	0.1502903481304347	1.445753234	0.3982643173478261	2.327570941	0.19596429402173907	2.204821917	46	0.225	0.0	0.0962962962962963	0.5	0.0	26	0.3273820336421468	-0.06936499188912126	M05	-0.9037037037037036	True	False
cluster_618	0.05497236185106382	1.700892309	0.1623305932127659	1.445753234	0.4005903616595745	2.327570941	0.18568472110638296	2.204821917	47	0.00625	0.03	0.022222222222222227	0.0	0.04444444444444444	95	-0.023843979844190257	0.012457672993492734	M02	0.0666666666666666	False	True
cluster_634	0.05497236185106382	1.700892309	0.1623305932127659	1.445753234	0.4005903616595745	2.327570941	0.18568472110638296	2.204821917	47	0.0	0.04	0.03333333333333333	0.0	0.4	77	-0.05619901222150935	0.019127026406937114	M13	0.43333333333333335	False	True
cluster_643	0.05497236185106382	1.700892309	0.1623305932127659	1.445753234	0.4005903616595745	2.327570941	0.18568472110638296	2.204821917	47	0.11129125965786582	0.1957065736004469	0.1819783508871383	0.875	0.3742703059652212	29	0.632262633850145	0.06180020068831344	M13	-1.1937513431476403	True	False
cluster_652	0.05497236185106382	1.700892309	0.1623305932127659	1.445753234	0.4005903616595745	2.327570941	0.18568472110638296	2.204821917	47	0.09166666666666666	0.047142857142857146	0.015555555555555557	0.0	0.2	151	-0.0472282212143838	0.0014656449645791673	M00	0.2155555555555555	False	True
cluster_832	0.28048762699999996	0.46142753	-0.01083762499999999	0.128797352	0.11582358449999999	0.116728212	-0.0903630925	0.127892323	2	0.6104166666666667	0.4761111111111112	0.7029365079365079	0.6666666666666666	0.461244019138756	30	0.05023845503924307	0.06166929719687478	M01	-0.1691528062580694	False	False
cluster_840	0.28048762699999996	0.46142753	-0.01083762499999999	0.128797352	0.11582358449999999	0.116728212	-0.0903630925	0.127892323	2	0.09166666666666666	0.04	0.04444444444444445	0.0	0.25	67	-0.07001911651094249	0.022510081405926686	M13	0.2944444444444444	False	True
cluster_883	0.28048762699999996	0.46142753	-0.01083762499999999	0.128797352	0.11582358449999999	0.116728212	-0.0903630925	0.127892323	2	0.07363636363636364	0.022857142857142857	0.03106503632819422	0.0	0.0125	141	-0.033418012819064154	0.004079083887331211	M02	0.0435650363281942	False	True
cluster_900	0.28048762699999996	0.46142753	-0.01083762499999999	0.128797352	0.11582358449999999	0.116728212	-0.0903630925	0.127892323	2	0.025	0.04	0.0	0.0	0.0	132	-0.016312102558201508	0.005420603936836628	M02	0.0	False	False
cluster_915	0.38869553966666665	0.605111365	-0.022744095333333325	0.128797352	0.156552237	0.238009542	-0.131902419	0.127892323	3	0.2564511752359922	0.10069003069003067	0.21387219944338448	0.3333333333333333	0.03268817204301076	74	0.11713454542238527	-0.01999353420964911	M07	-0.4201062951802715	True	False
cluster_916	0.38869553966666665	0.605111365	-0.022744095333333325	0.128797352	0.156552237	0.238009542	-0.131902419	0.127892323	3	0.05	0.006666666666666665	0.0	1.0	0.0	46	0.9090601814082284	0.03477969827616953	M02	-2.0	True	False
cluster_950	0.23326146199999997	0.605111365	0.21583882125	0.931587571	0.0960485905	0.238009542	-0.102415333	0.127892323	4	0.4655860805860806	0.7743156633722673	0.7858377425044089	0.11904761904761905	0.2590909090909091	52	-0.5422194754125403	-0.028665678768162717	M03	0.8068334135000799	False	True
cluster_1007	0.07450100922222222	0.605111365	0.18240263055555556	0.931587571	0.2755143461111111	1.034553452	-0.2518541755555556	0.87326331	9	0.07795138888888889	0.013099415204678362	0.06613756613756612	0.0	0.1015873015873016	94	-0.05954623437415254	0.012547690119988693	M00	0.1677248677248676	False	True
cluster_1126	0.019735943666666658	0.605111365	0.07970866099999999	0.931587571	0.4805315256666667	1.960073573	-0.2562984456666667	0.87326331	9	0.13406640747767934	0.001764705882352941	0.10714396284829722	0.0	0.12433862433862433	91	-0.08313350555748049	-0.013533457422441648	M00	0.2314825871869215	False	True
cluster_1257	0.21997945699999996	0.5029344729999999	-0.6285081324999999	-0.507130037	-0.41478521	-0.297514706	-0.1574549965	0.316283313	2	0.02549019607843137	0.0026666666666666666	0.01212121212121212	0.0	0.019047619047619046	109	-0.016762729917967574	-0.009691722645456684	M02	0.031168831168831106	False	True
cluster_1333	-0.27988545600000003	0.898405253	0.07412967733333335	0.68328546	0.3787392783333334	1.002838855	0.7193941816666666	1.171450196	3	0.12050762315364268	0.09668308662322417	0.06961938895752771	0.008064516129032258	0.025541346973572042	62	-0.09628726378701864	-0.02385699435247903	M04	0.0790317036730353	False	True
cluster_1387	-0.5262749218	0.898405253	0.06114958399999998	0.8921178059999999	0.4092252642	2.020560514	0.010608259799999997	1.171450196	10	0.0125	0.0	0.2833333333333333	0.14285714285714285	0.0	32	-0.0011402334070978461	0.05917032505379138	M12	-0.002380952380952261	False	False
cluster_1406	-0.3020169026	0.898405253	-0.08093687320000002	0.8921178059999999	0.36835031366666665	2.020560514	0.21649764406666666	1.499459383	15	0.05	0.04	0.005555555555555557	0.4705882352941176	0.0	120	0.3876356489536874	0.007469694877088544	M07	-0.9356209150326796	True	False
cluster_1523	-0.21054592432258065	1.0864470590000002	-0.07335207945161291	1.94332555	0.36128957593548383	2.075175743	0.11561099712903225	1.7926254430000002	31	0.01	0.05211388199004298	0.04896790610184544	0.42857142857142855	0.06946996801647964	53	0.3269253331601478	0.028657784752583106	M06	-0.7387049830245319	True	False
cluster_1556	-0.1623174658823529	1.0864470590000002	-0.17327206820588237	1.94332555	0.4117367467647058	2.342457436	0.08728189229411766	1.7926254430000002	34	0.0625	0.0	0.03333333333333333	0.0	0.1	48	-0.03488354502458838	-0.03260139379560621	M00	0.1333333333333333	False	True
cluster_1564	-0.1623174658823529	1.0864470590000002	-0.17327206820588237	1.94332555	0.4117367467647058	2.342457436	0.08728189229411766	1.7926254430000002	34	0.0	0.0305982905982906	0.007407407407407406	0.0	0.0	123	-0.011880306418635134	-0.007105062288811339	M02	0.0074074074074074	False	False
cluster_1586	-0.1359526679142857	1.0864470590000002	-0.16322196185714288	1.94332555	0.38756340842857134	2.342457436	0.04816724248571429	1.7926254430000002	35	0.025	0.004705882352941176	0.007407407407407406	0.0	0.14	81	-0.027211066639576443	0.017238617640969938	M00	0.1474074074074073	False	True
cluster_1607	-0.1748220200833333	1.0864470590000002	-0.18631493608333335	1.94332555	0.4271012655555555	2.342457436	0.12359088166666668	1.7926254430000002	36	0.12687500000000002	0.0819047619047619	0.02969498910675382	0.5	0.01818181818181818	98	0.3821304215358719	0.011705633309194585	M06	-0.952123192711428	True	False
cluster_1688									0	0.0	0.02	0.04444444444444445	0.0	0.0	64	-0.040308438791640686	0.02325758337558164	M02	0.0444444444444444	False	False
cluster_1715	-0.5959687416	0.179417561	0.579898398	0.896494875	0.5015522137999999	1.051298717	0.6139499775999999	1.368367221	5	0.03285387488328665	0.09104544297904343	0.026469997001911896	0.0	0.04570760233918129	60	-0.055338216775340315	-0.024207698715579238	M06	0.07217759934109301	False	True
