cluster_name	x_morula	x_blast_observed	x_blast_predicted	c_diag_blast	abs_c_diag_blast	module_id	basin_residual_rank	blast_residual_rank
cluster_5064	0.0	0.0281733746130031	0.06883064650807093	-0.04065727189506783	0.04065727189506783	M07	56	116.0
cluster_5215	1.0	0.25	0.629971555118336	-0.379971555118336	0.379971555118336	M13	65	9.0
cluster_5240	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M06	50	75.0
cluster_5252	0.0	1.0	0.06883064650807093	0.9311693534919291	0.9311693534919291	M15	139	1.0
cluster_5307	0.0	0.06000000000000001	0.06883064650807093	-0.008830646508070916	0.008830646508070916	M02	148	148.0
cluster_5336	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M06	115	75.0
cluster_5400	0.0	0.0158947970268725	0.06883064650807093	-0.05293584948119843	0.05293584948119843	M02	125	102.0
cluster_543	0.25	0.3333333333333333	0.20911587366063722	0.1242174596726961	0.1242174596726961	M08	16	46.0
cluster_5447	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	113	75.0
cluster_5516	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M07	85	75.0
cluster_5580	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	156	75.0
cluster_5599	0.09375	0.029629629629629624	0.12143760669028328	-0.09180797706065366	0.09180797706065366	M06	87	53.0
cluster_5608	0.0	0.09435483870967742	0.06883064650807093	0.025524192201606496	0.025524192201606496	M00	114	135.0
cluster_5656	0.0	0.12	0.06883064650807093	0.05116935349192907	0.05116935349192907	M14	106	104.0
cluster_5659	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M07	110	75.0
cluster_5661	0.7916666666666667	0.5416666666666667	0.5130671991578641	0.0285994675088026	0.0285994675088026	M01	35	132.0
cluster_5678	0.6862745098039216	0.8066666666666666	0.45392734849550775	0.3527393181711589	0.3527393181711589	M10	4	11.0
cluster_5679	0.5	0.2866666666666667	0.34940110081320347	-0.06273443414653679	0.06273443414653679	M01	31	92.0
cluster_5760	0.171875	0.04573158220670307	0.16527674017546023	-0.11954515796875717	0.11954515796875717	M06	92	49.0
cluster_587	0.5	0.0	0.34940110081320347	-0.34940110081320347	0.34940110081320347	M05	26	13.0
cluster_5923	0.013888888888888888	0.11861471861471863	0.07662427023876905	0.04199044837594958	0.04199044837594958	M09	20	114.0
cluster_5928	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M04	63	75.0
cluster_5966	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	135	75.0
cluster_5977	1.0	0.04484848484848485	0.629971555118336	-0.5851230702698512	0.5851230702698512	M06	38	5.0
cluster_6020	0.0	0.029118773946360157	0.06883064650807093	-0.03971187256171077	0.03971187256171077	M06	100	118.0
cluster_6087	1.0	0.6666666666666666	0.629971555118336	0.036695111548330606	0.036695111548330606	M10	22	120.0
cluster_6114	0.2272727272727273	0.15968559837728194	0.19636267119222212	-0.036677072814940176	0.036677072814940176	M01	33	121.0
cluster_6143	0.0	0.2	0.06883064650807093	0.1311693534919291	0.1311693534919291	M08	49	43.0
cluster_6163	0.0	0.016666666666666666	0.06883064650807093	-0.052163979841404265	0.052163979841404265	M08	155	103.0
cluster_6171	0.15833333333333333	0.1323529411764706	0.15767795703802956	-0.02532501586155897	0.02532501586155897	M04	70	136.0
cluster_618	0.0	0.04444444444444444	0.06883064650807093	-0.02438620206362649	0.02438620206362649	M02	95	137.0
cluster_6262	0.0	0.2333333333333333	0.06883064650807093	0.16450268682526237	0.16450268682526237	M10	2	39.0
cluster_6275	0.0	0.025	0.06883064650807093	-0.043830646508070926	0.043830646508070926	M06	140	110.0
cluster_634	0.0	0.4	0.06883064650807093	0.3311693534919291	0.3311693534919291	M13	77	17.0
cluster_6400	0.05	0.1010127103472968	0.09688769193858418	0.0041250184087126135	0.0041250184087126135	M04	117	151.0
cluster_6406	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	69	75.0
cluster_6410	0.017857142857142856	0.06333333333333332	0.07885101987611137	-0.015517686542778047	0.015517686542778047	M06	154	142.0
cluster_643	0.875	0.3742703059652212	0.5598289415420529	-0.18555863557683167	0.18555863557683167	M13	29	34.0
cluster_6442	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M02	93	75.0
cluster_6495	0.0	0.0568452380952381	0.06883064650807093	-0.011985408412832826	0.011985408412832826	M09	23	143.0
cluster_6498	1.0	0.028571428571428567	0.629971555118336	-0.6014001265469074	0.6014001265469074	M12	10	4.0
