cluster_name	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	basin_residual_rank	abs_residual
cluster_6275	0.0	0.0401058201058201	0.009499069467794347	-0.009499069467794347	-0.41662308366666667	-0.8417891609999999	140.0	0.004303317856818155
cluster_883	0.0	0.03106503632819422	0.025291221004174372	-0.025291221004174372	-0.0903630925	-0.20618667699999998	141.0	0.004079083887331211
cluster_7000	0.16666666666666666	0.014387464387464388	0.0070476510084950495	0.1596190156581716	0.9356224585999998	0.7712058274	142.0	0.0038976825557504686
cluster_2832	0.0	0.009098842928345492	0.023560906200468797	-0.023560906200468797	-1.6725532280000002	-2.0957987090000003	143.0	0.003766220183218466
cluster_315	0.0	0.06666666666666668	0.01644141801288763	-0.01644141801288763	0.2731706742258064	-0.13597024235483873	144.0	0.0035426819026432186
cluster_386	0.05	0.0367063492063492	0.024424314538583305	0.025575685461416697	0.22308891954838705	-0.14412104367741935	145.0	0.0025304369417066693
cluster_7612	0.01619644723092999	0.07851167189028184	0.07836091000170664	-0.062164462770776654	0.03081375180000001	0.10528832809999993	146.0	0.002472216708342139
cluster_3336	0.0	0.008333333333333333	0.020510014413015063	-0.020510014413015063	0.18977602995000006	-0.09329289985	147.0	0.002450568520396189
cluster_5307	0.0	0.011111111111111113	0.004964520429214914	-0.004964520429214914	0.17775505247619044	-0.07120944190476196	148.0	0.002172344139453054
cluster_1921	0.0	0.0	0.5433585330373683	-0.5433585330373683	0.17809323477777778	0.13484038894444444	149.0	0.0020292941244891513
cluster_67	0.0	0.0	0.008020141991945359	-0.008020141991945359	-0.0317472865	-2.247281006	150.0	0.0019896580789447228
cluster_652	0.0	0.015555555555555557	0.02830752188496515	-0.02830752188496515	0.18568472110638296	-0.21490564055319156	151.0	0.0014656449645791673
cluster_2910	0.025	0.10579812330119692	0.030438503772657343	-0.005438503772657342	0.128269105	-0.678776942	152.0	0.0014337262853429446
cluster_2637	0.0	0.07381630714964049	0.02031966755769236	-0.02031966755769236	0.682382495	-1.021247132	153.0	0.0010649187275356589
cluster_6410	0.017857142857142856	0.018347298347298348	0.011397159536083303	0.006459983321059553	0.08897375539999999	-0.6155965654	154.0	0.0005424621144622049
cluster_6163	0.0	0.3610440242019189	0.27480319552361776	-0.27480319552361776	-0.41662308366666667	-0.8417891609999999	155.0	0.00018083828924028627
cluster_5580	0.0	0.0	0.0014647581598499462	-0.0014647581598499462	0.6871017704000001	0.9367087018000001	156.0	1.2258168814039169e-05
