sample_id	stage	genome_met_reads	genome_total_reads	genome_cpg_rows	genome_beta	sample_mean_cpg_entropy	sample_global_beta_entropy
GSM2481547	4-cell	1662791.0	9753769.0	6015069	0.1704767664684287	0.0146363436923505	0.4566413820566933
GSM2481548	4-cell	2068315.0	11723566.0	6633794	0.1764237093048309	0.015961927219955	0.4659270349836517
GSM2481549	4-cell	2588910.0	12127181.0	5211168	0.2134799505342585	0.0042594384155114	0.5185309941465084
GSM2481550	4-cell	2111927.0	10978471.0	4942222	0.1923698664413286	0.005663069676146	0.489641106317381
GSM2481551	4-cell	1179847.0	6172463.0	3406578	0.1911468728123603	0.0028350775333853	0.4878816751843645
GSM2481552	4-cell	998523.0	5962088.0	3300974	0.1674787423466409	0.0026051676925851	0.4518658232493703
GSM2481554	zygote/PN	1678187.0	4932134.0	3014979	0.3402557594744992	0.0037166721384102	0.64120497592866
GSM2481555	zygote/PN	864125.0	2639309.0	1892044	0.3274057717379814	0.0059486637189073	0.6323262022602101
GSM2481556	MII oocyte	2767723.0	7862409.0	4146302	0.352019718129647	0.0047553083354326	0.6486879662594058
GSM2481557	MII oocyte	1676636.0	4556925.0	2732986	0.3679314449985462	0.0036733090786659	0.65784557554375
GSM2481558	zygote/PN	2179898.0	6524077.0	3178678	0.334131249523879	0.0097759208890033	0.6370658097150426
GSM2481559	zygote/PN	2010430.0	4677544.0	2917024	0.4298046154135589	0.0051509188812785	0.683259766323812
GSM2481560	zygote/PN	3060383.0	8491168.0	4222114	0.3604195559433049	0.0110550183521849	0.6536592103016707
GSM2481561	zygote/PN	1361023.0	4065001.0	2357279	0.3348149237847665	0.0030891979222781	0.6375361931874868
GSM2481562	zygote/PN	6974305.0	20486512.0	7199128	0.3404339889581984	0.0062687283003235	0.6413229206673354
GSM2481563	zygote/PN	3159829.0	8402779.0	4204756	0.3760457105916983	0.0105783878577645	0.6620950819656306
GSM2481564	zygote/PN	5956407.0	18644360.0	7507642	0.3194750047735615	0.0074549414889205	0.6264730974727968
GSM2481565	zygote/PN	1828004.0	5797421.0	3428361	0.3153133091421168	0.0109636706519258	0.6232861591342207
GSM2481566	zygote/PN	4262264.0	12968730.0	5662813	0.3286570080493618	0.0058610148551101	0.6332234673042227
GSM2481567	zygote/PN	1363460.0	4151511.0	2396659	0.3284249999578467	0.0081755584568823	0.6330576299355042
GSM2481570	MII oocyte	2465965.0	6046637.0	3572231	0.4078242169986391	0.0054237686256449	0.6760568466365392
GSM2481571	zygote/PN	5313220.0	18601728.0	5743640	0.2856304532568157	0.0218240852011009	0.5981927564621283
GSM2481572	zygote/PN	2210732.0	7181295.0	3202292	0.3078458690250157	0.0066982080726551	0.6173662419101489
GSM2481573	zygote/PN	6708791.0	20459580.0	7559835	0.327904629518299	0.0137498149983748	0.6326847859913141
GSM2481574	zygote/PN	1652430.0	5088650.0	2620417	0.3247285625853615	0.0092270544373292	0.6303824702183676
GSM2481575	zygote/PN	4487965.0	14273445.0	4264195	0.3144275961409457	0.0085673098902577	0.6225975643001802
GSM2481576	zygote/PN	1641729.0	5252874.0	2532849	0.3125391928304391	0.0116667022080649	0.6211172728560875
GSM2481577	zygote/PN	7027652.0	19876194.0	5962167	0.3535713124957424	0.0177208966760128	0.6496294337659467
GSM2481578	zygote/PN	2752566.0	8279619.0	3932927	0.3324508048015253	0.0078567338195507	0.6359006929290341
GSM2481581	MII oocyte	3769716.0	10498890.0	5122385	0.359058529044499	0.007727444711476	0.652874581886466
GSM2481586	MII oocyte	1837493.0	5350778.0	2965889	0.343406697119559	0.0062495548350848	0.6432693027856774
GSM2481587	MII oocyte	1981602.0	5633308.0	3238986	0.3517652505419551	0.006491520770695	0.6485325550327987
GSM2481588	MII oocyte	3298331.0	10142597.0	4584255	0.3251959039681849	0.0074047362725163	0.6307241246862878
GSM2481589	MII oocyte	2118418.0	6572546.0	3524844	0.3223131492727475	0.0044630586925992	0.6286007651583081
GSM2481590	MII oocyte	2217531.0	6408860.0	3687037	0.3460102108643347	0.0049908582968719	0.6449417556652393
GSM2481591	MII oocyte	2205166.0	6479828.0	3659542	0.3403124280459296	0.0049429263111256	0.6412424921357065
GSM2481592	blastocyst	7521821.0	36146494.0	18068858	0.2080926852822849	0.0672672028182835	0.5114186323994747
GSM2481593	blastocyst	6003469.0	36040320.0	18999864	0.1665764621401807	0.0627391462679105	0.4504160009845924
GSM2481594	blastocyst	6162116.0	33877725.0	18168023	0.18189285142376	0.0623105099622277	0.4742516031857655
GSM2481595	blastocyst	7303910.0	35219013.0	18303649	0.2073854255938404	0.0669907209837009	0.5104718885604574
GSM2481596	ICM	8809712.0	38370342.0	18688677	0.2295969110726195	0.0755955861091372	0.5387888257151774
GSM2481597	ICM	5370491.0	26263091.0	12028091	0.204488154117122	0.0375287580758112	0.5065617266759954
GSM2481598	ICM	3846676.0	17044238.0	8882653	0.2256877661529955	0.0225576293827623	0.5340130888543432
GSM2481599	ICM	7362677.0	35752929.0	13265517	0.2059321349587889	0.0343846567014572	0.50851694189252
GSM2481600	ICM	7898385.0	44934536.0	16406882	0.1757753768727021	0.0457799262368849	0.4649266574988898
GSM2481601	ICM	4742321.0	6850148.0	3519260	0.6922946774288672	0.0082447459601325	0.6172523234912553
GSM2481602	ICM	5888211.0	29777621.0	16374868	0.1977394701880314	0.0575462140289809	0.4972526496718889
GSM2481603	ICM	5210360.0	28488704.0	13267550	0.1828921385823658	0.0353706456195823	0.4757507564211554
GSM2481604	ICM	3082824.0	14309257.0	7644071	0.2154426326957437	0.0230530001554228	0.5210790339004332
