particle_id	stage	rna_stage	dna_sample_id	rna_sample_name	A	Hm	P	Hr	A_raw	Hm_raw	P_raw	Hr_raw	stage_order
MII_oocyte:0059	MII oocyte	oocyte	GSM2986310	Oocyte #3(RPKM)	0.2501072080482072	0.1026328346762606	0.3606560991269658	0.7099377008908028	0.0972086877974195	0.0097237057602662	0.3806348162504794	7.479714966370953	0
MII_oocyte:0060	MII oocyte	oocyte	GSM2986311	Oocyte #1(RPKM)	0.3849225000748891	0.0898568425663232	0.3163801439601027	0.694639604700115	0.1496070882082294	0.0088375723267129	0.3558315583696919	7.381788202896162	0
MII_oocyte:0061	MII oocyte	oocyte	GSM2986311	Oocyte #2(RPKM)	0.3849225000748891	0.0898568425663232	0.3301224893014873	0.7095020837447127	0.1496070882082294	0.0088375723267129	0.363529979196631	7.476926477091045	0
MII_oocyte:0062	MII oocyte	oocyte	GSM2986311	Oocyte #3(RPKM)	0.3849225000748891	0.0898568425663232	0.3606560991269658	0.7099377008908028	0.1496070882082294	0.0088375723267129	0.3806348162504794	7.479714966370953	0
MII_oocyte:0063	MII oocyte	oocyte	GSM2986312	Oocyte #1(RPKM)	0.3560284512084204	0.0951456779962719	0.3163801439601027	0.694639604700115	0.1383768937752782	0.0092044020694609	0.3558315583696919	7.381788202896162	0
MII_oocyte:0064	MII oocyte	oocyte	GSM2986312	Oocyte #2(RPKM)	0.3560284512084204	0.0951456779962719	0.3301224893014873	0.7095020837447127	0.1383768937752782	0.0092044020694609	0.363529979196631	7.476926477091045	0
MII_oocyte:0065	MII oocyte	oocyte	GSM2986312	Oocyte #3(RPKM)	0.3560284512084204	0.0951456779962719	0.3606560991269658	0.7099377008908028	0.1383768937752782	0.0092044020694609	0.3806348162504794	7.479714966370953	0
MII_oocyte:0066	MII oocyte	oocyte	GSM2986313	Oocyte #1(RPKM)	0.3830983373995418	0.0931629696264019	0.3163801439601027	0.694639604700115	0.1488980944075974	0.0090668828724851	0.3558315583696919	7.381788202896162	0
MII_oocyte:0067	MII oocyte	oocyte	GSM2986313	Oocyte #2(RPKM)	0.3830983373995418	0.0931629696264019	0.3301224893014873	0.7095020837447127	0.1488980944075974	0.0090668828724851	0.363529979196631	7.476926477091045	0
MII_oocyte:0068	MII oocyte	oocyte	GSM2986313	Oocyte #3(RPKM)	0.3830983373995418	0.0931629696264019	0.3606560991269658	0.7099377008908028	0.1488980944075974	0.0090668828724851	0.3806348162504794	7.479714966370953	0
MII_oocyte:0069	MII oocyte	oocyte	GSM2986314	Oocyte #1(RPKM)	0.4296216374789947	0.1024928208251439	0.3163801439601027	0.694639604700115	0.1669802160226511	0.0097139945023406	0.3558315583696919	7.381788202896162	0
MII_oocyte:0070	MII oocyte	oocyte	GSM2986314	Oocyte #2(RPKM)	0.4296216374789947	0.1024928208251439	0.3301224893014873	0.7095020837447127	0.1669802160226511	0.0097139945023406	0.363529979196631	7.476926477091045	0
MII_oocyte:0071	MII oocyte	oocyte	GSM2986314	Oocyte #3(RPKM)	0.4296216374789947	0.1024928208251439	0.3606560991269658	0.7099377008908028	0.1669802160226511	0.0097139945023406	0.3806348162504794	7.479714966370953	0
MII_oocyte:0072	MII oocyte	oocyte	GSM2986315	Oocyte #1(RPKM)	1.0	0.5357377969252679	0.3163801439601027	0.694639604700115	0.3886680778055904	0.039763547988109	0.3558315583696919	7.381788202896162	0
MII_oocyte:0073	MII oocyte	oocyte	GSM2986315	Oocyte #2(RPKM)	1.0	0.5357377969252679	0.3301224893014873	0.7095020837447127	0.3886680778055904	0.039763547988109	0.363529979196631	7.476926477091045	0
MII_oocyte:0074	MII oocyte	oocyte	GSM2986315	Oocyte #3(RPKM)	1.0	0.5357377969252679	0.3606560991269658	0.7099377008908028	0.3886680778055904	0.039763547988109	0.3806348162504794	7.479714966370953	0
MII_oocyte:0075	MII oocyte	oocyte	GSM2986316	Oocyte #1(RPKM)	0.526978125415345	0.0815170256603684	0.3163801439601027	0.694639604700115	0.2048195750507755	0.0082591287485949	0.3558315583696919	7.381788202896162	0
MII_oocyte:0076	MII oocyte	oocyte	GSM2986316	Oocyte #2(RPKM)	0.526978125415345	0.0815170256603684	0.3301224893014873	0.7095020837447127	0.2048195750507755	0.0082591287485949	0.363529979196631	7.476926477091045	0
MII_oocyte:0077	MII oocyte	oocyte	GSM2986316	Oocyte #3(RPKM)	0.526978125415345	0.0815170256603684	0.3606560991269658	0.7099377008908028	0.2048195750507755	0.0082591287485949	0.3806348162504794	7.479714966370953	0
MII_oocyte:0078	MII oocyte	oocyte	GSM2986317	Oocyte #1(RPKM)	0.5262493446740144	0.0497218347820106	0.3163801439601027	0.694639604700115	0.2045363212409008	0.0060538376509582	0.3558315583696919	7.381788202896162	0
MII_oocyte:0079	MII oocyte	oocyte	GSM2986317	Oocyte #2(RPKM)	0.5262493446740144	0.0497218347820106	0.3301224893014873	0.7095020837447127	0.2045363212409008	0.0060538376509582	0.363529979196631	7.476926477091045	0
MII_oocyte:0080	MII oocyte	oocyte	GSM2986317	Oocyte #3(RPKM)	0.5262493446740144	0.0497218347820106	0.3606560991269658	0.7099377008908028	0.2045363212409008	0.0060538376509582	0.3806348162504794	7.479714966370953	0
MII_oocyte:0081	MII oocyte	oocyte	GSM2986318	Oocyte #1(RPKM)	0.2347322457280206	0.0437002700232358	0.3163801439601027	0.694639604700115	0.0912329307460992	0.0056361863398787	0.3558315583696919	7.381788202896162	0
MII_oocyte:0082	MII oocyte	oocyte	GSM2986318	Oocyte #2(RPKM)	0.2347322457280206	0.0437002700232358	0.3301224893014873	0.7095020837447127	0.0912329307460992	0.0056361863398787	0.363529979196631	7.476926477091045	0
MII_oocyte:0083	MII oocyte	oocyte	GSM2986318	Oocyte #3(RPKM)	0.2347322457280206	0.0437002700232358	0.3606560991269658	0.7099377008908028	0.0912329307460992	0.0056361863398787	0.3806348162504794	7.479714966370953	0
