region_type	control_set	ground_zero_stage	morula_rank	morula_value	morula_gap_to_next_non_morula	morula_n_regions_valid	morula_mean_region_total_reads	morula_mean_region_cpg_rows
matched_non_age_window	matched_non_age_0079	blastocyst	4	0.4525234032762338	-0.11575782147392588	7	22.857142857142858	15.0
matched_non_age_window	matched_non_age_0080	blastocyst	2	0.3607594405532977	-0.0032939145778348444	12	127.58333333333333	24.083333333333332
matched_non_age_window	matched_non_age_0081	blastocyst	3	0.40291151254565316	-0.07522160663217703	17	59.0	36.470588235294116
matched_non_age_window	matched_non_age_0082	morula	1	0.31509770423514205	0.0647145979041247	14	28.142857142857142	18.285714285714285
matched_non_age_window	matched_non_age_0083	blastocyst	4	0.45774030166638136	-0.12373490637999318	9	35.44444444444444	26.555555555555557
matched_non_age_window	matched_non_age_0084	blastocyst	3	0.3976113016178524	-0.06348355536206446	10	31.9	22.1
matched_non_age_window	matched_non_age_0085	MII oocyte	3	0.3954499634878533	-0.04952898900663372	14	38.642857142857146	27.071428571428573
matched_non_age_window	matched_non_age_0086	blastocyst	4	0.44282030107125986	-0.0761807131511178	9	21.666666666666668	15.666666666666666
matched_non_age_window	matched_non_age_0087	blastocyst	6	0.5230908071584494	-0.21286074208378408	9	24.555555555555557	18.444444444444443
matched_non_age_window	matched_non_age_0088	morula	1	0.37078692074761915	0.00016713327522160926	14	33.92857142857143	25.428571428571427
matched_non_age_window	matched_non_age_0089	blastocyst	3	0.39893788492803206	-0.07649331200747139	9	12.11111111111111	10.444444444444445
matched_non_age_window	matched_non_age_0090	MII oocyte	9	0.5326554952374555	-0.13330424515064038	8	40.0	28.25
matched_non_age_window	matched_non_age_0091	morula	1	0.269224874340499	0.14311853889216752	14	26.285714285714285	20.642857142857142
matched_non_age_window	matched_non_age_0092	MII oocyte	2	0.41629598832190207	-0.08646568413147204	12	25.333333333333332	14.666666666666666
matched_non_age_window	matched_non_age_0093	MII oocyte	9	0.514081285065664	-0.14776263638182885	10	31.9	18.5
matched_non_age_window	matched_non_age_0094	blastocyst	2	0.3697512639157912	-0.017408015002781774	11	48.45454545454545	25.818181818181817
matched_non_age_window	matched_non_age_0095	blastocyst	2	0.3793698110933134	-0.10429526685695079	10	88.9	31.2
matched_non_age_window	matched_non_age_0096	morula	1	0.3631985994711995	0.003904084615178882	15	47.0	35.8
matched_non_age_window	matched_non_age_0097	MII oocyte	3	0.44143041336833083	-0.08308134274688123	9	121.0	41.44444444444444
matched_non_age_window	matched_non_age_0098	blastocyst	9	0.6309743806740097	-0.25680790699502176	9	12.0	9.666666666666666
matched_non_age_window	matched_non_age_0099	blastocyst	3	0.39253184532507307	-0.009983686858748175	14	19.071428571428573	14.142857142857142
