morula_A_mean	morula_P_mean	morula_reset_score_A_minus_P	morula_A_rank_lowest_is_1	morula_P_rank_highest_is_1	morula_reset_rank_lowest_is_1	bridge_mean_transport_A	bridge_mean_transport_Hm	bridge_mean_transport_P	bridge_mean_transport_Hr	bridge_mean_squared_displacement	iteration
0.23965086532869603	0.7424489301899808	-0.5027980648612848	1	2	1	-0.1931451850683011	-0.10983086934536898	-0.02818841853698042	-0.018738587354421618	0.14370062535315764	12
0.24642842399693063	0.7681565453138779	-0.5217281213169472	1	2	1	-0.21161288589679905	-0.1025979638902285	-0.0032172295480131907	-0.009489374978223004	0.1374767123613323	13
0.24209594116868816	0.7353216554310812	-0.49322571426239303	1	2	1	-0.19863106087041854	-0.10675726183419876	-0.03641036004523565	-0.021206119789882957	0.15391570275975092	14
0.267402242342828	0.7179102918648999	-0.45050804952207185	1	2	1	-0.1800995543980181	-0.08309884949718639	-0.05236416650440709	-0.02313913278334683	0.14694531729674568	15
0.23032753420574803	0.7531686124551816	-0.5228410782494336	1	2	1	-0.20403139328781975	-0.09952024099744583	-0.020658653758589832	-0.01918223420765983	0.14876041752714572	16
0.22511762338029126	0.7241478388342473	-0.499030215453956	1	2	1	-0.20861126432901406	-0.10741485157563942	-0.05372917636993952	-0.029133328116112654	0.1602049047087538	17
0.23067417163177623	0.7319690876467905	-0.5012949160150142	1	2	1	-0.21086569680106232	-0.0951231568987855	-0.039576403559696625	-0.028072151496965476	0.15577289082865517	18
0.23510517876968282	0.740772676015118	-0.5056674972454351	1	2	1	-0.21435227348591812	-0.10990180312478279	-0.028866895512109112	-0.016576254607689345	0.15236630200605228	19
0.22521389167274314	0.7429400463145239	-0.5177261546417808	1	2	1	-0.19985955334888503	-0.1072001798990082	-0.028833333937319943	-0.02849478375268623	0.14775632124279486	20
0.22032668627230373	0.7571599806883011	-0.5368332944159975	1	2	1	-0.22906166706581782	-0.122710391227786	-0.012865462355113062	-0.017468234876912243	0.1562722986858506	21
0.23107213893131104	0.7456663491705505	-0.5145942102392395	1	2	1	-0.1963875019946942	-0.11038629321538486	-0.022943021044007708	-0.016105734845393196	0.1467488540279418	22
0.22708820438738683	0.7478643072107484	-0.5207761028233615	1	2	1	-0.2105414775968249	-0.10418676200791711	-0.030187952289358378	-0.02177564502557785	0.1410109608266683	23
0.2457701675214813	0.7437783440473066	-0.4980081765258253	1	2	1	-0.20266196315791593	-0.0792781376194708	-0.029826136049521574	-0.022909071897628277	0.13836906198411184	24
0.2322605498583731	0.7169261174131152	-0.4846655675547421	1	2	1	-0.21009199968214506	-0.10185726136449483	-0.057224903499758076	-0.02262685625625832	0.15953142727761868	25
0.21769466180339317	0.7233852198717334	-0.5056905580683403	1	2	1	-0.20968446045763325	-0.1092261819373824	-0.048361717129079024	-0.021191442860159136	0.15585194922225962	26
0.22618539053595774	0.7307703399786628	-0.504584949442705	1	2	1	-0.2030844101226033	-0.09833309545713399	-0.038845420197452955	-0.0231218993159719	0.15276045234780325	27
0.24448389267069823	0.7272574802405787	-0.4827735875698804	1	2	1	-0.19805618068974087	-0.11757829237330485	-0.048838541509357056	-0.021020196086057624	0.15072881300177912	28
0.2350856614190589	0.7348500488486525	-0.49976438742959356	1	2	1	-0.1945286662990662	-0.10619392931904728	-0.0380506306466557	-0.020754940961626146	0.15187341088126374	29
0.224273403373478	0.7202965218461432	-0.4960231184726652	1	2	1	-0.20297825574899458	-0.10953699781707282	-0.05367077202699705	-0.024662472275573423	0.15606046366506574	30
0.22994543354386704	0.7232633199436245	-0.49331788639975743	1	2	1	-0.228203480384915	-0.09419560760293658	-0.05099424543728541	-0.021060574131467617	0.16810995011082316	31
0.2240122564261653	0.7267285436540312	-0.5027162872278659	1	2	1	-0.2030222204952672	-0.10049535880028737	-0.043986536475543396	-0.021784009903188	0.15396366109512302	32
0.21798451395530338	0.7295943938322421	-0.5116098798769387	1	2	1	-0.2285303328418664	-0.11634128456388582	-0.039212768476130505	-0.022466431369034923	0.16588425109879715	33
0.24044464139025912	0.7258061815367736	-0.48536154014651445	1	2	1	-0.20386367625341803	-0.09107583836060576	-0.04683203602969308	-0.024946503773683674	0.15319146132878847	34
0.2453933946180885	0.6985816728914555	-0.45318827827336694	1	2	1	-0.18754344288057093	-0.08116566427872411	-0.07348229387873054	-0.024647453446790705	0.1551518135335026	35
