particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr
8-cell:0266	8-cell	0.3199654720486978	0.1180855885854594	0.7947118524982967	0.6227863445181651	morula	-0.17841654894384584	-0.07751049248312733	-0.03439490611523999	-0.004221636242985549
8-cell:0267	8-cell	0.0	0.0132598185103957	0.7396419086937219	0.6245811339000737	morula	0.09316556033591095	0.02216596707043332	-0.03391025401298686	-0.01530093574270086
8-cell:0268	8-cell	0.397414785973966	0.2730980760154839	0.7831642485492523	0.621533700130451	morula	-0.21182462677777775	-0.2009990639375009	-0.03196349707165114	-0.004423227516805905
8-cell:0269	8-cell	0.5815953577996053	0.4548901848146299	0.8303856033831534	0.6451619759076852	morula	-0.15436341691423627	-0.17731161099963488	-0.04376814610197188	-0.02237390607853995
8-cell:0270	8-cell	0.4824291787778921	0.3341656730920812	0.6812568695182165	0.631603351110132	morula	-0.2114556676167036	-0.1942981453858605	-0.06609662594123888	-0.039641242714242186
8-cell:0271	8-cell	0.51359044901543	0.3437143434047256	0.7387540714131886	0.6379403930376567	morula	-0.20726344024036036	-0.17526442191301617	-0.02889003562314707	-0.027408119016836485
8-cell:0272	8-cell	0.5990963211718985	0.2208602325976682	0.773245881587239	0.6257928075401988	morula	-0.2965523328759571	-0.07420412000939372	-0.029096599161598014	-0.009664507889847185
8-cell:0273	8-cell	0.4824291787778921	0.3341656730920812	0.6812568695182165	0.631603351110132	morula	-0.2114556676167036	-0.1942981453858605	-0.06609662594123888	-0.039641242714242186
8-cell:0274	8-cell	0.1379385358756625	0.0464277670994694	0.7387540714131886	0.6379403930376567	morula	-0.026282468053436966	-0.010494243304998187	-0.03136615158292899	-0.027887220799415968
8-cell:0275	8-cell	0.4990287767962434	0.319062271634388	0.7831642485492523	0.621533700130451	morula	-0.22061879431634063	-0.17535168284121466	-0.030972954833371813	-0.00425018432762958
8-cell:0276	8-cell	0.5715681216561038	0.3283024344733004	0.773245881587239	0.6257928075401988	morula	-0.22464835414176298	-0.13030810570605533	-0.028285558591461313	-0.009518489422447152
8-cell:0277	8-cell	0.4636935151552786	0.2103145398830778	0.7072835152390234	0.6312326613996714	morula	-0.25998468504187616	-0.1334901491143895	-0.04706166837172676	-0.030397782682219043
8-cell:0278	8-cell	0.5109674187943082	0.3250427671809312	0.7947118524982967	0.6227863445181651	morula	-0.21814912332507785	-0.16951282595732922	-0.033041431911978725	-0.003995669688003245
8-cell:0279	8-cell	0.4990287767962434	0.319062271634388	0.692581562944778	0.6378546710817934	morula	-0.22176675235666715	-0.17648624684991818	-0.05364583923070465	-0.04095992936051607
8-cell:0280	8-cell	0.3990658118100397	0.225841521532688	0.7072835152390234	0.6312326613996714	morula	-0.22351045020987886	-0.16420809412353163	-0.047449721654379995	-0.030475807964282398
8-cell:0281	8-cell	0.5162640619569578	0.2513916873872341	0.8491137009057914	0.6449523793200949	morula	-0.2599992915583567	-0.1335495225962644	-0.05495560778821185	-0.02152234088370264
8-cell:0282	8-cell	0.3274668635020409	0.2147302890516194	0.7072835152390234	0.6312326613996714	morula	-0.17860823745408258	-0.16804623386016362	-0.04777666275340153	-0.030541448175384844
8-cell:0283	8-cell	0.4688068375092653	0.3814415553507368	0.8319041348127003	0.6626625796665148	morula	-0.18037795631135528	-0.22138424810025872	-0.044674805144551244	-0.03926040667005759
8-cell:0284	8-cell	0.3199654720486978	0.1180855885854594	0.7985497790472389	0.6095261868581832	morula	-0.17841677666189018	-0.07750986139889415	-0.03682586769665852	0.008786159702180107
8-cell:0285	8-cell	0.1379385358756625	0.0464277670994694	0.8303856033831534	0.6451619759076852	morula	-0.02635109357015758	-0.010493954526990604	-0.04566382194536589	-0.022621643201323205
8-cell:0286	8-cell	0.303812368670579	0.0913947953535104	0.7396419086937219	0.6245811339000737	morula	-0.16643654845113637	-0.05243558146303793	-0.0344096076242244	-0.015398900485282141
8-cell:0287	8-cell	0.541242169223282	0.0207701577904501	0.773245881587239	0.6257928075401988	morula	-0.3410305103026575	0.034234776950164914	-0.03054281190252528	-0.009924831313554594
8-cell:0288	8-cell	0.5264216104266164	0.3019260009277414	0.7947118524982967	0.6227863445181651	morula	-0.2340259842598617	-0.15006020063693146	-0.03308325241269494	-0.004002695359987984
8-cell:0289	8-cell	0.6370563764632	0.4557489658498195	0.7831642485492523	0.621533700130451	morula	-0.1803140676157738	-0.15569909587793773	-0.028631389670485174	-0.00384134632176647
8-cell:0290	8-cell	0.5162640619569578	0.2513916873872341	0.8319041348127003	0.6626625796665148	morula	-0.2600550998025893	-0.13360530551173336	-0.0449937148823516	-0.03930063648222304
8-cell:0291	8-cell	0.5815953577996053	0.4548901848146299	0.7947118524982967	0.6227863445181651	morula	-0.15457310052515616	-0.17750416911825945	-0.031453435496258786	-0.0037306884955614628
8-cell:0292	8-cell	0.582936320325133	0.4229847889065473	0.7396419086937219	0.6245811339000737	morula	-0.17131381161111614	-0.1612519623035374	-0.029610800385688862	-0.014468071812374195
8-cell:0293	8-cell	0.6540375558212489	0.0223688073869255	0.7387540714131886	0.6379403930376567	morula	-0.40148013438051666	0.05653407658995506	-0.030815409597363286	-0.027781009098076348
8-cell:0294	8-cell	0.3222648388959786	0.0052832563903218	0.7985497790472389	0.6095261868581832	morula	-0.18303817717119222	0.03258034663913478	-0.036854936505938074	0.00878131734591614
8-cell:0295	8-cell	0.4166776033068222	0.0644808152435372	0.773245881587239	0.6257928075401988	morula	-0.254476261755254	-0.01968643494870219	-0.030655823116232273	-0.009945105280476096
8-cell:0296	8-cell	0.582936320325133	0.4229847889065473	0.6812568695182165	0.631603351110132	morula	-0.1722466628739494	-0.16213215480383936	-0.06176529706287048	-0.0387570651898953
8-cell:0297	8-cell	0.4270127114960005	0.27692414776046	0.7396419086937219	0.6245811339000737	morula	-0.2238205612070457	-0.1929237751475731	-0.033584078498165804	-0.015238882438164514
8-cell:0298	8-cell	0.541242169223282	0.0207701577904501	0.8303856033831534	0.6451619759076852	morula	-0.3409405518834996	0.03433701608314901	-0.04564651542653131	-0.022619817323304092
8-cell:0299	8-cell	0.4902012800184069	0.1878494268745751	0.7985497790472389	0.6095261868581832	morula	-0.2775581926766894	-0.10790501020032284	-0.03641902014603793	0.008853551415763938
8-cell:0300	8-cell	0.4166776033068222	0.0644808152435372	0.8319041348127003	0.6626625796665148	morula	-0.25445363248771913	-0.019639905510705137	-0.04554080513790926	-0.03936933601326853
8-cell:0301	8-cell	0.4902012800184069	0.1878494268745751	0.7387540714131886	0.6379403930376567	morula	-0.2778219182449585	-0.10818211004574223	-0.03079126328944437	-0.027776376335888364
8-cell:0302	8-cell	0.1379385358756625	0.0464277670994694	0.7831642485492523	0.621533700130451	morula	-0.026321280212691298	-0.010494073706802956	-0.03225288465380505	-0.004473500123175378
8-cell:0303	8-cell	0.9987188525905356	0.0051383612397719	0.7985497790472389	0.6095261868581832	morula	-0.5583239480096887	0.21997598879872088	-0.034402035616017845	0.009187394995687881
8-cell:0304	8-cell	0.397414785973966	0.2730980760154839	0.7831642485492523	0.621533700130451	morula	-0.21182462677777775	-0.2009990639375009	-0.03196349707165114	-0.004423227516805905
8-cell:0305	8-cell	0.4887579241421119	0.3411976638349261	0.773245881587239	0.6257928075401988	morula	-0.2065714916128522	-0.19154790569523325	-0.029078281260912164	-0.009661051755098238
8-cell:0306	8-cell	0.3274668635020409	0.2147302890516194	0.692581562944778	0.6378546710817934	morula	-0.17862125464273007	-0.16807594319954736	-0.05649880413108066	-0.041539033141560266
8-cell:0307	8-cell	0.51359044901543	0.3437143434047256	0.773245881587239	0.6257928075401988	morula	-0.20687745038754762	-0.17488757390626308	-0.028769531331134135	-0.00960551339566873
8-cell:0308	8-cell	0.7496846499076497	0.0566210796892917	0.7387540714131886	0.6379403930376567	morula	-0.42685483404083846	0.07391239135595881	-0.029632367984570807	-0.02755181634874826
8-cell:0309	8-cell	0.3222648388959786	0.0052832563903218	0.8491137009057914	0.6449523793200949	morula	-0.18305417233240906	0.03258688033923755	-0.05546127436165382	-0.02157730917811329
8-cell:0310	8-cell	0.4887579241421119	0.3411976638349261	0.7072835152390234	0.6312326613996714	morula	-0.20742165085873854	-0.192385233991825	-0.04502217924097318	-0.029987529927580137
8-cell:0311	8-cell	0.5264216104266164	0.3019260009277414	0.6812568695182165	0.631603351110132	morula	-0.23558334766993738	-0.15159824402916255	-0.06570662009243189	-0.03956153418243069
8-cell:0312	8-cell	0.1195333733959763	0.0656876113940708	0.7396419086937219	0.6245811339000737	morula	-0.009924765510641476	-0.029820247762739796	-0.03424216412886494	-0.015366018805501258
8-cell:0313	8-cell	0.4066401731044553	0.0933849422909647	0.773245881587239	0.6257928075401988	morula	-0.24513977346558383	-0.04735303446258356	-0.03063352061374447	-0.00994107599550631
8-cell:0314	8-cell	0.4636935151552786	0.2103145398830778	0.773245881587239	0.6257928075401988	morula	-0.25960811672118034	-0.13308777126043525	-0.030189568670834555	-0.009861156524917702
8-cell:0315	8-cell	0.4822627599254208	0.2967400712973798	0.7947118524982967	0.6227863445181651	morula	-0.23047999511894007	-0.17592419599494707	-0.033481032260663235	-0.004069049103868849
8-cell:0316	8-cell	0.4887579241421119	0.3411976638349261	0.8319041348127003	0.6626625796665148	morula	-0.20613503640726333	-0.19111900560118386	-0.04474661742721109	-0.039269510590522194
8-cell:0317	8-cell	0.5990963211718985	0.2208602325976682	0.7396419086937219	0.6245811339000737	morula	-0.2969313106168537	-0.0745895056111974	-0.03220503846362466	-0.014971380769144393
8-cell:0318	8-cell	0.397414785973966	0.2730980760154839	0.7985497790472389	0.6095261868581832	morula	-0.21178669816119872	-0.20095608904180978	-0.03650102727963345	0.008840096431538269
8-cell:0319	8-cell	0.4066401731044553	0.0933849422909647	0.6812568695182165	0.631603351110132	morula	-0.24522501445861986	-0.047514420367852105	-0.0692067696919092	-0.0402755582637746
8-cell:0320	8-cell	0.9987188525905356	0.0051383612397719	0.773245881587239	0.6257928075401988	morula	-0.5584966775784818	0.21975409055309658	-0.0276343316055786	-0.009401739611665572
8-cell:0321	8-cell	0.4403634246719825	0.3411417523207073	0.7396419086937219	0.6245811339000737	morula	-0.2011295303598367	-0.22389533450171728	-0.03288507995891421	-0.01510326795618766
8-cell:0322	8-cell	0.2730354214033543	0.0693744712227906	0.7831642485492523	0.621533700130451	morula	-0.14204081874253466	-0.031781297544840256	-0.03233891823703783	-0.0044887943958447085
8-cell:0323	8-cell	0.5715681216561038	0.3283024344733004	0.7387540714131886	0.6379403930376567	morula	-0.22505172524813816	-0.13070387637865524	-0.028224646605497505	-0.02727925585700619
8-cell:0324	8-cell	0.5120748339296367	0.2290001352155846	0.7831642485492523	0.621533700130451	morula	-0.2698070455142222	-0.12426947593897861	-0.03152162747549547	-0.00434613846711196
8-cell:0325	8-cell	0.4403634246719825	0.3411417523207073	0.8303856033831534	0.6451619759076852	morula	-0.20050835952481288	-0.2232651394289819	-0.04513751240477282	-0.022552858185810765
8-cell:0326	8-cell	0.0	0.0227868080400293	0.8491137009057914	0.6449523793200949	morula	0.09308847969238926	0.012644073097913797	-0.0552906796165713	-0.02155783441359116
8-cell:0327	8-cell	0.0	0.0848800606170415	0.7985497790472389	0.6095261868581832	morula	0.09315911104958494	-0.04941582541320242	-0.036548727899583744	0.008833142507332137
8-cell:0328	8-cell	0.4822627599254208	0.2967400712973798	0.7831642485492523	0.621533700130451	morula	-0.23055878837765076	-0.1760031137907777	-0.03130018304422211	-0.004307362050003483
8-cell:0329	8-cell	0.4636935151552786	0.2103145398830778	0.8491137009057914	0.6449523793200949	morula	-0.25938395118801516	-0.13284907458003797	-0.05523339468197119	-0.02155253745770691
8-cell:0330	8-cell	0.4066401731044553	0.0933849422909647	0.7387540714131886	0.6379403930376567	morula	-0.2451625443119559	-0.04739602537227157	-0.031451248474958504	-0.027904160768682962
