region_type	control_set	stage	n_samples	n_regions_valid	mean_region_total_reads	mean_region_cpg_rows	mean_width	mean_n_cpg_target	s_epi	s_matched_weighted
matched_non_age_window	matched_non_age_0057	ICM	19	64	298.953125	100.59375	445.09375	3.21875	0.49117478018335997	0.48927805718867506
matched_non_age_window	matched_non_age_0057	TE	13	69	181.85507246376812	57.95652173913044	430.4347826086956	3.217391304347826	0.4150077685186993	0.39561892400646803
matched_non_age_window	matched_non_age_0058	MII oocyte	36	38	152.02631578947367	71.3157894736842	431.9736842105263	3.736842105263158	0.4120418805634803	0.45632151031112017
matched_non_age_window	matched_non_age_0058	zygote/PN	30	30	183.9	70.23333333333333	365.1666666666667	3.3	0.46577459823095085	0.4503989762956941
matched_non_age_window	matched_non_age_0058	2-cell	20	64	135.890625	57.203125	409.1875	3.515625	0.5353841864004569	0.5459508223070275
matched_non_age_window	matched_non_age_0058	4-cell	25	51	202.5686274509804	68.3921568627451	392.27450980392155	3.4901960784313726	0.49824498663083766	0.5087240309570683
matched_non_age_window	matched_non_age_0058	8-cell	48	35	293.51428571428573	107.62857142857143	387.4	3.5428571428571427	0.5128472134778927	0.5172163812447884
matched_non_age_window	matched_non_age_0058	morula	8	16	24.875	18.3125	345.125	3.4375	0.360622121343831	0.3676991145909739
matched_non_age_window	matched_non_age_0058	blastocyst	5	73	41.082191780821915	21.013698630136986	406.6027397260274	3.547945205479452	0.35315463875068653	0.3177654327285987
matched_non_age_window	matched_non_age_0058	ICM	19	65	129.83076923076922	57.738461538461536	381.4769230769231	3.5384615384615383	0.4924750197581115	0.4817902721745667
matched_non_age_window	matched_non_age_0058	TE	13	62	73.46774193548387	33.0	392.46774193548384	3.5	0.4878953499525345	0.48495882773185495
matched_non_age_window	matched_non_age_0059	MII oocyte	36	32	285.03125	113.625	509.59375	3.34375	0.4466332348083344	0.398497227894044
matched_non_age_window	matched_non_age_0059	zygote/PN	30	30	442.7	98.33333333333333	512.5666666666667	3.4	0.47192581033299846	0.4631079265887018
matched_non_age_window	matched_non_age_0059	2-cell	20	58	194.05172413793105	75.51724137931035	452.9655172413793	3.3793103448275863	0.5148761033528506	0.5212637480635878
matched_non_age_window	matched_non_age_0059	4-cell	25	46	223.04347826086956	85.8695652173913	483.0217391304348	3.5	0.5014255998711782	0.4993579772758702
matched_non_age_window	matched_non_age_0059	8-cell	48	31	496.3225806451613	165.0	528.9032258064516	3.5161290322580645	0.513355405156341	0.5373614336084934
matched_non_age_window	matched_non_age_0059	morula	8	12	61.583333333333336	33.75	481.9166666666667	3.5	0.30397466132792955	0.32266327537531475
matched_non_age_window	matched_non_age_0059	blastocyst	5	63	52.682539682539684	26.88888888888889	451.3015873015873	3.380952380952381	0.41485219562183706	0.4127513025122797
matched_non_age_window	matched_non_age_0059	ICM	19	61	244.0983606557377	75.14754098360656	446.9672131147541	3.442622950819672	0.5054469289582502	0.497233460206097
matched_non_age_window	matched_non_age_0059	TE	13	55	134.94545454545454	48.56363636363636	455.9818181818182	3.5636363636363635	0.49742269832034397	0.48023180955998374
matched_non_age_window	matched_non_age_0060	MII oocyte	36	34	116.08823529411765	60.029411764705884	426.79411764705884	3.176470588235294	0.4380696022095294	0.4329157054092236
matched_non_age_window	matched_non_age_0060	zygote/PN	30	34	120.58823529411765	49.38235294117647	437.5	3.0294117647058822	0.4455981088665565	0.4463488457015248
matched_non_age_window	matched_non_age_0060	2-cell	20	72	86.13888888888889	41.388888888888886	386.7916666666667	3.361111111111111	0.5599232010155565	0.5719052512127343
matched_non_age_window	matched_non_age_0060	4-cell	25	43	110.3953488372093	55.48837209302326	429.48837209302326	3.1627906976744184	0.49492750599527685	0.4888194668459667
matched_non_age_window	matched_non_age_0060	8-cell	48	32	200.25	95.25	429.90625	2.90625	0.48853480998074705	0.48500780284663203
matched_non_age_window	matched_non_age_0060	morula	8	10	16.4	11.3	467.5	3.1	0.4563060161061624	0.45996275876133447
matched_non_age_window	matched_non_age_0060	blastocyst	5	71	33.40845070422535	18.633802816901408	378.40845070422534	3.3380281690140845	0.41553639039576507	0.42790207240199374
matched_non_age_window	matched_non_age_0060	ICM	19	66	84.87878787878788	43.65151515151515	389.1969696969697	3.1818181818181817	0.521259950126412	0.5162216280551011
matched_non_age_window	matched_non_age_0060	TE	13	64	57.734375	30.171875	383.265625	3.296875	0.49765397983817194	0.48953779812437065
matched_non_age_window	matched_non_age_0061	MII oocyte	36	35	230.88571428571427	107.97142857142858	449.4	3.3714285714285714	0.4139447371244664	0.4337257270484906
matched_non_age_window	matched_non_age_0061	zygote/PN	30	30	312.1	112.66666666666667	450.93333333333334	3.2333333333333334	0.5173451755962665	0.5291200846412791
matched_non_age_window	matched_non_age_0061	2-cell	20	61	241.31147540983608	89.11475409836065	443.1639344262295	3.442622950819672	0.5074343165521397	0.5205339134656758
matched_non_age_window	matched_non_age_0061	4-cell	25	40	288.1	120.9	470.4	3.475	0.4815591391448992	0.49595579039267557
matched_non_age_window	matched_non_age_0061	8-cell	48	31	567.1935483870968	199.5483870967742	449.4516129032258	3.5161290322580645	0.497938998149148	0.532144227279131
matched_non_age_window	matched_non_age_0061	morula	8	15	46.13333333333333	31.666666666666668	559.6666666666666	3.8	0.34093734450087226	0.29303496550138014
matched_non_age_window	matched_non_age_0061	blastocyst	5	65	64.01538461538462	32.13846153846154	438.9384615384615	3.3076923076923075	0.4065808988183489	0.4176501444315695
matched_non_age_window	matched_non_age_0061	ICM	19	55	219.5818181818182	91.85454545454546	448.8181818181818	3.381818181818182	0.5191862186643624	0.5254215527506065
matched_non_age_window	matched_non_age_0061	TE	13	54	133.74074074074073	58.407407407407405	393.0	3.240740740740741	0.45318686858035806	0.482566542537888
matched_non_age_window	matched_non_age_0062	MII oocyte	36	33	127.36363636363636	67.3030303030303	452.27272727272725	3.5454545454545454	0.4798258114669048	0.4777505553732967
matched_non_age_window	matched_non_age_0062	zygote/PN	30	35	131.34285714285716	56.8	481.77142857142854	3.657142857142857	0.5007344176992377	0.5008570048930215
matched_non_age_window	matched_non_age_0062	2-cell	20	67	106.6268656716418	49.59701492537314	417.14925373134326	3.388059701492537	0.5396920026924015	0.5410986692862392
matched_non_age_window	matched_non_age_0062	4-cell	25	53	131.69811320754718	60.094339622641506	433.62264150943395	3.30188679245283	0.516933138871662	0.4978310746334516
matched_non_age_window	matched_non_age_0062	8-cell	48	35	242.31428571428572	110.31428571428572	504.6	3.6285714285714286	0.4927366510355484	0.4934604758310937
matched_non_age_window	matched_non_age_0062	morula	8	7	23.571428571428573	17.714285714285715	470.42857142857144	3.7142857142857144	0.5663961114523878	0.5114777849559856
matched_non_age_window	matched_non_age_0062	blastocyst	5	74	33.486486486486484	18.43243243243243	400.0405405405405	3.310810810810811	0.39707466293328836	0.40313521662825746
matched_non_age_window	matched_non_age_0062	ICM	19	60	128.46666666666667	57.86666666666667	418.68333333333334	3.466666666666667	0.5174595997222682	0.501697914290776
matched_non_age_window	matched_non_age_0062	TE	13	65	63.90769230769231	31.876923076923077	409.32307692307694	3.4923076923076923	0.4855261735008862	0.4889671610754139
matched_non_age_window	matched_non_age_0063	MII oocyte	36	34	227.73529411764707	92.73529411764706	446.29411764705884	3.5	0.42004923324971516	0.4151630545649372
matched_non_age_window	matched_non_age_0063	zygote/PN	30	34	231.97058823529412	82.6470588235294	428.0	3.411764705882353	0.4446301749905007	0.46557908474865933
matched_non_age_window	matched_non_age_0063	2-cell	20	63	157.22222222222223	63.23809523809524	379.7142857142857	3.111111111111111	0.5087598258048985	0.527083622946887
matched_non_age_window	matched_non_age_0063	4-cell	25	49	187.91836734693877	79.71428571428571	395.9795918367347	3.204081632653061	0.47070116186437666	0.4780175466991364
matched_non_age_window	matched_non_age_0063	8-cell	48	33	329.6060606060606	141.72727272727272	438.42424242424244	3.484848484848485	0.4390845960988277	0.458450218026481
matched_non_age_window	matched_non_age_0063	morula	8	14	28.857142857142858	20.214285714285715	534.4285714285714	4.285714285714286	0.4579780352309669	0.45411982900751596
matched_non_age_window	matched_non_age_0063	blastocyst	5	64	51.375	24.96875	373.1875	3.078125	0.3499804748312155	0.3766798362664006
matched_non_age_window	matched_non_age_0063	ICM	19	63	163.76190476190476	67.3015873015873	413.14285714285717	3.2063492063492065	0.48057368753375124	0.4927857325311897
matched_non_age_window	matched_non_age_0063	TE	13	55	112.83636363636364	46.49090909090909	398.4909090909091	3.1818181818181817	0.41631476735623657	0.41675905425962245
matched_non_age_window	matched_non_age_0064	MII oocyte	36	38	154.76315789473685	71.02631578947368	487.63157894736844	3.736842105263158	0.4575006914404633	0.4497163653969488
matched_non_age_window	matched_non_age_0064	zygote/PN	30	33	162.6969696969697	62.54545454545455	521.4848484848485	3.606060606060606	0.4922611255431515	0.48246073848995435
matched_non_age_window	matched_non_age_0064	2-cell	20	65	122.70769230769231	53.49230769230769	434.2153846153846	3.5692307692307694	0.5450518011499963	0.5449859709418452
matched_non_age_window	matched_non_age_0064	4-cell	25	53	141.88679245283018	61.867924528301884	450.9811320754717	3.7735849056603774	0.5086100549314424	0.5020644154463251
matched_non_age_window	matched_non_age_0064	8-cell	48	34	289.5882352941176	110.67647058823529	534.4117647058823	3.8529411764705883	0.5197933942747439	0.502873080316921
matched_non_age_window	matched_non_age_0064	morula	8	13	29.0	20.923076923076923	568.0769230769231	3.5384615384615383	0.41050336810758564	0.41377457407824336
matched_non_age_window	matched_non_age_0064	blastocyst	5	70	40.542857142857144	20.2	411.9	3.5714285714285716	0.3916952075450655	0.37852469761189944
matched_non_age_window	matched_non_age_0064	ICM	19	63	126.19047619047619	55.65079365079365	433.14285714285717	3.507936507936508	0.5008637422226448	0.4915741906419302
matched_non_age_window	matched_non_age_0064	TE	13	58	78.58620689655173	35.8448275862069	445.8448275862069	3.7241379310344827	0.49942611936953574	0.4948514499152938
matched_non_age_window	matched_non_age_0065	MII oocyte	36	33	472.6060606060606	167.54545454545453	455.8787878787879	3.515151515151515	0.40349217555637656	0.36707617187763486
matched_non_age_window	matched_non_age_0065	zygote/PN	30	34	544.6764705882352	125.88235294117646	404.47058823529414	3.3823529411764706	0.4719100815304259	0.46178618749430983
matched_non_age_window	matched_non_age_0065	2-cell	20	61	296.75409836065575	99.54098360655738	383.11475409836066	3.1475409836065573	0.4633127185428209	0.4615478146932663
matched_non_age_window	matched_non_age_0065	4-cell	25	46	460.89130434782606	134.54347826086956	375.8695652173913	3.239130434782609	0.4461868899037659	0.46380996734862445
matched_non_age_window	matched_non_age_0065	8-cell	48	32	870.5	245.34375	416.09375	3.46875	0.41917149734250514	0.4153883536537204
matched_non_age_window	matched_non_age_0065	morula	8	15	55.266666666666666	38.13333333333333	543.4666666666667	4.066666666666666	0.38370768821089984	0.3970961560848815
matched_non_age_window	matched_non_age_0065	blastocyst	5	72	84.16666666666667	34.638888888888886	388.0416666666667	3.2083333333333335	0.31149900068004044	0.3273867452913916
matched_non_age_window	matched_non_age_0065	ICM	19	58	324.6896551724138	111.1896551724138	414.7586206896552	3.206896551724138	0.45468328441696026	0.4852874871434113
matched_non_age_window	matched_non_age_0065	TE	13	61	174.70491803278688	64.54098360655738	409.08196721311475	3.278688524590164	0.44918715720123603	0.4738607945918524
matched_non_age_window	matched_non_age_0066	MII oocyte	36	34	117.6470588235294	58.470588235294116	392.55882352941177	3.088235294117647	0.42450793265775344	0.43255816646558426
matched_non_age_window	matched_non_age_0066	zygote/PN	30	34	135.26470588235293	50.088235294117645	389.79411764705884	3.0588235294117645	0.4975489887482316	0.5209520129193475
matched_non_age_window	matched_non_age_0066	2-cell	20	75	100.22666666666667	41.52	358.96	3.1733333333333333	0.5282241065016434	0.5400271556469838
matched_non_age_window	matched_non_age_0066	4-cell	25	55	115.87272727272727	52.18181818181818	361.27272727272725	3.0	0.5293674178686222	0.5190739173027159
matched_non_age_window	matched_non_age_0066	8-cell	48	38	221.47368421052633	92.8157894736842	383.89473684210526	3.026315789473684	0.5211300261288362	0.4929806684488304
