transition_tested	A_drop_rank_largest_is_1	reset_entry_rank_largest_is_1	destination_reset_rank_lowest_is_1	mean_transport_A	mean_transport_P	reset_entry_score	p_min	p_min_definition	iteration
8-cell -> morula	1	1	1	-0.19143313433546946	-0.009842284586936437	0.24347947327335615	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	81
8-cell -> morula	1	1	1	-0.19367417466205775	-0.07605485429443658	0.19367417466205775	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	82
8-cell -> morula	1	1	1	-0.19268418633189885	-0.013341111346794379	0.21503998549219402	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	83
8-cell -> morula	1	1	1	-0.22351041868996147	-0.05235751169124257	0.22351041868996147	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	84
8-cell -> morula	1	1	1	-0.18234120962259331	-0.029904947407542248	0.21616220096388733	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	85
8-cell -> morula	1	1	1	-0.180248075560338	-0.05917234952066389	0.1836273741427204	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	86
8-cell -> morula	1	1	1	-0.20313550834517233	-0.06774348866239117	0.2040893495410799	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	87
8-cell -> morula	1	1	1	-0.18963054587810657	0.004491451751812298	0.22715182046008697	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	88
8-cell -> morula	1	1	1	-0.1680169130154302	-0.05978437891366365	0.17276021471441738	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	89
8-cell -> morula	1	1	1	-0.20477443064254885	-0.03356846341090808	0.2451062551847959	0.6973985140260488	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	90
8-cell -> morula	1	1	1	-0.18256282178611843	-0.02072824987093019	0.19910434434678598	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	91
8-cell -> morula	1	1	1	-0.219113893537607	-0.05523081014363285	0.2295276586631739	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	92
8-cell -> morula	1	1	1	-0.22970362010456696	-0.012287488048584485	0.2673233847127388	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	93
8-cell -> morula	1	1	1	-0.17861170002851068	-0.04358738672996869	0.17861170002851068	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	94
8-cell -> morula	1	1	1	-0.20041846130470742	-0.05431005221315165	0.20041846130470742	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	95
8-cell -> morula	1	1	1	-0.18721647910083322	-0.018961355789906237	0.20051208214545974	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	96
8-cell -> morula	1	1	1	-0.20954586823533894	-0.023479752959983544	0.2340142994613954	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	97
8-cell -> morula	1	1	1	-0.1758687566284543	-0.03248438071262673	0.17915701430158554	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	98
8-cell -> morula	1	1	1	-0.20871622349279403	-0.0329069517014966	0.23641922145044567	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	99
8-cell -> morula	1	1	1	-0.2035439296744668	-0.05671843689197764	0.2139476907893433	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	100
8-cell -> morula	1	1	1	-0.19319690877514759	-0.011430644250875028	0.24657757729893634	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	101
8-cell -> morula	1	1	1	-0.17001816304311573	-0.07246641990349494	0.17001816304311573	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	102
8-cell -> morula	1	1	1	-0.19543092966816167	-0.029430912614367838	0.20011894491409288	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	103
8-cell -> morula	1	1	1	-0.21246563976545016	-0.04038365793095437	0.2338020374770536	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	104
8-cell -> morula	1	1	1	-0.2004564077209426	-0.02863037839322418	0.20282930147592054	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	105
8-cell -> morula	1	1	1	-0.20285052458589853	-0.0652567094542082	0.20285052458589853	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	106
8-cell -> morula	1	1	1	-0.18616115264908156	-0.0224552915896456	0.22845328984045882	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	107
8-cell -> morula	1	1	1	-0.1905619606404336	-0.040535196596331716	0.2012760671528034	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	108
