gene	mural_dex_minus_control_logcpm	mural_abs_effect	mural_p	mural_ctrl_n	mural_dex_n	mural_mean_logcpm	polar_dex_minus_control_logcpm	polar_abs_effect	polar_p	polar_ctrl_n	polar_dex_n	polar_mean_logcpm	max_abs_effect	mean_abs_effect	min_p	mean_logcpm	gene_key	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
CCDC146	-0.11066740301164685	0.11066740301164685	0.31566024855726604	93	224	0.2994341414321924	0.05357809419653892	0.05357809419653892	0.6790433687821728	62	90	0.3418575502820908	0.11066740301164685	0.09163763340661087	0.31566024855726604	0.3206458458571416	CCDC146	1.0	0.062913074	0.0206162283561008	0.0667966379445212	True
CDH24	-0.7418065351440972	0.7418065351440972	0.002250660691395626	93	224	1.0493596396003606	-0.3852253556298204	0.3852253556298204	0.3054739646821358	62	90	2.1244966080219414	0.7418065351440972	0.6229461419726716	0.002250660691395626	1.586928123811151	CDH24	1.0	-0.01669596	0.0077081931753596	-0.0177265856577952	True
CFD	-0.4757849663863555	0.4757849663863555	0.07396335075869098	93	224	1.124846526652728	0.41367025752814435	0.41367025752814435	0.17472103394719377	62	90	1.293022412512443	0.4757849663863555	0.45508006343361845	0.07396335075869098	1.2089344695825854	CFD	1.0	-0.027459185	0.0098486425775761	-0.029154214252774	True
CHAT	-0.2717595992298268	0.2717595992298268	0.04049226334677447	93	224	0.18532419928807675	-0.06846957833664827	0.06846957833664827	0.21953224811315758	62	90	0.03994380961509266	0.2717595992298268	0.20399625893210063	0.04049226334677447	0.11263400445158471	CHAT	1.0	-0.033963623	0.0092486634453766	-0.0360601649955177	True
CIT	0.024025103636778677	0.024025103636778677	0.937123438354181	93	224	2.7384681612707564	-0.16833305955293376	0.16833305955293376	0.6416788442811575	62	90	2.086880436317655	0.16833305955293376	0.12023040758088206	0.6416788442811575	2.412674298794206	CIT	1.0	-0.025163308	0.0	-0.0267166149592766	True
COL13A1	-0.13816929918563725	0.13816929918563725	0.22065746752549847	93	224	0.24184639759726126	-0.21330340540341255	0.21330340540341255	0.10756832906866343	62	90	0.17292005118171092	0.21330340540341255	0.18825870333082076	0.10756832906866343	0.2073832243894861	COL13A1	1.0	-0.0224770329999999	0.0	-0.0238645187702647	True
COMP	-0.10225955935219755	0.10225955935219755	0.4270647535828018	93	224	0.1980912926883279	-0.0735262193209481	0.0735262193209481	0.2134707268384613	62	90	0.06647200730581482	0.10225955935219755	0.09268177934178107	0.2134707268384613	0.13228164999707137	COMP	1.0	-0.036936656	0.0070718073734467	-0.039216720481872	True
CRYBA2	0.5952649352542037	0.5952649352542037	0.022072276150040735	93	224	1.4475562847130676	1.0424139033155628	1.0424139033155628	0.0006602308346441029	62	90	1.2833064392020286	1.0424139033155628	0.8933642472951098	0.0006602308346441029	1.365431361957548	CRYBA2	1.0	-0.042572963	0.0079204512580017	-0.0452009513274856	True
CSGALNACT1	-0.4199169543588721	0.4199169543588721	0.06141452631507265	93	224	1.1834382407879778	0.7237306105770112	0.7237306105770112	0.014345214959585437	62	90	1.8696351359612131	0.7237306105770112	0.6224593918376314	0.014345214959585437	1.5265366883745954	CSGALNACT1	1.0	0.051781861	0.0	0.0549783058019152	True
CTXN3	0.013346430132445696	0.013346430132445696	0.32216375636855477	93	224	0.011767821424788551	-0.07293570459045023	0.07293570459045023	0.41910002415624614	62	90	0.045552957263655734	0.07293570459045023	0.05307261310444872	0.32216375636855477	0.028660389344222142	CTXN3	1.0	0.052801687	0.0310995489056075	0.0560610846864506	True
