sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
FC(epiblast/hESC passage#0)	blastocyst	-1.820294840466774	-0.3564627143454419	-0.79263524091331	-0.9033702560923814	-1.9154527755477353	-0.9008480628258438	3.0399198937310206	-0.5094759587753831	0.43908067830136877
FC[Trophectoderm/(epiblast+Primitive endoderm)]	blastocyst	-2.026198679902261	-1.0211160011807732	-0.9176187926284508	-1.2177104323562857	-2.9187726920068853	-0.16840252698153843	-0.8841802834682088	-0.8579580339737816	-0.7494101825305279
Late blastocyst #1 -Cell#1(RPKM)	blastocyst	1.2662376089934706	-0.9191602688940114	-0.4380017550850319	-0.558381005837635	-0.11610275073168189	-0.9008480628258438	-0.8911738317844432	0.2912258429907445	-0.7607128186950439
Late blastocyst #1 -Cell#10(RPKM)	blastocyst	0.9851215169979838	-0.9769552460132922	-0.9311396631130351	0.7737067253868855	-0.12930200698834685	-0.9008480628258438	-0.8911738317844432	0.29992530935099354	-0.7607128186950439
Late blastocyst #1 -Cell#11(RPKM)	blastocyst	1.0921992690051048	-1.0267811295219516	-0.9311396631130351	0.8161464988401886	-0.08646417604383438	-0.9008480628258438	-0.8911738317844432	0.17089868448605663	-0.7607128186950439
Late blastocyst #1 -Cell#12(RPKM)	blastocyst	0.565802237528441	0.06143054612273344	-0.9311396631130351	0.31718116190764534	0.13948876619994158	-0.9008480628258438	-0.8911738317844432	1.0205102197606108	0.2552015583921742
Late blastocyst #1 -Cell#2(RPKM)	blastocyst	0.9255447375955047	-0.9472518779368196	-0.8229377184413318	0.3435976486989359	0.06114617703745297	-0.9008480628258438	-0.8911738317844432	0.713782463904167	0.9284177413840301
Late blastocyst #1 -Cell#3(RPKM)	blastocyst	0.8309509730548991	0.29070349608039875	0.045285558315292435	0.7113762357543146	0.1915421647851297	-0.8633885547002909	-0.5724382774497357	0.936370135975814	-0.7607128186950439
Late blastocyst #1 -Cell#4(RPKM)	blastocyst	0.7180288479794644	-0.8901226003393206	-0.9311396631130351	0.2926086691576565	0.15489229466851395	-0.9008480628258438	-0.8911738317844432	0.574117688552635	-0.7607128186950439
Late blastocyst #1 -Cell#5(RPKM)	blastocyst	0.9950141310039867	-0.8241164301313632	-0.9311396631130351	0.2724925527449635	0.12375426365593849	-0.9008480628258438	-0.8911738317844432	0.6849698642843239	-0.7607128186950439
Late blastocyst #1 -Cell#6(RPKM)	blastocyst	0.8992280690004781	-0.962119092377015	-0.720490793221132	0.7676148021120198	-0.09449645302263655	-0.9008480628258438	-0.8911738317844432	0.4647412720064157	-0.7607128186950439
Late blastocyst #1 -Cell#7(RPKM)	blastocyst	1.3494862803540293	-0.9293559531321197	-0.5518716035262624	1.125046498118307	0.046115995617287076	-0.9008480628258438	-0.8911738317844432	0.8383558823076891	-0.7607128186950439
Late blastocyst #1 -Cell#8(RPKM)	blastocyst	0.8522432968093139	-0.894917440771025	-0.9311396631130351	0.14951064162798192	0.08754950442976721	-0.9008480628258438	-0.8911738317844432	0.5356161289922577	-0.7607128186950439
Late blastocyst #1 -Cell#9(RPKM)	blastocyst	1.449614331811557	-1.0267811295219516	-0.9311396631130351	0.6161778430085455	-0.09673450169108899	-0.9008480628258438	-0.8385972221423308	0.5792733841371485	-0.7607128186950439
Late blastocyst #2 -Cell#1(RPKM)	blastocyst	1.0897151163150913	1.0133174255516642	0.8214833132369384	0.7829644591374052	0.04330383258984948	-0.9008480628258438	0.08986447750257996	0.5896094548843713	2.075757447933536
Late blastocyst #2 -Cell#10(RPKM)	blastocyst	0.6516022929406551	-0.06092592284624256	-0.9311396631130351	-0.9152404981835839	0.34860926379511925	-0.9008480628258438	-0.8911738317844432	0.6936448179711846	-0.7607128186950439
Late blastocyst #2 -Cell#2(RPKM)	blastocyst	1.8368020413788393	1.9197990730411547	1.5086622567836188	1.3145009994295251	-0.24235336309455696	-0.9008480628258438	0.7438733773100703	0.6034990787269151	3.163037453082115
Late blastocyst #2 -Cell#3(RPKM)	blastocyst	1.6820441685582763	2.243081108829144	1.507642881390208	1.3946330150694388	-0.750462136641082	-0.9008480628258438	0.8325453319751418	1.0097648483306496	2.197094249545093
Late blastocyst #2 -Cell#4(RPKM)	blastocyst	0.2565870198690308	-0.6542983815559101	-0.9311396631130351	-0.12088070668113853	0.3398968589850211	-0.9008480628258438	-0.15504722685798022	-0.07655031224362818	0.911304101012935
Late blastocyst #2 -Cell#5(RPKM)	blastocyst	0.5487119366128007	-1.0267811295219516	-0.9311396631130351	-1.2741186134748477	0.11257504933947066	-0.9008480628258438	-0.8911738317844432	0.2811474639769433	-0.675741032889389
Late blastocyst #2 -Cell#6(RPKM)	blastocyst	0.6802138395259584	-0.8965256379234496	-0.9311396631130351	-1.4013497329029219	0.231459732615333	-0.9008480628258438	-0.8911738317844432	1.1117262155999819	1.16107489785011
Late blastocyst #2 -Cell#7(RPKM)	blastocyst	0.6430828161978497	-0.7808121448808413	-0.8701049309182274	-0.7961492285271352	0.22851161327606057	-0.9008480628258438	-0.8911738317844432	1.014339502547915	-0.5813875594897717
Late blastocyst #2 -Cell#8(RPKM)	blastocyst	1.2761561669590291	-0.7393629038285977	-0.9311396631130351	1.4194365609665622	-0.48161067216428444	-0.9008480628258438	-0.8035351060926588	-0.8999737578668205	-0.6664306265796033
