experiment_accession	run_accession	sample_accession	study_accession	library_strategy	library_source	library_selection	experiment_title
ERX5142442	ERR5354407	SAMEA8136023	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142447	ERR5354412	SAMEA8136028	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142449	ERR5354414	SAMEA8136030	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142452	ERR5354417	SAMEA8136033	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142453	ERR5354418	SAMEA8136034	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142456	ERR5354421	SAMEA8136037	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142458	ERR5354423	SAMEA8136039	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142459	ERR5354424	SAMEA8136040	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142464	ERR5354429	SAMEA8136045	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142466	ERR5354431	SAMEA8136047	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142470	ERR5354435	SAMEA8136051	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142477	ERR5354442	SAMEA8136058	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142478	ERR5354443	SAMEA8136059	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142483	ERR5354448	SAMEA8136064	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142487	ERR5354452	SAMEA8136068	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142492	ERR5354457	SAMEA8136073	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142493	ERR5354458	SAMEA8136074	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142494	ERR5354459	SAMEA8136075	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142497	ERR5354462	SAMEA8136078	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142498	ERR5354463	SAMEA8136079	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142499	ERR5354464	SAMEA8136080	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142503	ERR5354468	SAMEA8136084	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142504	ERR5354469	SAMEA8136085	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
ERX5142505	ERR5354470	SAMEA8136086	PRJEB43299	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM	Illumina HiSeq 2000 sequencing: Single Cell Multi-Omics of Human Preimplantation Embryos Demonstrates Susceptibility to Excess Glucocorticoid Exposure(BSseq part)
