sample	run	condition	lineage	individual	sex	read_count	total_fastq_bytes	fastq_1	fastq_2
C9_18	ERR5354402	control	mural	C9	male	6971588	460051861	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354402/ERR5354402_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354402/ERR5354402_2.fastq.gz
D10_38	ERR5354448	dex	mural	D10	female	6772478	427561465	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354448/ERR5354448_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354448/ERR5354448_2.fastq.gz
C9_9	ERR5354416	control		C9	male	7164000	456835852	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5354416/ERR5354416_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5354416/ERR5354416_2.fastq.gz
D12_10	ERR5354513	dex	polar	D12	male	6624332	425507041	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354513/ERR5354513_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354513/ERR5354513_2.fastq.gz
C3_23	ERR5354288	control		C3	female	9072048	450071836	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354288/ERR5354288_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354288/ERR5354288_2.fastq.gz
D12_15	ERR5354518	dex	mural	D12	male	6689208	423860200	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354518/ERR5354518_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354518/ERR5354518_2.fastq.gz
C3_19	ERR5354283	control		C3	female	8969316	442088144	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354283/ERR5354283_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354283/ERR5354283_2.fastq.gz
D10_43	ERR5354454	dex		D10	female	6783896	415739176	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354454/ERR5354454_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354454/ERR5354454_2.fastq.gz
C4_12	ERR5354308	control	mural	C4	male	6890314	437743788	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354308/ERR5354308_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354308/ERR5354308_2.fastq.gz
D11_11	ERR5354482	dex		D11	not available	6398950	407589287	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354482/ERR5354482_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354482/ERR5354482_2.fastq.gz
