sample_id,stage,z1,z2
GSM2481628,8-cell,-1.4320463513114852,1.7295011312873154
GSM2481629,8-cell,-2.332550429018834,1.2823010942017128
GSM2481630,8-cell,-0.9559036328868484,-0.5165003628039744
GSM2481631,8-cell,-3.054545823493064,1.8018562283664843
GSM2481632,8-cell,-1.599953275822202,-1.3217744912491634
GSM2481633,8-cell,-3.7536930777535695,-0.11690679794329145
GSM2481634,8-cell,-1.2706510863314882,-0.5468867186189836
GSM2481635,8-cell,-0.4657277427433297,-0.4685909750837641
GSM2481636,8-cell,-0.9739534853946628,-0.3499218142301759
GSM2481637,8-cell,-2.4291038706640684,0.40704673709935696
GSM2481638,8-cell,-2.7616213494800177,0.8776046516265076
GSM2481639,8-cell,-2.2258968751411263,0.9044329897830978
GSM2481640,8-cell,-3.2028635413048865,-1.0909510197086392
GSM2481641,8-cell,-1.4486782290862914,-1.3312714497881342
GSM2481642,8-cell,-2.6964457874593695,0.457831551918009
GSM2481643,8-cell,-2.1315651622530187,2.2172550648266123
GSM2481644,morula,-2.680950659274054,-0.568943673981126
GSM2481645,morula,-3.167291044093349,-0.3941947190577462
GSM2481646,morula,-2.373173486317973,-0.7724937153739239
GSM2481647,morula,-3.045239908370559,-1.0343367746036178
GSM2481648,morula,-3.9207410376243614,0.002235965118804009
GSM2481649,morula,-3.7143405911435567,-0.34729315287214463
GSM2481650,morula,-3.1676476384114327,0.7156030174389237
GSM2481651,morula,-3.3250937628744097,2.15333928227609
GSM2986307,MII oocyte,5.543863979361946,27.869468112076348
GSM2986308,MII oocyte,7.299248645989004,-1.7258974144526325
GSM2986309,MII oocyte,6.298860577062451,-2.2760826811134853
GSM2986310,MII oocyte,7.182647086229066,-2.3380547291402416
GSM2986311,MII oocyte,6.343235127853491,-2.2683106455276185
GSM2986312,MII oocyte,7.050660288174615,-2.368856310431464
GSM2986313,MII oocyte,6.922982116478482,-1.8506219630062375
GSM2986314,MII oocyte,6.2931224309288725,-2.572833598024077
GSM2986315,MII oocyte,6.717423900251191,13.463693279330895
GSM2986316,MII oocyte,6.6804135764564725,-1.6319058690749022
GSM2986317,MII oocyte,6.871997579025841,-1.2224987049474851
GSM2986318,MII oocyte,7.687655093782448,-1.7389028244037803
GSM2986319,MII oocyte,7.756997602701919,-1.091812916476124
GSM2986320,MII oocyte,7.70955415245356,-1.8052534523777315
GSM2986321,MII oocyte,7.300972682829856,-0.9924648492969133
GSM2986322,MII oocyte,6.4230307993301405,-1.576968164623129
GSM2986323,MII oocyte,8.762901976181443,-0.5150113548137347
GSM2986324,MII oocyte,8.722521434550499,-0.4607218631437109
GSM2986325,MII oocyte,7.68678168196059,-2.300596931719482
GSM2986326,MII oocyte,7.005571524963868,-2.839619960604014
GSM2986327,zygote/PN,1.810724111611644,-0.2773198071169641
GSM2986328,zygote/PN,-1.4737657977698169,7.41020754955873
GSM2986329,zygote/PN,4.120705345217916,0.7768759424752391
GSM2986330,zygote/PN,3.4075969466953713,2.089998246572532
GSM2986331,zygote/PN,4.335313358630433,1.2933422118471598
GSM2986332,zygote/PN,-2.211235885915623,8.364214064216695
GSM2986333,zygote/PN,2.9985806691062846,0.05071353445295821
GSM2986334,zygote/PN,-1.0507192560645071,9.857060916559924
GSM2986335,zygote/PN,2.007912425313259,0.031893046614177384
GSM2986336,zygote/PN,-1.7819916727008978,6.853694199095926
GSM2986344,2-cell,-0.3897612645317451,-0.8983091548174985
GSM2986345,2-cell,-1.9998483877766,0.4840128613409865
GSM2986346,2-cell,-2.9299527426987284,-2.2470952383113425
GSM2986347,2-cell,-2.3475538450193167,0.054519243340288716
GSM2986348,2-cell,-4.8243998571272835,0.23811432436806695
GSM2986349,2-cell,-0.1864349116196391,-2.0325413022833176
GSM2986350,2-cell,-1.4076796616563074,-0.7708701352793361
GSM2986351,2-cell,-2.942584132348777,-0.4448341539146825
GSM2986352,2-cell,-3.7560034295477696,1.1728028545405027
GSM2986353,2-cell,-0.020988071195191416,0.6019326006610182
GSM2986354,2-cell,-2.4778005785719346,0.2535141105887578
GSM2986355,2-cell,1.5584518481556806,-2.8888654276332035
GSM2986356,2-cell,-2.7237638074764248,-0.13158246993062078
GSM2986357,2-cell,-3.3492443342038256,-1.2662056050654629
GSM2986358,2-cell,-2.7072248680039044,-0.3900897108261874
GSM2986359,2-cell,-2.899612392711848,-1.1703393558886723
GSM2986360,4-cell,-3.583899492654857,1.4678271393100155
GSM2986361,4-cell,-2.7291822950659683,-1.1830124338739387
GSM2986362,4-cell,-3.2617092853060474,-2.7588631725011323
GSM2986363,4-cell,-3.5583825201032715,-2.1463614330309038
GSM2986364,4-cell,-2.9653959270037484,-1.0420179789652628
GSM2986365,4-cell,-4.8582511633163605,-1.5637965939654508
GSM2986366,4-cell,-3.574856860929637,-0.920786791162163
GSM2986367,4-cell,-2.2095847470590217,-1.5739405127464274
GSM2986368,8-cell,-2.407140848580481,1.351897639373006
GSM2986369,8-cell,-2.4965892312436107,0.2943081039969419
GSM2986370,8-cell,-2.773383324393959,0.05646385504877596
GSM2986371,8-cell,-2.0550938815918256,0.3805947122546001
GSM2986372,8-cell,-3.8281110555781472,1.114165898032893
